      Step     Time          Energy          fmax
BFGS:    0 03:07:00   -20289.461138        2.974504
BFGS:    1 03:07:00   -20289.592776        2.501811
BFGS:    2 03:07:00   -20289.694401        1.760097
BFGS:    3 03:07:00   -20289.753245        0.689877
BFGS:    4 03:07:00   -20289.763619        0.282026
BFGS:    5 03:07:00   -20289.765802        0.165715
BFGS:    6 03:07:00   -20289.769373        0.164941
BFGS:    7 03:07:00   -20289.771602        0.165498
BFGS:    8 03:07:00   -20289.773037        0.161307
BFGS:    9 03:07:01   -20289.774560        0.181931
BFGS:   10 03:07:01   -20289.777039        0.205303
BFGS:   11 03:07:01   -20289.780134        0.198922
BFGS:   12 03:07:01   -20289.782488        0.159382
BFGS:   13 03:07:01   -20289.783355        0.076199
BFGS:   14 03:07:01   -20289.783580        0.054815
BFGS:   15 03:07:01   -20289.783907        0.095269
BFGS:   16 03:07:01   -20289.784487        0.130320
BFGS:   17 03:07:01   -20289.785208        0.118094
BFGS:   18 03:07:01   -20289.785830        0.114876
BFGS:   19 03:07:01   -20289.786309        0.099138
BFGS:   20 03:07:01   -20289.786904        0.122411
BFGS:   21 03:07:01   -20289.788168        0.226971
BFGS:   22 03:07:01   -20289.790257        0.307504
BFGS:   23 03:07:01   -20289.792436        0.323816
BFGS:   24 03:07:01   -20289.794652        0.296602
BFGS:   25 03:07:02   -20289.796709        0.237168
BFGS:   26 03:07:02   -20289.798363        0.152427
BFGS:   27 03:07:02   -20289.799339        0.055840
BFGS:   28 03:07:02   -20289.799502        0.041387
BFGS:   29 03:07:02   -20289.799572        0.038365
