      Step     Time          Energy          fmax
BFGS:    0 03:07:43   -20293.019410        3.572452
BFGS:    1 03:07:44   -20293.101043        0.849833
BFGS:    2 03:07:44   -20293.109844        0.275984
BFGS:    3 03:07:44   -20293.112645        0.233117
BFGS:    4 03:07:44   -20293.116940        0.373437
BFGS:    5 03:07:44   -20293.123986        0.504942
BFGS:    6 03:07:44   -20293.128247        0.310904
BFGS:    7 03:07:44   -20293.129632        0.090518
BFGS:    8 03:07:44   -20293.129908        0.064332
BFGS:    9 03:07:44   -20293.130198        0.101282
BFGS:   10 03:07:44   -20293.130763        0.159839
BFGS:   11 03:07:44   -20293.131383        0.158895
BFGS:   12 03:07:44   -20293.131948        0.100944
BFGS:   13 03:07:44   -20293.132483        0.082079
BFGS:   14 03:07:45   -20293.133322        0.194359
BFGS:   15 03:07:45   -20293.134742        0.295468
BFGS:   16 03:07:45   -20293.136520        0.282079
BFGS:   17 03:07:45   -20293.137661        0.139471
BFGS:   18 03:07:45   -20293.138185        0.094025
BFGS:   19 03:07:45   -20293.138658        0.125860
BFGS:   20 03:07:45   -20293.139180        0.178311
BFGS:   21 03:07:45   -20293.139747        0.164538
BFGS:   22 03:07:45   -20293.140057        0.088332
BFGS:   23 03:07:45   -20293.140159        0.029794
