      Step     Time          Energy          fmax
BFGS:    0 02:59:12   -20287.156091        0.608512
BFGS:    1 02:59:12   -20287.164531        0.425387
BFGS:    2 02:59:12   -20287.169944        0.298977
BFGS:    3 02:59:12   -20287.172277        0.218250
BFGS:    4 02:59:12   -20287.173744        0.173708
BFGS:    5 02:59:12   -20287.175515        0.126275
BFGS:    6 02:59:13   -20287.176188        0.125530
BFGS:    7 02:59:13   -20287.176537        0.136465
BFGS:    8 02:59:13   -20287.176970        0.151480
BFGS:    9 02:59:13   -20287.177434        0.164718
BFGS:   10 02:59:13   -20287.177990        0.184978
BFGS:   11 02:59:13   -20287.178491        0.191587
BFGS:   12 02:59:13   -20287.179989        0.267807
BFGS:   13 02:59:13   -20287.181514        0.223094
BFGS:   14 02:59:13   -20287.184939        0.182971
BFGS:   15 02:59:14   -20287.189818        0.187204
BFGS:   16 02:59:14   -20287.193564        0.189084
BFGS:   17 02:59:14   -20287.196541        0.159202
BFGS:   18 02:59:14   -20287.203229        0.200753
BFGS:   19 02:59:14   -20287.207692        0.230768
BFGS:   20 02:59:14   -20287.211257        0.214984
BFGS:   21 02:59:14   -20287.213005        0.280848
BFGS:   22 02:59:14   -20287.214928        0.249282
BFGS:   23 02:59:14   -20287.210943        0.377952
BFGS:   24 02:59:14   -20287.206954        0.409704
BFGS:   25 02:59:15   -20287.210306        0.185260
BFGS:   26 02:59:15   -20287.204977        0.216366
BFGS:   27 02:59:15   -20287.197036        0.286047
BFGS:   28 02:59:15   -20287.189048        0.312718
BFGS:   29 02:59:15   -20287.182259        0.301742
BFGS:   30 02:59:15   -20287.173716        0.370143
BFGS:   31 02:59:15   -20287.170160        0.222186
BFGS:   32 02:59:15   -20287.162798        0.163186
BFGS:   33 02:59:15   -20287.148404        0.226843
BFGS:   34 02:59:16   -20287.139705        0.153949
BFGS:   35 02:59:16   -20287.131765        0.144053
BFGS:   36 02:59:16   -20287.114455        0.235756
BFGS:   37 02:59:16   -20287.103571        0.249176
BFGS:   38 02:59:16   -20287.100304        0.311996
BFGS:   39 02:59:16   -20287.096382        0.378442
BFGS:   40 02:59:16   -20287.090692        0.442950
BFGS:   41 02:59:16   -20287.081637        0.498248
BFGS:   42 02:59:16   -20287.072429        0.531259
BFGS:   43 02:59:16   -20287.057901        0.558870
BFGS:   44 02:59:17   -20287.046863        0.563686
BFGS:   45 02:59:17   -20287.016413        0.560775
BFGS:   46 02:59:17   -20286.987624        0.539830
BFGS:   47 02:59:17   -20286.955042        0.510150
BFGS:   48 02:59:17   -20286.931308        0.461567
BFGS:   49 02:59:17   -20286.893608        0.466125
BFGS:   50 02:59:17   -20286.854444        0.399056
BFGS:   51 02:59:17   -20286.819934        0.316275
BFGS:   52 02:59:17   -20286.795348        0.176339
BFGS:   53 02:59:17   -20286.766893        0.160463
BFGS:   54 02:59:17   -20286.753443        0.213856
BFGS:   55 02:59:18   -20286.743359        0.228232
BFGS:   56 02:59:18   -20286.732745        0.217001
BFGS:   57 02:59:18   -20286.716720        0.167810
BFGS:   58 02:59:18   -20286.703465        0.113793
BFGS:   59 02:59:18   -20286.696560        0.054576
BFGS:   60 02:59:18   -20286.694112        0.041217
BFGS:   61 02:59:18   -20286.690427        0.038927
