      Step     Time          Energy          fmax
BFGS:    0 03:00:59   -20286.838008        6.927426
BFGS:    1 03:00:59   -20287.071294        1.987824
BFGS:    2 03:00:59   -20287.127192        1.350038
BFGS:    3 03:01:00   -20287.162896        1.789094
BFGS:    4 03:01:00   -20287.193550        1.920687
BFGS:    5 03:01:00   -20287.231814        2.263501
BFGS:    6 03:01:00   -20287.275142        2.048149
BFGS:    7 03:01:00   -20287.387477        1.865663
BFGS:    8 03:01:00   -20287.487193        2.104089
BFGS:    9 03:01:00   -20287.576034        2.348702
BFGS:   10 03:01:00   -20287.663344        2.494046
BFGS:   11 03:01:00   -20287.754082        2.547838
BFGS:   12 03:01:01   -20287.850304        2.527631
BFGS:   13 03:01:01   -20287.951911        2.458100
BFGS:   14 03:01:01   -20288.058192        2.364435
BFGS:   15 03:01:01   -20288.168130        2.279661
BFGS:   16 03:01:01   -20288.284071        2.215949
BFGS:   17 03:01:01   -20288.418545        1.936340
BFGS:   18 03:01:01   -20288.555275        1.452740
BFGS:   19 03:01:01   -20288.673920        1.169916
BFGS:   20 03:01:01   -20288.787406        1.031909
BFGS:   21 03:01:01   -20288.889131        0.885890
BFGS:   22 03:01:02   -20288.947936        0.693473
BFGS:   23 03:01:02   -20289.028201        0.641036
BFGS:   24 03:01:02   -20289.075901        0.496332
BFGS:   25 03:01:02   -20289.108354        0.362776
BFGS:   26 03:01:02   -20289.140583        0.286919
BFGS:   27 03:01:02   -20289.178432        0.287851
BFGS:   28 03:01:02   -20289.204986        0.243202
BFGS:   29 03:01:02   -20289.229110        0.187404
BFGS:   30 03:01:02   -20289.241177        0.124622
BFGS:   31 03:01:02   -20289.248412        0.097849
BFGS:   32 03:01:03   -20289.251958        0.067539
BFGS:   33 03:01:03   -20289.257739        0.069955
BFGS:   34 03:01:03   -20289.262219        0.073476
BFGS:   35 03:01:03   -20289.266317        0.075905
BFGS:   36 03:01:03   -20289.271957        0.084896
BFGS:   37 03:01:03   -20289.275900        0.074000
BFGS:   38 03:01:03   -20289.286448        0.073808
BFGS:   39 03:01:03   -20289.294725        0.053083
BFGS:   40 03:01:03   -20289.300168        0.035898
