      Step     Time          Energy          fmax
BFGS:    0 02:42:42   -20293.659018        3.446930
BFGS:    1 02:42:42   -20293.794260        1.705396
BFGS:    2 02:42:42   -20293.832159        0.627324
BFGS:    3 02:42:42   -20293.838373        0.287426
BFGS:    4 02:42:42   -20293.843292        0.274113
BFGS:    5 02:42:42   -20293.875704        0.802072
BFGS:    6 02:42:42   -20293.903549        1.038085
BFGS:    7 02:42:42   -20293.929140        0.966635
BFGS:    8 02:42:42   -20293.952974        0.740400
BFGS:    9 02:42:42   -20293.973853        0.469618
BFGS:   10 02:42:42   -20293.991373        0.446018
BFGS:   11 02:42:42   -20294.005766        0.401964
BFGS:   12 02:42:42   -20294.017262        0.344214
BFGS:   13 02:42:42   -20294.026077        0.266996
BFGS:   14 02:42:42   -20294.032218        0.196199
BFGS:   15 02:42:42   -20294.035192        0.087957
BFGS:   16 02:42:42   -20294.035838        0.075938
BFGS:   17 02:42:43   -20294.036226        0.054859
BFGS:   18 02:42:43   -20294.036539        0.059387
BFGS:   19 02:42:43   -20294.036668        0.044190
BFGS:   20 02:42:43   -20294.036753        0.027774
BFGS:   21 02:42:43   -20294.036862        0.032573
BFGS:   22 02:42:43   -20294.037055        0.052180
BFGS:   23 02:42:43   -20294.037677        0.090178
BFGS:   24 02:42:43   -20294.039285        0.092209
BFGS:   25 02:42:43   -20294.041960        0.078444
BFGS:   26 02:42:43   -20294.045590        0.077800
BFGS:   27 02:42:43   -20294.050364        0.097077
BFGS:   28 02:42:43   -20294.055599        0.115573
BFGS:   29 02:42:43   -20294.060074        0.133103
BFGS:   30 02:42:43   -20294.063526        0.125362
BFGS:   31 02:42:43   -20294.066133        0.112082
BFGS:   32 02:42:43   -20294.068163        0.102066
BFGS:   33 02:42:44   -20294.069984        0.099351
BFGS:   34 02:42:44   -20294.071767        0.126761
BFGS:   35 02:42:44   -20294.073490        0.152088
BFGS:   36 02:42:44   -20294.075120        0.173021
BFGS:   37 02:42:44   -20294.076658        0.180360
BFGS:   38 02:42:44   -20294.078117        0.175332
BFGS:   39 02:42:44   -20294.079534        0.152156
BFGS:   40 02:42:44   -20294.080895        0.149136
BFGS:   41 02:42:44   -20294.082226        0.164810
BFGS:   42 02:42:44   -20294.083600        0.196619
BFGS:   43 02:42:44   -20294.085134        0.240178
BFGS:   44 02:42:44   -20294.087249        0.265312
BFGS:   45 02:42:44   -20294.089923        0.283517
BFGS:   46 02:42:44   -20294.092853        0.301362
BFGS:   47 02:42:44   -20294.095763        0.337739
BFGS:   48 02:42:44   -20294.098729        0.372457
BFGS:   49 02:42:44   -20294.101674        0.415490
BFGS:   50 02:42:44   -20294.104661        0.444185
BFGS:   51 02:42:45   -20294.107800        0.487052
BFGS:   52 02:42:45   -20294.110960        0.519018
BFGS:   53 02:42:45   -20294.114195        0.549007
BFGS:   54 02:42:45   -20294.117633        0.532053
BFGS:   55 02:42:45   -20294.121354        0.502329
BFGS:   56 02:42:45   -20294.125121        0.381847
BFGS:   57 02:42:45   -20294.128320        0.303208
BFGS:   58 02:42:45   -20294.130156        0.204869
BFGS:   59 02:42:45   -20294.131028        0.124407
BFGS:   60 02:42:45   -20294.131469        0.125062
BFGS:   61 02:42:45   -20294.132422        0.146695
BFGS:   62 02:42:45   -20294.133441        0.156681
BFGS:   63 02:42:45   -20294.134572        0.110640
BFGS:   64 02:42:45   -20294.135097        0.067954
BFGS:   65 02:42:45   -20294.135222        0.053094
BFGS:   66 02:42:45   -20294.135318        0.046243
BFGS:   67 02:42:45   -20294.135387        0.035247
BFGS:   68 02:42:45   -20294.135421        0.019074
BFGS:   69 02:42:46   -20294.135435        0.005720
