      Step     Time          Energy          fmax
BFGS:    0 02:42:27   -20292.427061        2.284418
BFGS:    1 02:42:32   -20292.546872        1.830585
BFGS:    2 02:42:34   -20292.707483        1.058078
BFGS:    3 02:42:34   -20292.801727        1.218694
BFGS:    4 02:42:35   -20292.879810        1.257499
BFGS:    5 02:42:35   -20292.952696        1.194401
BFGS:    6 02:42:35   -20293.020069        1.000411
BFGS:    7 02:42:35   -20293.077959        0.843204
BFGS:    8 02:42:35   -20293.123803        0.775837
BFGS:    9 02:42:35   -20293.157588        0.690120
BFGS:   10 02:42:35   -20293.180863        0.592203
BFGS:   11 02:42:35   -20293.196306        0.491122
BFGS:   12 02:42:35   -20293.206957        0.394233
BFGS:   13 02:42:35   -20293.216010        0.322921
BFGS:   14 02:42:35   -20293.225458        0.353337
BFGS:   15 02:42:35   -20293.235613        0.362105
BFGS:   16 02:42:35   -20293.246125        0.367146
BFGS:   17 02:42:35   -20293.257486        0.375519
BFGS:   18 02:42:35   -20293.269181        0.380664
BFGS:   19 02:42:36   -20293.286025        0.565391
BFGS:   20 02:42:36   -20293.296141        0.662109
BFGS:   21 02:42:36   -20293.316693        0.758881
BFGS:   22 02:42:36   -20293.345511        0.740197
BFGS:   23 02:42:36   -20293.374514        0.806726
BFGS:   24 02:42:36   -20293.401049        0.743477
BFGS:   25 02:42:36   -20293.424548        0.578266
BFGS:   26 02:42:36   -20293.441882        0.638104
BFGS:   27 02:42:36   -20293.454432        0.699697
BFGS:   28 02:42:36   -20293.466091        0.593137
BFGS:   29 02:42:36   -20293.479692        0.699896
BFGS:   30 02:42:36   -20293.500975        0.223752
BFGS:   31 02:42:36   -20293.503864        0.209733
BFGS:   32 02:42:36   -20293.506467        0.176388
BFGS:   33 02:42:37   -20293.508587        0.141400
BFGS:   34 02:42:37   -20293.509626        0.123952
BFGS:   35 02:42:37   -20293.510338        0.116991
BFGS:   36 02:42:37   -20293.511234        0.098273
BFGS:   37 02:42:37   -20293.512243        0.085463
BFGS:   38 02:42:37   -20293.513021        0.089857
BFGS:   39 02:42:37   -20293.513601        0.102425
BFGS:   40 02:42:37   -20293.514455        0.112663
BFGS:   41 02:42:37   -20293.516048        0.180657
BFGS:   42 02:42:37   -20293.518299        0.221238
BFGS:   43 02:42:37   -20293.520068        0.120204
BFGS:   44 02:42:37   -20293.520752        0.200308
BFGS:   45 02:42:37   -20293.521020        0.085886
BFGS:   46 02:42:38   -20293.521139        0.078103
BFGS:   47 02:42:38   -20293.521611        0.053491
BFGS:   48 02:42:38   -20293.522256        0.074179
BFGS:   49 02:42:38   -20293.523940        0.204279
BFGS:   50 02:42:38   -20293.526416        0.272878
BFGS:   51 02:42:38   -20293.529160        0.157952
BFGS:   52 02:42:38   -20293.530258        0.103646
BFGS:   53 02:42:38   -20293.530417        0.067674
BFGS:   54 02:42:38   -20293.530654        0.077484
BFGS:   55 02:42:38   -20293.531157        0.096180
BFGS:   56 02:42:38   -20293.531952        0.164811
BFGS:   57 02:42:38   -20293.533747        0.102839
BFGS:   58 02:42:38   -20293.536268        0.099075
BFGS:   59 02:42:39   -20293.539105        0.289247
BFGS:   60 02:42:39   -20293.540289        0.148282
BFGS:   61 02:42:39   -20293.542143        0.106418
BFGS:   62 02:42:39   -20293.543604        0.276405
BFGS:   63 02:42:39   -20293.543991        0.141465
BFGS:   64 02:42:39   -20293.544531        0.229957
BFGS:   65 02:42:39   -20293.545764        0.252747
BFGS:   66 02:42:39   -20293.547671        0.110736
BFGS:   67 02:42:39   -20293.548614        0.140508
BFGS:   68 02:42:39   -20293.549536        0.078598
BFGS:   69 02:42:39   -20293.549876        0.016811
BFGS:   70 02:42:39   -20293.549887        0.012671
