      Step     Time          Energy          fmax
FIRE:    0 02:34:25     -285.128107        7.962295
FIRE:    1 02:34:25     -285.233019        7.790726
FIRE:    2 02:34:26     -285.431987        7.554407
FIRE:    3 02:34:26     -285.712426        7.422574
FIRE:    4 02:34:26     -286.069918        7.437724
FIRE:    5 02:34:26     -286.498089        7.200527
FIRE:    6 02:34:27     -286.949173        6.080251
FIRE:    7 02:34:27     -287.334400        4.281442
FIRE:    8 02:34:27     -287.631213        2.928744
FIRE:    9 02:34:27     -287.832952        2.014355
FIRE:   10 02:34:27     -287.977415        1.343754
FIRE:   11 02:34:28     -288.077866        1.071886
FIRE:   12 02:34:28     -288.152943        1.380726
FIRE:   13 02:34:28     -288.222337        1.507902
FIRE:   14 02:34:28     -288.296906        1.541902
FIRE:   15 02:34:29     -288.375712        1.427302
FIRE:   16 02:34:29     -288.449879        1.069846
FIRE:   17 02:34:29     -288.509502        0.847934
FIRE:   18 02:34:29     -288.549283        0.897405
FIRE:   19 02:34:29     -288.572398        0.949502
FIRE:   20 02:34:30     -288.581728        1.086381
FIRE:   21 02:34:30     -288.587953        0.925102
FIRE:   22 02:34:30     -288.596917        0.657539
FIRE:   23 02:34:30     -288.604428        0.402095
FIRE:   24 02:34:31     -288.608840        0.443340
FIRE:   25 02:34:31     -288.611924        0.555684
FIRE:   26 02:34:31     -288.616295        0.616409
FIRE:   27 02:34:31     -288.623112        0.602803
FIRE:   28 02:34:31     -288.632877        0.501638
FIRE:   29 02:34:32     -288.643809        0.318364
FIRE:   30 02:34:32     -288.653271        0.309924
FIRE:   31 02:34:32     -288.662012        0.493460
FIRE:   32 02:34:32     -288.674498        0.407703
FIRE:   33 02:34:33     -288.689241        0.298527
FIRE:   34 02:34:33     -288.702005        0.395576
FIRE:   35 02:34:33     -288.719254        0.420209
FIRE:   36 02:34:33     -288.742175        0.427053
FIRE:   37 02:34:34     -288.767419        0.405316
FIRE:   38 02:34:34     -288.799414        0.496690
FIRE:   39 02:34:34     -288.831092        0.540363
FIRE:   40 02:34:34     -288.866573        0.448552
FIRE:   41 02:34:34     -288.900558        0.408627
FIRE:   42 02:34:35     -288.934182        0.447371
FIRE:   43 02:34:35     -288.967102        0.441618
FIRE:   44 02:34:35     -289.000931        0.374358
FIRE:   45 02:34:35     -289.034146        0.373476
FIRE:   46 02:34:35     -289.067659        0.424357
FIRE:   47 02:34:36     -289.101590        0.409601
FIRE:   48 02:34:36     -289.135491        0.363840
FIRE:   49 02:34:36     -289.167895        0.363235
FIRE:   50 02:34:36     -289.198123        0.376473
FIRE:   51 02:34:37     -289.225857        0.336786
FIRE:   52 02:34:37     -289.250571        0.279710
FIRE:   53 02:34:37     -289.271952        0.266462
FIRE:   54 02:34:37     -289.289932        0.241348
FIRE:   55 02:34:37     -289.304340        0.164530
FIRE:   56 02:34:38     -289.314580        0.112708
FIRE:   57 02:34:38     -289.320690        0.099976
FIRE:   58 02:34:38     -289.323147        0.110864
FIRE:   59 02:34:38     -289.272212        2.283448
FIRE:   60 02:34:38     -289.264858        2.347332
FIRE:   61 02:34:39     -289.317139        1.199890
FIRE:   62 02:34:39     -289.325326        0.703070
FIRE:   63 02:34:39     -289.329778        0.110817
FIRE:   64 02:34:39     -289.329808        0.103363
FIRE:   65 02:34:40     -289.329863        0.089346
FIRE:   66 02:34:40     -289.329934        0.070731
FIRE:   67 02:34:40     -289.330012        0.063748
FIRE:   68 02:34:40     -289.330093        0.062722
FIRE:   69 02:34:41     -289.330177        0.061449
FIRE:   70 02:34:41     -289.330269        0.067748
FIRE:   71 02:34:41     -289.330389        0.072195
FIRE:   72 02:34:41     -289.330546        0.068008
FIRE:   73 02:34:42     -289.330747        0.057591
FIRE:   74 02:34:42     -289.330987        0.056061
FIRE:   75 02:34:42     -289.331268        0.052841
FIRE:   76 02:34:42     -289.331601        0.061862
FIRE:   77 02:34:43     -289.332010        0.058788
FIRE:   78 02:34:43     -289.332500        0.049726
FIRE:   79 02:34:43     -289.333075        0.049948
FIRE:   80 02:34:43     -289.333751        0.044948
FIRE:   81 02:34:44     -289.334526        0.051541
FIRE:   82 02:34:44     -289.335409        0.041762
FIRE:   83 02:34:44     -289.336379        0.046629
FIRE:   84 02:34:44     -289.337451        0.039126
FIRE:   85 02:34:45     -289.338571        0.042986
FIRE:   86 02:34:45     -289.339682        0.065515
FIRE:   87 02:34:45     -289.340676        0.103088
FIRE:   88 02:34:45     -289.341316        0.209199
FIRE:   89 02:34:46     -289.341682        0.050282
FIRE:   90 02:34:46     -289.341544        0.143502
FIRE:   91 02:34:46     -289.341612        0.115648
FIRE:   92 02:34:46     -289.341701        0.065548
FIRE:   93 02:34:47     -289.341751        0.016556
