optimization_step,energy_eV,energy_relative_to_start_eV
0,-284.6236282435649,0.0
1,-284.7630546662027,-0.13942642263782545
2,-285.0174505428264,-0.39382229926150103
3,-285.3548604054928,-0.7312321619278919
4,-285.7614792551658,-1.137851011600901
5,-286.2455994920836,-1.6219712485187188
6,-286.7796339698326,-2.156005726267722
7,-287.25044454578926,-2.62681630222437
8,-287.5779227862739,-2.9542945427090217
9,-287.798476054943,-3.174847811378129
10,-287.96102949940416,-3.337401255839268
11,-288.07757320541384,-3.453944961848947
12,-288.16182007462135,-3.5381918310564515
13,-288.23455211413466,-3.6109238705697635
14,-288.3130965397336,-3.689468296168684
15,-288.4026166133434,-3.778988369778517
16,-288.49399779208613,-3.8703695485212393
17,-288.57152709156253,-3.947898847997635
18,-288.6212334682362,-3.997605224671304
19,-288.63603289537514,-4.012404651810243
20,-288.6425802681918,-4.018952024626913
21,-288.65186446681867,-4.028236223253771
22,-288.6592595338427,-4.03563129027782
23,-288.66280737671417,-4.0391791331492755
24,-288.6643883172992,-4.040760073734305
25,-288.6670952346616,-4.043466991096693
26,-288.6724012933251,-4.0487730497602
27,-288.6805956372484,-4.0569673936835215
28,-288.68969338823274,-4.066065144667846
29,-288.69736754429573,-4.073739300730836
30,-288.7039519656041,-4.080323722039225
31,-288.7120927764971,-4.088464532932221
32,-288.72190665907357,-4.098278415508673
33,-288.7294330110874,-4.1058047675225
34,-288.7359677789007,-4.1123395353358205
35,-288.7441164981241,-4.120488254559177
36,-288.7518928947332,-4.128264651168308
37,-288.75844158474524,-4.134813341180347
38,-288.7685782401261,-4.144949996561195
39,-288.7799618915634,-4.156333647998508
40,-288.79308847638765,-4.1694602328227575
41,-288.8130348302386,-4.1894065866737265
42,-288.83113576548317,-4.207507521918274
43,-288.84911207720506,-4.225483833640169
44,-288.86943268420447,-4.245804440639574
45,-288.8824054319876,-4.258777188422698
46,-288.8801424049335,-4.256514161368614
47,-288.8940891177216,-4.270460874156697
48,-288.89567707394735,-4.2720488303824595
49,-288.8965802701999,-4.272952026634982
50,-288.89799661109794,-4.274368367533043
51,-288.8993734928639,-4.275745249299007
52,-288.9003431287193,-4.276714885154433
53,-288.9010038761504,-4.2773756325855175
54,-288.9018128052177,-4.278184561652779
55,-288.9031564673386,-4.279528223773696
56,-288.90532547881867,-4.281697235253773
57,-288.9081034858367,-4.28447524227181
58,-288.91099947504347,-4.2873712314785735
59,-288.91410853275806,-4.2904802891931695
60,-288.9184423816367,-4.294814138071786
61,-288.92447147981096,-4.300843236246067
62,-288.93144256889,-4.3078143253251255
63,-288.94009220447145,-4.31646396090656
64,-288.95186297241173,-4.328234728846837
65,-288.9659434675519,-4.342315223986986
66,-288.9848079990546,-4.361179755489729
67,-289.00838523070377,-4.384756987138871
68,-289.0394896353039,-4.415861391738986
69,-289.0754317973982,-4.451803553833315
70,-289.1118695259744,-4.48824128240949
71,-289.14852330142907,-4.524895057864171
72,-289.18400665038985,-4.560378406824952
73,-289.21798678140937,-4.594358537844471
74,-289.2499244913919,-4.626296247826986
75,-289.27941671826215,-4.65578847469726
76,-289.3062641368929,-4.6826358933279835
77,-289.33030299743496,-4.706674753870061
78,-289.3515458652906,-4.72791762172568
79,-289.3699648113329,-4.746336567768026
80,-289.3858932901446,-4.762265046579728
81,-289.3989934139125,-4.775365170347584
82,-289.40951428882335,-4.785886045258451
83,-289.41753235424244,-4.793904110677545
84,-289.4236553120398,-4.80002706847489
85,-289.42815092135163,-4.804522677786736
86,-289.43139166403716,-4.80776342047227
87,-289.2698072622378,-4.64617901867291
88,-289.43013831634954,-4.806510072784647
89,-289.4381575757223,-4.814529332157406
90,-289.4392272596198,-4.815599016054932
91,-289.4398404492035,-4.816212205638578
92,-289.44070825522294,-4.817080011658049
93,-289.4413728340396,-4.817744590474717
94,-289.4416393275882,-4.818011084023283
95,-289.4417514139247,-4.818123170359797
96,-289.4418144830985,-4.818186239533588
97,-289.44193316166445,-4.818304918099557
98,-289.44209388844627,-4.818465644881371
99,-289.44227956599843,-4.8186513224335386
100,-289.44247301099165,-4.818844767426754
101,-289.4426608243823,-4.819032580817407
102,-289.44283695397485,-4.819208710409953
103,-289.44302188257177,-4.819393639006876
104,-289.4432302994238,-4.8196020558589225
105,-289.4434916107962,-4.819863367231278
106,-289.44384334808365,-4.820215104518752
107,-289.4443158067451,-4.820687563180229
108,-289.44491368835196,-4.821285444787065
109,-289.4456123560916,-4.821984112526707
110,-289.44639508321404,-4.822766839649148
111,-289.44731283709973,-4.823684593534836
112,-289.4484584282288,-4.824830184663881
113,-289.44984439059147,-4.826216147026571
