optimization_step,energy_eV,energy_relative_to_start_eV
0,-289.5101141849269,0.0
1,-289.510141166465,-2.6981538098880264e-05
2,-289.5116391742524,-0.0015249893255031566
3,-289.51449511696956,-0.004380932042636232
4,-289.5172695898142,-0.007155404887271288
5,-289.520122329257,-0.010008144330072355
6,-289.52299865648814,-0.012884471561221744
7,-289.5258191851724,-0.015705000245475276
8,-289.52854037384446,-0.01842618891754455
9,-289.5311096837355,-0.02099549880858831
10,-289.53342862679045,-0.023314441863533375
11,-289.53536169633435,-0.025247511407428647
12,-289.5368294920789,-0.026715307151960133
13,-289.5379264745892,-0.027812289662279
14,-289.53889085427295,-0.02877666934602985
15,-289.5399533597342,-0.029839174807307245
16,-289.54142188598604,-0.03130770105912006
17,-289.5434025879918,-0.03328840306488701
18,-289.5464429646414,-0.036328779714494885
19,-289.54863158434705,-0.03851739942012955
20,-289.5496359445018,-0.0395217595748818
21,-289.5507213532894,-0.04060716836249867
22,-289.5509555986021,-0.04084141367519578
23,-289.5513879422316,-0.04127375730467975
24,-289.5515894663818,-0.04147528145489332
25,-289.55200972360353,-0.04189553867661289
26,-289.5525061789865,-0.04239199405958516
27,-289.5530714148782,-0.04295722995129836
28,-289.553475229479,-0.04336104455205714
29,-289.55380625742316,-0.04369207249624196
30,-289.55421933070915,-0.04410514578222546
31,-289.55484707091273,-0.044732885985808934
32,-289.55558571762197,-0.045471532695046335
33,-289.55613431054405,-0.04602012561713309
34,-289.55639891669244,-0.04628473176552461
35,-289.5565673513106,-0.04645316638368513
36,-289.5567828003253,-0.046668615398402835
37,-289.55703050372585,-0.04691631879893521
38,-289.5572428297396,-0.047128644812687526
39,-289.5573880359591,-0.0472738510321733
40,-289.5575125244275,-0.047398339500603015
41,-289.5576658159745,-0.04755163104755411
42,-289.5578581087907,-0.04774392386377713
43,-289.5580607289344,-0.047946544007459124
44,-289.5582399181984,-0.04812573327149039
45,-289.55839865983637,-0.04828447490945109
46,-289.5585710269549,-0.04845684202797429
47,-289.5588001858902,-0.04868600096330056
48,-289.55911464427953,-0.049000459352612324
49,-289.5594788106068,-0.049364625679857
50,-289.5597865419187,-0.04967235699177763
51,-289.55998345243313,-0.049869267506210235
52,-289.56010768465694,-0.04999349973002154
53,-289.56022810003947,-0.05011391511254715
54,-289.56037969112214,-0.05026550619521686
55,-289.56053585943937,-0.0504216745124495
56,-289.56066530854514,-0.05055112361822012
57,-289.5607740863841,-0.050659901457152046
