      Step     Time          Energy          fmax
BFGS:    0 02:43:09     -289.510114        0.024981
BFGS:    1 02:43:09     -289.510141        0.026853
BFGS:    2 02:43:10     -289.511639        0.220623
BFGS:    3 02:43:10     -289.514495        0.433775
BFGS:    4 02:43:10     -289.517270        0.519786
BFGS:    5 02:43:11     -289.520122        0.544140
BFGS:    6 02:43:11     -289.522999        0.532374
BFGS:    7 02:43:12     -289.525819        0.496439
BFGS:    8 02:43:12     -289.528540        0.438785
BFGS:    9 02:43:13     -289.531110        0.359822
BFGS:   10 02:43:13     -289.533429        0.263201
BFGS:   11 02:43:13     -289.535362        0.164698
BFGS:   12 02:43:14     -289.536829        0.111245
BFGS:   13 02:43:14     -289.537926        0.137133
BFGS:   14 02:43:14     -289.538891        0.174801
BFGS:   15 02:43:15     -289.539953        0.185001
BFGS:   16 02:43:15     -289.541422        0.188323
BFGS:   17 02:43:16     -289.543403        0.206370
BFGS:   18 02:43:16     -289.546443        0.242333
BFGS:   19 02:43:16     -289.548632        0.282234
BFGS:   20 02:43:17     -289.549636        0.167344
BFGS:   21 02:43:17     -289.550721        0.072917
BFGS:   22 02:43:17     -289.550956        0.064365
BFGS:   23 02:43:18     -289.551388        0.050112
BFGS:   24 02:43:18     -289.551589        0.049736
BFGS:   25 02:43:18     -289.552010        0.071434
BFGS:   26 02:43:19     -289.552506        0.111064
BFGS:   27 02:43:19     -289.553071        0.106627
BFGS:   28 02:43:19     -289.553475        0.053545
BFGS:   29 02:43:20     -289.553806        0.052998
BFGS:   30 02:43:20     -289.554219        0.090760
BFGS:   31 02:43:20     -289.554847        0.149270
BFGS:   32 02:43:21     -289.555586        0.148426
BFGS:   33 02:43:21     -289.556134        0.075084
BFGS:   34 02:43:22     -289.556399        0.040238
BFGS:   35 02:43:22     -289.556567        0.057801
BFGS:   36 02:43:22     -289.556783        0.088707
BFGS:   37 02:43:23     -289.557031        0.085069
BFGS:   38 02:43:23     -289.557243        0.045852
BFGS:   39 02:43:23     -289.557388        0.028385
BFGS:   40 02:43:24     -289.557513        0.039829
BFGS:   41 02:43:24     -289.557666        0.052842
BFGS:   42 02:43:25     -289.557858        0.042170
BFGS:   43 02:43:25     -289.558061        0.029822
BFGS:   44 02:43:25     -289.558240        0.036236
BFGS:   45 02:43:26     -289.558399        0.051939
BFGS:   46 02:43:26     -289.558571        0.046999
BFGS:   47 02:43:26     -289.558800        0.035888
BFGS:   48 02:43:27     -289.559115        0.035673
BFGS:   49 02:43:27     -289.559479        0.059018
BFGS:   50 02:43:28     -289.559787        0.057561
BFGS:   51 02:43:28     -289.559983        0.025605
BFGS:   52 02:43:28     -289.560108        0.021877
BFGS:   53 02:43:29     -289.560228        0.042425
BFGS:   54 02:43:29     -289.560380        0.057184
BFGS:   55 02:43:29     -289.560536        0.045415
BFGS:   56 02:43:30     -289.560665        0.027271
BFGS:   57 02:43:30     -289.560774        0.019821
