optimization_step,energy_eV,energy_relative_to_start_eV
0,-277.7589423558804,0.0
1,-278.1130485052317,-0.3541061493513098
2,-278.7358762944376,-0.976933938557238
3,-279.4499782977357,-1.6910359418553185
4,-280.06750917484686,-2.308566818966483
5,-280.5678368588351,-2.808894502954729
6,-280.9999130920617,-3.240970736181339
7,-281.33797970089273,-3.5790373450123525
8,-281.55522165200557,-3.796279296125192
9,-281.688998855764,-3.9300564998836194
10,-281.7986388867524,-4.03969653087205
11,-281.9074828731364,-4.148540517256038
12,-282.0030690639984,-4.244126708118017
13,-282.0519277588565,-4.2929854029761145
14,-282.0651462453811,-4.3062038895006935
15,-282.07138477192564,-4.312442416045258
16,-282.0807093724466,-4.321767016566241
17,-282.0888335059762,-4.329891150095818
18,-282.09288184029066,-4.33393948441028
19,-282.09318441930577,-4.334242063425393
20,-282.09342171184335,-4.334479355962969
21,-282.09388201227597,-4.334939656395591
22,-282.0945381947733,-4.335595838892914
23,-282.0953531799963,-4.336410824115944
24,-282.0962841812562,-4.337341825375802
25,-282.0972881035765,-4.33834574769611
26,-282.0983277074025,-4.3393853515221394
27,-282.099488425115,-4.34054606923462
28,-282.1007706456803,-4.341828289799935
29,-282.1022077885898,-4.343265432709416
30,-282.1038913855148,-4.344949029634449
31,-282.1059783406292,-4.3470359847488
32,-282.1086585155334,-4.349716159653042
33,-282.11207709192877,-4.353134736048389
34,-282.11624586744773,-4.357303511567352
35,-282.12104078221006,-4.3620984263296805
36,-282.1263965460918,-4.367454190211447
37,-282.13256491066477,-4.37362255478439
38,-282.1399645015676,-4.381022145687211
39,-282.1486023602241,-4.389660004343739
40,-282.1580446202619,-4.399102264381497
41,-282.1685083416623,-4.40956598578191
42,-282.180272172855,-4.421329816974605
43,-282.1924976626758,-4.4335553067954265
44,-282.2058058703855,-4.446863514505139
45,-282.2196982740274,-4.460755918147015
46,-282.2342040484195,-4.475261692539107
47,-282.24876504321355,-4.489822687333174
48,-282.26476401709766,-4.505821661217283
49,-282.2811251708528,-4.522182814972439
50,-282.29748673236656,-4.538544376486186
51,-282.31437375553736,-4.555431399656982
52,-282.3313327015438,-4.572390345663393
53,-282.35007478145974,-4.59113242557936
54,-282.3683240223181,-4.609381666437741
55,-282.3889609653749,-4.6300186094945275
56,-282.40931715352053,-4.650374797640154
57,-282.4323248698885,-4.673382514008097
58,-282.45585487042064,-4.696912514540259
59,-282.48136510178847,-4.722422745908091
60,-282.50743466216335,-4.748492306282969
61,-282.5334793759142,-4.774537020033847
62,-282.5592336223087,-4.800291266428303
63,-282.5836463993924,-4.8247040435120425
64,-282.60715390723686,-4.848211551356485
65,-282.6300515661824,-4.871109210301995
66,-282.6528809121712,-4.893938556290834
67,-282.6765546777892,-4.917612321908848
68,-282.70121042756955,-4.9422680716891705
69,-282.7265537540078,-4.967611398127417
70,-282.7515701876978,-4.992627831817401
71,-282.77420966061027,-5.015267304729889
72,-282.7923124537599,-5.033370097879526
73,-282.8047377912182,-5.045795435337823
74,-282.81216511159914,-5.053222755718764
75,-282.81697559856434,-5.058033242683962
76,-282.82194968386034,-5.06300732797996
77,-282.8284175426091,-5.06947518672871
78,-282.83599209523385,-5.07704973935347
79,-282.84428128831735,-5.085338932436969
80,-282.85350061115855,-5.094558255278173
81,-282.8629936960973,-5.104051340216927
82,-282.8708143751152,-5.111872019234795
83,-282.87536714473595,-5.116424788855568
84,-282.8773142062237,-5.118371850343294
85,-282.8942904650168,-5.13534810913643
86,-282.88784811190027,-5.12890575601989
87,-282.85054044975,-5.091598093869607
88,-282.89857327673724,-5.13963092085686
89,-282.8690854307363,-5.110143074855898
90,-282.88323992074226,-5.124297564861877
91,-282.89822883637265,-5.139286480492274
92,-282.9009337387782,-5.1419913828978
93,-282.90111693812344,-5.142174582243058
94,-282.90143667015104,-5.142494314270664
95,-282.9018132786113,-5.1428709227309355
96,-282.9021577753952,-5.143215419514831
97,-282.9023998340469,-5.1434574781665106
98,-282.9025164647172,-5.1435741088368445
99,-282.90254837785943,-5.143606021979053
100,-282.90255668528,-5.143614329399611
101,-282.90257292016867,-5.143630564288287
102,-282.90259635247145,-5.14365399659107
103,-282.9026259612158,-5.143683605335411
104,-282.9026605205839,-5.1437181647035
105,-282.9026987084024,-5.1437563525220185
106,-282.90273923065286,-5.143796874772477
107,-282.90278538988343,-5.143843034003055
108,-282.90283667755233,-5.143894321671951
109,-282.90289272634595,-5.143950370465575
110,-282.90295404546816,-5.144011689587785
111,-282.9030229931411,-5.144080637260743
112,-282.90310446444346,-5.14416210856308
113,-282.9032055542911,-5.1442631984107265
114,-282.9033337002468,-5.144391344366397
115,-282.9034935264555,-5.144551170575141
116,-282.90368404820543,-5.144741692325056
117,-282.9039000169064,-5.144957661026012
118,-282.90414071420867,-5.145198358328287
119,-282.90441866868326,-5.145476312802884
120,-282.9047503584522,-5.145808002571812
121,-282.9051349953475,-5.146192639467131
122,-282.9055632548741,-5.146620898993717
123,-282.9060543802343,-5.14711202435393
124,-282.90662787665286,-5.147685520772484
125,-282.90728019919646,-5.148337843316085
126,-282.9080424661416,-5.149100110261202
127,-282.9089190160459,-5.149976660165521
128,-282.9099283687341,-5.150986012853707
129,-282.9110645326348,-5.152122176754403
130,-282.9123231132445,-5.153380757364118
131,-282.9136836507658,-5.154741294885412
132,-282.91509392476985,-5.15615156888947
133,-282.91623281241993,-5.157290456539556
134,-282.9168418915457,-5.157899535665308
135,-282.9165608919486,-5.157618536068242
136,-282.91673040610084,-5.157788050220461
137,-282.9169352296487,-5.157992873768308
138,-282.9170236744566,-5.158081318576194
139,-282.917026986497,-5.1580846306165995
140,-282.91703349402167,-5.1580911381412875
141,-282.9170429923779,-5.158100636497522
142,-282.9170552414872,-5.15811288560684
143,-282.91707003074464,-5.158127674864261
144,-282.9170872371315,-5.158144881251133
145,-282.91710685536236,-5.158164499481984
146,-282.9171314893643,-5.158189133483916
147,-282.91716250154644,-5.158220145666064
148,-282.91720158591124,-5.158259230030865
149,-282.91725063702233,-5.158308281141956
150,-282.91731156739695,-5.158369211516572
151,-282.9173863394425,-5.158443983562108
152,-282.9174775037069,-5.1585351478265125
153,-282.9175889137194,-5.158646557839006
154,-282.91772542398104,-5.158783068100661
155,-282.91789158271337,-5.158949226832988
156,-282.91809240447145,-5.159150048591073
157,-282.9183360316274,-5.159393675747026
158,-282.9186313150414,-5.159688959161031
159,-282.9189876842027,-5.160045328322326
160,-282.91941944077,-5.160477084889635
161,-282.9199402411975,-5.1609978853171015
162,-282.9205689272655,-5.1616265713851135
163,-282.9213245335156,-5.162382177635209
164,-282.92222836431625,-5.163286008435875
165,-282.92330116496237,-5.164358809081989
166,-282.9245384603668,-5.16559610448644
167,-282.92566314190464,-5.166720786024257
168,-282.92423027983,-5.16528792394962
169,-282.92757733157714,-5.168634975696762
170,-282.92762518056907,-5.168682824688688
171,-282.92767972377726,-5.168737367896881
172,-282.92770597248614,-5.168763616605759
173,-282.92772042127046,-5.168778065390086
174,-282.9277621078997,-5.168819752019317
175,-282.9278380150923,-5.168895659211898
176,-282.92792058668203,-5.168978230801656
177,-282.92799310302826,-5.169050747147878
178,-282.92807779251706,-5.1691354366366795
179,-282.9282149694611,-5.169272613580745
180,-282.92837501656015,-5.1694326606797745
181,-282.92854586649617,-5.1696035106157865
182,-282.9287910510942,-5.16984869521383
183,-282.9290571236884,-5.170114767808002
184,-282.9294104995324,-5.1704681436520445
185,-282.92980149505865,-5.170859139178276
186,-282.93031213680314,-5.17136978092276
187,-282.93090950115845,-5.171967145278074
188,-282.931602165852,-5.172659809971606
189,-282.93229874131083,-5.173356385430452
190,-282.9323828444136,-5.173440488533231
191,-282.9334374567722,-5.174495100891818
192,-282.9334443832145,-5.174502027334142
193,-282.9334578279255,-5.17451547204513
194,-282.93347741233396,-5.174535056453578
195,-282.93350319700363,-5.174560841123252
196,-282.93353555151435,-5.174593195633975
197,-282.933574621743,-5.174632265862613
198,-282.93362011672036,-5.174677760839984
199,-282.9336775749268,-5.174735219046397
200,-282.9337499272913,-5.174807571410895
201,-282.933840973262,-5.174898617381643
202,-282.9339544014656,-5.17501204558522
203,-282.9340948636564,-5.175152507776033
204,-282.93426879953563,-5.175326443655251
205,-282.93448240071274,-5.17554004483236
206,-282.9347444923553,-5.1758021364749425
207,-282.93506397606507,-5.176121620184688
208,-282.93545225761835,-5.1765099017379725
209,-282.9359217334126,-5.176979377532234
210,-282.93648607733365,-5.177543721453276
211,-282.93715555764004,-5.178213201759661
212,-282.93785941975347,-5.178917063873087
213,-282.9376811421897,-5.178738786309339
214,-282.9388300355699,-5.1798876796895
215,-282.93884793397405,-5.179905578093667
216,-282.93887035080684,-5.179927994926459
217,-282.93888592416465,-5.179943568284273
218,-282.93889966701414,-5.179957311133762
219,-282.93892433381694,-5.1799819779365635
220,-282.93896243303243,-5.180020077152051
221,-282.9390046251677,-5.180062269287305
222,-282.93904747491393,-5.180105119033556
223,-282.9390998861433,-5.180157530262932
224,-282.93917593338466,-5.180233577504282
225,-282.93926568646344,-5.1803233305830645
226,-282.93936936037437,-5.180427004493993
227,-282.9395088740471,-5.1805665181666996
228,-282.9396676390832,-5.1807252832028325
229,-282.9398733680512,-5.180931012170845
230,-282.9401112487977,-5.181168892917299
231,-282.9404070299208,-5.181464674040399
232,-282.94076338247737,-5.181821026596992
233,-282.9411891689385,-5.1822468130581
234,-282.9416919542075,-5.182749598327121
