      Step     Time          Energy          fmax
BFGS:    0 02:58:40     -282.951171        0.162108
BFGS:    1 02:58:41     -282.951763        0.085038
BFGS:    2 02:58:42     -282.952109        0.031265
BFGS:    3 02:58:42     -282.952175        0.030414
BFGS:    4 02:58:43     -282.952362        0.045385
BFGS:    5 02:58:44     -282.952486        0.035785
BFGS:    6 02:58:44     -282.952597        0.023006
BFGS:    7 02:58:45     -282.952681        0.023635
BFGS:    8 02:58:46     -282.952776        0.027265
BFGS:    9 02:58:46     -282.952879        0.031364
BFGS:   10 02:58:47     -282.952988        0.028834
BFGS:   11 02:58:48     -282.953089        0.031354
BFGS:   12 02:58:48     -282.953185        0.033954
BFGS:   13 02:58:49     -282.953283        0.031472
BFGS:   14 02:58:49     -282.953376        0.022876
BFGS:   15 02:58:50     -282.953450        0.019083
BFGS:   16 02:58:51     -282.953505        0.015294
BFGS:   17 02:58:51     -282.953547        0.013770
BFGS:   18 02:58:52     -282.953589        0.015339
BFGS:   19 02:58:53     -282.953635        0.016723
BFGS:   20 02:58:53     -282.953677        0.013559
BFGS:   21 02:58:54     -282.953710        0.016013
BFGS:   22 02:58:55     -282.953734        0.014481
BFGS:   23 02:58:56     -282.953756        0.012039
BFGS:   24 02:58:57     -282.953779        0.011517
BFGS:   25 02:58:57     -282.953799        0.009622
