optimization_step,energy_eV,energy_relative_to_start_eV
0,-282.84847370014273,0.0
1,-282.8484974701575,-2.377001476361329e-05
2,-282.8490899885,-0.0006162883572642386
3,-282.8499630933759,-0.0014893932331574433
4,-282.85097540098195,-0.0025017008392183016
5,-282.8515368841764,-0.0030631840336923233
6,-282.85177189697026,-0.0032981968275294093
7,-282.8519883264244,-0.003514626281685196
8,-282.85244851507235,-0.003974814929620152
9,-282.8532651861025,-0.0047914859597426585
10,-282.8542817893566,-0.005808089213871881
11,-282.8549545341023,-0.006480833959585652
12,-282.85521617380977,-0.006742473667031845
13,-282.85532286238373,-0.00684916224099652
14,-282.8554713624415,-0.006997662298772411
15,-282.855663469817,-0.007189769674255331
16,-282.85583210263263,-0.007358402489899163
17,-282.85595319025794,-0.00747949011520177
18,-282.8560782659722,-0.007604565829467447
19,-282.8562778779846,-0.007804177841876481
20,-282.85656200050926,-0.008088300366523526
21,-282.85684889354235,-0.008375193399615455
22,-282.8570630159643,-0.008589315821552646
23,-282.8572562054064,-0.008782505263638996
24,-282.85755431093423,-0.009080610791500021
25,-282.8580984116618,-0.009624711519052198
26,-282.8589614096379,-0.010487709495180297
27,-282.8599572818305,-0.011483581687741662
28,-282.8607942371539,-0.012320537011191846
29,-282.861490176921,-0.013016476778261676
30,-282.8621675529229,-0.013693852780193083
31,-282.86300667477263,-0.014532974629901219
32,-282.8639882426759,-0.015514542533139775
33,-282.86493901117774,-0.016465311035005925
34,-282.86579310390493,-0.01731940376220109
35,-282.866564724242,-0.018091024099248898
36,-282.8673278485403,-0.018854148397565496
37,-282.8685623512717,-0.02008865112895819
38,-282.87041772714105,-0.021944026998312438
39,-282.8729955688194,-0.024521868676686154
40,-282.8762927355746,-0.02781903543188946
41,-282.8801784893604,-0.03170478921765607
42,-282.8844283422845,-0.03595464214174626
43,-282.8887890009567,-0.0403153008139725
44,-282.89301578818043,-0.04454208803770143
45,-282.8969603396697,-0.04848663952697052
46,-282.9006104675792,-0.05213676743647966
47,-282.9037594099526,-0.05528570980987979
48,-282.9065534400779,-0.058079739935180896
49,-282.9089583513782,-0.060484651235469755
50,-282.9109798178838,-0.06250611774106574
51,-282.9126196937265,-0.06414599358379292
52,-282.9140039116852,-0.06553021154246608
53,-282.91552828609576,-0.06705458595303071
54,-282.91807872412187,-0.06960502397913615
55,-282.92005061661945,-0.07157691647671527
56,-282.921228191711,-0.07275449156827563
57,-282.92187738243945,-0.07340368229671412
58,-282.9223429144051,-0.07386921426234494
59,-282.92311739490924,-0.07464369476650745
60,-282.9240109026034,-0.07553720246067996
61,-282.92529159898254,-0.07681789883980628
62,-282.925801691421,-0.07732799127825274
63,-282.9263887792247,-0.07791507908194717
64,-282.92681216910876,-0.07833846896602381
65,-282.92709169182723,-0.07861799168449579
66,-282.92726010387844,-0.07878640373570533
67,-282.9274113057191,-0.07893760557635687
68,-282.9275821259148,-0.07910842577206267
69,-282.9277843698394,-0.07931066969666745
70,-282.92799723045624,-0.07952353031350867
71,-282.9281992737243,-0.07972557358158383
72,-282.9283876226983,-0.07991392255559049
73,-282.928580654964,-0.08010695482124675
74,-282.92876387832507,-0.08029017818233797
75,-282.92890088689586,-0.08042718675312699
76,-282.9289884467902,-0.08051474664745228
77,-282.92905909106446,-0.08058539092172623
78,-282.92913188798275,-0.08065818784001522
