      Step     Time          Energy          fmax
BFGS:    0 02:42:29     -282.848474        0.024844
BFGS:    1 02:42:30     -282.848497        0.024614
BFGS:    2 02:42:30     -282.849090        0.083196
BFGS:    3 02:42:30     -282.849963        0.142908
BFGS:    4 02:42:31     -282.850975        0.137254
BFGS:    5 02:42:31     -282.851537        0.063946
BFGS:    6 02:42:31     -282.851772        0.051334
BFGS:    7 02:42:31     -282.851988        0.060567
BFGS:    8 02:42:32     -282.852449        0.121854
BFGS:    9 02:42:32     -282.853265        0.171249
BFGS:   10 02:42:32     -282.854282        0.163819
BFGS:   11 02:42:33     -282.854955        0.083711
BFGS:   12 02:42:33     -282.855216        0.034675
BFGS:   13 02:42:33     -282.855323        0.033560
BFGS:   14 02:42:34     -282.855471        0.052065
BFGS:   15 02:42:34     -282.855663        0.051605
BFGS:   16 02:42:34     -282.855832        0.034990
BFGS:   17 02:42:35     -282.855953        0.034729
BFGS:   18 02:42:35     -282.856078        0.035315
BFGS:   19 02:42:36     -282.856278        0.059519
BFGS:   20 02:42:36     -282.856562        0.065762
BFGS:   21 02:42:37     -282.856849        0.044148
BFGS:   22 02:42:37     -282.857063        0.036582
BFGS:   23 02:42:38     -282.857256        0.037334
BFGS:   24 02:42:38     -282.857554        0.068675
BFGS:   25 02:42:38     -282.858098        0.092542
BFGS:   26 02:42:39     -282.858961        0.090763
BFGS:   27 02:42:40     -282.859957        0.082797
BFGS:   28 02:42:40     -282.860794        0.057765
BFGS:   29 02:42:40     -282.861490        0.073680
BFGS:   30 02:42:41     -282.862168        0.079697
BFGS:   31 02:42:41     -282.863007        0.085862
BFGS:   32 02:42:42     -282.863988        0.082058
BFGS:   33 02:42:42     -282.864939        0.070622
BFGS:   34 02:42:42     -282.865793        0.084323
BFGS:   35 02:42:43     -282.866565        0.086994
BFGS:   36 02:42:43     -282.867328        0.087405
BFGS:   37 02:42:43     -282.868562        0.085953
BFGS:   38 02:42:44     -282.870418        0.089758
BFGS:   39 02:42:44     -282.872996        0.094086
BFGS:   40 02:42:45     -282.876293        0.099637
BFGS:   41 02:42:45     -282.880178        0.106516
BFGS:   42 02:42:45     -282.884428        0.114618
BFGS:   43 02:42:46     -282.888789        0.123826
BFGS:   44 02:42:46     -282.893016        0.135248
BFGS:   45 02:42:46     -282.896960        0.143088
BFGS:   46 02:42:47     -282.900610        0.140638
BFGS:   47 02:42:47     -282.903759        0.136151
BFGS:   48 02:42:48     -282.906553        0.125127
BFGS:   49 02:42:48     -282.908958        0.112320
BFGS:   50 02:42:48     -282.910980        0.096678
BFGS:   51 02:42:49     -282.912620        0.098358
BFGS:   52 02:42:49     -282.914004        0.106261
BFGS:   53 02:42:49     -282.915528        0.101057
BFGS:   54 02:42:50     -282.918079        0.101809
BFGS:   55 02:42:50     -282.920051        0.081664
BFGS:   56 02:42:50     -282.921228        0.075705
BFGS:   57 02:42:51     -282.921877        0.060561
BFGS:   58 02:42:51     -282.922343        0.054719
BFGS:   59 02:42:51     -282.923117        0.056289
BFGS:   60 02:42:52     -282.924011        0.068870
BFGS:   61 02:42:52     -282.925292        0.057873
BFGS:   62 02:42:53     -282.925802        0.051756
BFGS:   63 02:42:53     -282.926389        0.044318
BFGS:   64 02:42:53     -282.926812        0.039139
BFGS:   65 02:42:54     -282.927092        0.031694
BFGS:   66 02:42:54     -282.927260        0.024188
BFGS:   67 02:42:55     -282.927411        0.023950
BFGS:   68 02:42:55     -282.927582        0.032471
BFGS:   69 02:42:55     -282.927784        0.038411
BFGS:   70 02:42:56     -282.927997        0.035760
BFGS:   71 02:42:56     -282.928199        0.035468
BFGS:   72 02:42:57     -282.928388        0.032709
BFGS:   73 02:42:57     -282.928581        0.034241
BFGS:   74 02:42:57     -282.928764        0.031375
BFGS:   75 02:42:58     -282.928901        0.022443
BFGS:   76 02:42:58     -282.928988        0.024292
BFGS:   77 02:42:58     -282.929059        0.020139
BFGS:   78 02:42:59     -282.929132        0.018406
