      Step     Time          Energy          fmax
BFGS:    0 02:42:04     -274.597474        0.024470
BFGS:    1 02:42:04     -274.597512        0.024337
BFGS:    2 02:42:04     -274.597547        0.024325
BFGS:    3 02:42:04     -274.598335        0.113584
BFGS:    4 02:42:05     -274.599592        0.207278
BFGS:    5 02:42:05     -274.601776        0.286877
BFGS:    6 02:42:05     -274.603930        0.306997
BFGS:    7 02:42:05     -274.605981        0.271079
BFGS:    8 02:42:06     -274.607671        0.149829
BFGS:    9 02:42:06     -274.608147        0.033865
BFGS:   10 02:42:06     -274.608217        0.019487
