optimization_step,energy_eV,energy_relative_to_start_eV
0,-274.6096935783371,0.0
1,-274.60969978746834,-6.209131242940202e-06
2,-274.6097115285738,-1.7950236724573188e-05
3,-274.6097276802223,-3.410188520547308e-05
4,-274.6097470852953,-5.3506958181515074e-05
5,-274.6097690030325,-7.542469541022001e-05
6,-274.60979340676664,-9.982842954059379e-05
7,-274.6098209401124,-0.0001273617752985956
8,-274.60985614576146,-0.00016256742435416527
9,-274.6099017484561,-0.00020817011898088822
10,-274.6099601481357,-0.0002665697986117266
11,-274.610032697514,-0.0003391191768855606
12,-274.6101203250114,-0.0004267466742930992
13,-274.6102261204895,-0.0005325421523707519
14,-274.61035666056387,-0.0006630822267652547
15,-274.6105177282298,-0.0008241498927077373
16,-274.6107108553651,-0.0010172770279837096
17,-274.6109418323999,-0.0012482540627729577
18,-274.61122129839106,-0.0015277200539571822
19,-274.61155070852664,-0.001857130189534928
20,-274.6119403979024,-0.002246819565300484
21,-274.61239355666555,-0.002699978328450925
22,-274.612918007415,-0.003224429077874902
23,-274.61351201642833,-0.0038184380912298366
24,-274.614171404449,-0.004477826111894956
25,-274.6148692068112,-0.005175628474091809
26,-274.615507795078,-0.005814216740873235
27,-274.61574656001744,-0.006052981680340963
28,-274.61637357393914,-0.006679995602041799
