      Step     Time          Energy          fmax
FIRE:    0 02:34:53     -274.609694        0.038576
FIRE:    1 02:34:54     -274.609700        0.038562
FIRE:    2 02:34:54     -274.609712        0.038533
FIRE:    3 02:34:54     -274.609728        0.038490
FIRE:    4 02:34:54     -274.609747        0.038432
FIRE:    5 02:34:54     -274.609769        0.038360
FIRE:    6 02:34:55     -274.609793        0.038271
FIRE:    7 02:34:55     -274.609821        0.038168
FIRE:    8 02:34:55     -274.609856        0.038039
FIRE:    9 02:34:55     -274.609902        0.037877
FIRE:   10 02:34:55     -274.609960        0.037677
FIRE:   11 02:34:56     -274.610033        0.037433
FIRE:   12 02:34:56     -274.610120        0.037138
FIRE:   13 02:34:56     -274.610226        0.036781
FIRE:   14 02:34:56     -274.610357        0.036352
FIRE:   15 02:34:56     -274.610518        0.035837
FIRE:   16 02:34:57     -274.610711        0.035210
FIRE:   17 02:34:57     -274.610942        0.034443
FIRE:   18 02:34:57     -274.611221        0.033523
FIRE:   19 02:34:57     -274.611551        0.032456
FIRE:   20 02:34:57     -274.611940        0.031272
FIRE:   21 02:34:58     -274.612394        0.029964
FIRE:   22 02:34:58     -274.612918        0.028476
FIRE:   23 02:34:58     -274.613512        0.026855
FIRE:   24 02:34:58     -274.614171        0.025484
FIRE:   25 02:34:58     -274.614869        0.037435
FIRE:   26 02:34:59     -274.615508        0.090418
FIRE:   27 02:34:59     -274.615747        0.186074
FIRE:   28 02:34:59     -274.616374        0.019760
