optimization_step,energy_eV,energy_relative_to_start_eV
0,-234.03043905593557,0.0
1,-234.03289143669713,-0.0024523807615537407
2,-234.03710420686286,-0.006665150927290142
3,-234.04195783298707,-0.01151877705149218
4,-234.0463321569813,-0.015893101045719504
5,-234.04955168042073,-0.019112624485160268
6,-234.0516922809909,-0.021253225055318126
7,-234.0534663285145,-0.023027272578929114
8,-234.05597478776735,-0.025535731831780595
9,-234.0600593109449,-0.029620255009319862
10,-234.0660410684411,-0.035602012505535185
11,-234.07326895580627,-0.04282989987069641
12,-234.08031232139223,-0.049873265456653826
13,-234.08669449383183,-0.056255437896254534
14,-234.09431433668425,-0.06387528074867532
15,-234.10461620868875,-0.0741771527531796
16,-234.11560346183586,-0.08516440590028651
17,-234.1261803519908,-0.0957412960552233
18,-234.1395246524662,-0.10908559653063321
19,-234.15440759948626,-0.12396854355068854
20,-234.167556553319,-0.1371174973834286
21,-234.1814575362837,-0.15101848034811383
22,-234.19351764463715,-0.16307858870158043
23,-234.2058747600185,-0.17543570408292908
24,-234.2123328215211,-0.18189376558552794
25,-234.21207067929885,-0.18163162336327332
26,-234.2138598001364,-0.18342074420081644
27,-234.21519107966463,-0.18475202372906097
28,-234.2163381811738,-0.1858991252382225
29,-234.21895651898433,-0.18851746304875405
30,-234.22183826717566,-0.19139921124008197
31,-234.22391117674,-0.19347212080441523
32,-234.22654372965297,-0.19610467371740015
33,-234.22975838220998,-0.19931932627440574
34,-234.23231506552708,-0.20187600959150132
35,-234.23568496095078,-0.2052459050152038
36,-234.23803027514447,-0.20759121920889356
37,-234.24127153906136,-0.21083248312578462
38,-234.24326911006125,-0.2128300541256749
39,-234.24608412439125,-0.21564506845567166
40,-234.24673554287438,-0.216296486938802
41,-234.24702536027968,-0.21658630434410497
42,-234.24707760598517,-0.21663855004959487
43,-234.2471686010416,-0.21672954510603404
44,-234.24727946859178,-0.2168404126562109
45,-234.24739793024463,-0.21695887430905714
46,-234.24752613558525,-0.2170870796496729
47,-234.24767675113372,-0.2172376951981505
48,-234.24786036613136,-0.21742131019578892
49,-234.2481008395406,-0.21766178360502408
50,-234.24839337410685,-0.2179543181712802
51,-234.24872749272248,-0.21828843678690646
52,-234.24911474308652,-0.21867568715094876
53,-234.24958772387288,-0.21914866793730425
54,-234.25014808861073,-0.21970903267515496
55,-234.25077143058297,-0.2203323746473984
56,-234.2514894157237,-0.22105035978813703
57,-234.25230882898978,-0.22186977305420896
58,-234.25320994021303,-0.22277088427745184
59,-234.2542412410973,-0.22380218516173045
60,-234.25540139557063,-0.22496233963505574
61,-234.2567409268073,-0.2263018708717368
62,-234.2582928281475,-0.22785377221191538
63,-234.25998777137454,-0.22954871543896616
64,-234.26108469229217,-0.23064563635659852
65,-234.26218415207472,-0.23174509613915006
66,-234.26149974809715,-0.2310606921615772
67,-234.26186526054175,-0.2314262046061799
68,-234.26227492816923,-0.23183587223365976
69,-234.2623864826552,-0.2319474267196142
70,-234.26239262724886,-0.23195357131328365
