optimization_step,energy_eV,energy_relative_to_start_eV
0,-234.36986852240994,0.0
1,-234.37031524836624,-0.0004467259562943582
2,-234.37054634895998,-0.0006778265500315683
3,-234.37064488963676,-0.0007763672268197297
4,-234.37144947642673,-0.0015809540167879277
5,-234.37300086665755,-0.003132344247603669
6,-234.37711161686633,-0.007243094456384824
7,-234.38158409406788,-0.011715571657930468
8,-234.3866392097661,-0.016770687356142844
9,-234.3921728811922,-0.022304358782264444
10,-234.39802655382863,-0.028158031418684004
11,-234.4055170114383,-0.03564848902834683
12,-234.41450201719397,-0.04463349478402279
13,-234.42514951866184,-0.055280996251894976
14,-234.43666707708593,-0.06679855467598372
15,-234.44893426597628,-0.079065743566332
16,-234.46107939573085,-0.09121087332090383
17,-234.47358016591613,-0.10371164350618756
18,-234.4859659025214,-0.1160973801114551
19,-234.49855332415513,-0.12868480174518027
20,-234.51075380643164,-0.14088528402169231
21,-234.52285822205448,-0.1529896996445359
22,-234.5341343112819,-0.1642657888719441
23,-234.54506674617522,-0.17519822376527827
24,-234.55479194935572,-0.18492342694577246
25,-234.56437773729823,-0.194509214888285
26,-234.57258315651148,-0.20271463410153956
27,-234.58249529828464,-0.21262677587469625
28,-234.59292029244062,-0.2230517700306791
29,-234.61360710725518,-0.24373858484523225
30,-234.64133764529186,-0.2714691228819106
31,-234.67123296579229,-0.30136444338234014
32,-234.6967001906064,-0.32683166819646203
33,-234.71940030477407,-0.3495317823641244
34,-234.74040816797736,-0.37053964556741903
35,-234.76102049638632,-0.3911519739763776
36,-234.78232376706063,-0.41245524465068684
37,-234.80520559205473,-0.43533706964478824
38,-234.82983900280402,-0.45997048039407673
39,-234.85626637736607,-0.48639785495612387
40,-234.88553304100407,-0.5156645185941215
41,-234.91864170600246,-0.548773183592516
42,-234.95709633793837,-0.5872278155284221
43,-234.99175244177388,-0.6218839193639383
44,-235.03408861311857,-0.6642200907086249
45,-235.0543512773172,-0.6844827549072647
46,-235.09114585808987,-0.7212773356799289
47,-235.1321856004734,-0.7623170780634609
48,-235.17635580381977,-0.8064872814098294
49,-235.2215172499919,-0.85164872758196
50,-235.26666194837475,-0.8967934259648018
51,-235.31132851133418,-0.9414599889242368
52,-235.35615419510543,-0.9862856726954874
53,-235.40079441227408,-1.030925889864136
54,-235.43376515094218,-1.063896628532234
55,-235.45728443752085,-1.0874159151109097
56,-235.4857815602051,-1.115913037795167
57,-235.50097819721293,-1.1311096748029854
58,-235.50906345568103,-1.1391949332710851
