      Step     Time          Energy          fmax
BFGS:    0 02:41:47     -238.052254        0.160292
BFGS:    1 02:41:47     -238.052596        0.140456
BFGS:    2 02:41:47     -238.053062        0.165618
BFGS:    3 02:41:48     -238.061019        0.437688
BFGS:    4 02:41:48     -238.069447        0.565150
BFGS:    5 02:41:48     -238.079785        0.561809
BFGS:    6 02:41:48     -238.091667        0.467133
BFGS:    7 02:41:49     -238.104119        0.327629
BFGS:    8 02:41:49     -238.114586        0.334838
BFGS:    9 02:41:49     -238.118260        1.169639
BFGS:   10 02:41:49     -238.134683        0.479375
BFGS:   11 02:41:50     -238.146266        0.312758
BFGS:   12 02:41:50     -238.155008        0.413680
BFGS:   13 02:41:50     -238.161196        0.484820
BFGS:   14 02:41:50     -238.165476        0.438786
BFGS:   15 02:41:51     -238.168530        0.254973
BFGS:   16 02:41:51     -238.170979        0.202915
BFGS:   17 02:41:51     -238.171765        0.213396
BFGS:   18 02:41:52     -238.174216        0.255134
BFGS:   19 02:41:52     -238.176062        0.214944
BFGS:   20 02:41:52     -238.177402        0.117970
BFGS:   21 02:41:53     -238.178102        0.090300
BFGS:   22 02:41:53     -238.178931        0.139148
BFGS:   23 02:41:53     -238.179820        0.127489
BFGS:   24 02:41:54     -238.180695        0.118697
BFGS:   25 02:41:54     -238.181371        0.087260
BFGS:   26 02:41:54     -238.181961        0.117985
BFGS:   27 02:41:54     -238.182552        0.118288
BFGS:   28 02:41:55     -238.183029        0.065136
BFGS:   29 02:41:55     -238.183319        0.037740
BFGS:   30 02:41:55     -238.183539        0.066014
BFGS:   31 02:41:55     -238.183759        0.074764
BFGS:   32 02:41:56     -238.183936        0.045525
BFGS:   33 02:41:56     -238.184042        0.026006
BFGS:   34 02:41:56     -238.184113        0.031082
BFGS:   35 02:41:56     -238.184200        0.053356
BFGS:   36 02:41:57     -238.184316        0.058047
BFGS:   37 02:41:57     -238.184429        0.037026
BFGS:   38 02:41:57     -238.184507        0.018925
