optimization_step,energy_eV,energy_relative_to_start_eV
0,-227.37283929958232,0.0
1,-227.3731706112602,-0.0003313116778826952
2,-227.37373223452778,-0.0008929349454547264
3,-227.37436295401147,-0.0015236544291497012
4,-227.3749077797986,-0.002068480216280477
5,-227.37528866575911,-0.0024493661767905905
6,-227.37554886303678,-0.002709563454459385
7,-227.3758141412638,-0.002974841681464113
8,-227.37625156943238,-0.0034122698500596016
9,-227.37697063089297,-0.004131331310645692
10,-227.37797309578775,-0.005133796205427643
11,-227.3791093250614,-0.0062700254790684085
12,-227.38020554674182,-0.007366247159495742
13,-227.3813956206643,-0.008556321081982787
14,-227.38305231900085,-0.010213019418529257
15,-227.3851376608731,-0.012298361290788762
16,-227.38723746453326,-0.014398164950932824
17,-227.38975999037507,-0.016920690792744608
18,-227.39306079496902,-0.020221495386692823
19,-227.39667620642473,-0.023836906842404915
20,-227.4015794624388,-0.0287401628564794
21,-227.40759739076094,-0.034758091178616723
22,-227.41654687241845,-0.043707572836126474
23,-227.42931903226633,-0.05647973268401074
24,-227.44860758242595,-0.07576828284362591
25,-227.47893106657557,-0.10609176699324507
26,-227.51229144777034,-0.13945214818801333
27,-227.5469739900343,-0.1741346904519787
28,-227.5788009961414,-0.20596169655908625
29,-227.60645506759352,-0.233615768011191
30,-227.6278565601097,-0.2550172605273815
31,-227.6425285872395,-0.26968928765717237
32,-227.65073614763264,-0.2778968480503181
33,-227.65037722888826,-0.2775379293059359
34,-227.6394199618985,-0.26658066231618704
35,-227.65418056093557,-0.2813412613532478
36,-227.64474409690575,-0.27190479732342965
37,-227.64847310306607,-0.27563380348374267
38,-227.6532453036279,-0.2804060040455738
39,-227.655440408748,-0.2826011091656824
40,-227.6554581783151,-0.28261887873276237
41,-227.65549356233169,-0.2826542627493609
42,-227.65554628408591,-0.2827069845035908
43,-227.6556160075374,-0.2827767079550654
44,-227.6557024141984,-0.2828631146160774
45,-227.65580527270458,-0.28296597312225913
46,-227.655924477756,-0.2830851781736783
47,-227.65607542329303,-0.28323612371070794
48,-227.65626553646769,-0.2834262368853615
49,-227.65650385087054,-0.28366455128821144
50,-227.6568010689959,-0.28396176941356543
51,-227.65716953348283,-0.28433023390050494
52,-227.6576233935021,-0.2847840939197681
53,-227.65817937484047,-0.28534007525814786
54,-227.658857965896,-0.2860186663136801
55,-227.65968360633406,-0.2868443067517319
56,-227.66068311431582,-0.28784381473349185
57,-227.6618856740297,-0.28904637444736636
58,-227.66332633596858,-0.29048703638625284
59,-227.66504418483083,-0.29220488524850907
60,-227.6670787502772,-0.29423945069487445
61,-227.6694762888347,-0.29663698925236304
62,-227.6722810650851,-0.29944176550276325
63,-227.67553917805049,-0.30269987846816093
64,-227.6792845061267,-0.30644520654436747
65,-227.6835260294285,-0.31068672984616796
66,-227.6882052571874,-0.31536595760508135
67,-227.69307422223562,-0.3202349226532988
68,-227.69689834613888,-0.32405904655655604
69,-227.69377719725173,-0.3209378976694097
70,-227.7014673600499,-0.3286280604675653
71,-227.69482156854787,-0.3219822689655416
72,-227.69810762448537,-0.3252683249030497
73,-227.7012962402851,-0.32845694070277887
74,-227.70133321857264,-0.32849391899031843
75,-227.70139622257375,-0.32855692299142447
76,-227.7015078161624,-0.32866851658008045
77,-227.70164263913,-0.32880333954767593
78,-227.70177064018117,-0.3289313405988423
79,-227.70186499136673,-0.329025691784409
80,-227.70191111165042,-0.32907181206809355
81,-227.70191702977735,-0.3290777301950243
82,-227.7019191623209,-0.32907986273858114
83,-227.70192335763363,-0.3290840580513077
84,-227.70192948096752,-0.3290901813851974
85,-227.70193734221107,-0.3290980426287433
86,-227.70194671003617,-0.32910741045384384
87,-227.701957329962,-0.329118030379675
88,-227.7019689453764,-0.3291296457940689
89,-227.70198266587533,-0.32914336629301033
90,-227.70199858033396,-0.32915928075163947
91,-227.70201679650535,-0.3291774969230232
92,-227.70203756663585,-0.3291982670535276
93,-227.7020614964639,-0.32922219688157384
94,-227.70208979264686,-0.329250493064535
95,-227.70212442297247,-0.32928512339015015
96,-227.70216801645842,-0.3293287168760912
97,-227.70222337593543,-0.32938407635310796
98,-227.70229267246083,-0.32945337287850407
99,-227.70237683134968,-0.32953753176735745
100,-227.7024761975241,-0.3296368979417821
101,-227.70259320710505,-0.32975390752272915
102,-227.7027346763735,-0.3298953767911712
