optimization_step,energy_eV,energy_relative_to_start_eV
0,-227.79788204873967,0.0
1,-227.79792164486133,-3.959612166681836e-05
2,-227.80089418420516,-0.0030121354654966126
3,-227.80383824200067,-0.005956193260999498
4,-227.80710841664722,-0.009226367907558597
5,-227.8114854100118,-0.01360336127214623
6,-227.81710759203582,-0.019225543296158776
7,-227.8236654569012,-0.02578340816154423
8,-227.83075781504118,-0.03287576630151534
9,-227.83818378023767,-0.040301731498004756
10,-227.84565659418968,-0.04777454545001092
11,-227.85320890675848,-0.05532685801881598
12,-227.85982483282726,-0.06194278408759146
13,-227.86738266992876,-0.06950062118909273
14,-227.87177726649185,-0.073895217752181
15,-227.87578137418262,-0.07789932544295652
16,-227.88040054597326,-0.08251849723359328
17,-227.88588667642392,-0.08800462768425632
18,-227.8921952005844,-0.09431315184474443
19,-227.89868846662642,-0.10080641788675848
20,-227.90507712255192,-0.10719507381224957
21,-227.91110360564397,-0.11322155690430691
22,-227.91718305835525,-0.1193010096155831
23,-227.92505454466465,-0.12717249592498092
24,-227.93723725834525,-0.13935520960558279
25,-227.95581664479272,-0.15793459605305316
26,-227.98172804283985,-0.18384599410018154
27,-228.0126989621068,-0.21481691336714448
28,-228.04281527999945,-0.24493323125977895
29,-228.06983015420116,-0.2719481054614903
30,-228.09602387119855,-0.2981418224588879
31,-228.12340978544563,-0.3255277367059648
32,-228.1542055651463,-0.35632351640663273
33,-228.1864585757741,-0.388576527034445
34,-228.22313276656837,-0.4252507178287033
35,-228.24538080064485,-0.4474987519051865
36,-228.28040468287435,-0.482522634134682
37,-228.3179944998359,-0.5201124510962245
38,-228.36089126829052,-0.5630092195508496
39,-228.40585230683178,-0.6079702580921094
40,-228.45419333384876,-0.6563112851090978
41,-228.5044729931783,-0.7065909444386307
42,-228.557781670356,-0.7598996216163414
43,-228.60402701020007,-0.8061449614604044
44,-228.6309912156271,-0.8331091668874251
45,-228.65234997400427,-0.8544679252646006
46,-228.67229148024933,-0.8744094315096618
47,-228.68157824484717,-0.8836961961075076
48,-228.68931896700406,-0.8914369182643895
49,-228.69895580641287,-0.9010737576732026
50,-228.70882679108632,-0.9109447423466577
51,-228.71905314632585,-0.921171097586182
52,-228.72969171676175,-0.9318096680220833
53,-228.7375523777606,-0.9396703290209416
54,-228.7455722085964,-0.9476901598567338
55,-228.75125753875767,-0.9533754900180043
56,-228.7569524411615,-0.959070392421836
57,-228.76339053277786,-0.965508484038196
58,-228.76935750888902,-0.9714754601493496
59,-228.77437358839018,-0.9764915396505103
60,-228.77864767975763,-0.9807656310179595
61,-228.78215618819075,-0.9842741394510881
62,-228.78461791280586,-0.9867358640661905
63,-228.78645751634969,-0.9885754676100191
64,-228.7882443663495,-0.9903623176098222
65,-228.79076522749165,-0.9928831787519812
66,-228.79342758491123,-0.9955455361715622
67,-228.79547942037527,-0.9975973716356066
68,-228.7973764063916,-0.9994943576519404
69,-228.79959250906626,-1.001710460326592
70,-228.8025196434952,-1.0046375947555362
71,-228.8058318605378,-1.0079498117981416
72,-228.80880245198642,-1.0109204032467574
73,-228.81130025296795,-1.0134182042282873
74,-228.81348203831345,-1.0155999895737864
75,-228.81569619127356,-1.0178141425338936
76,-228.8183839207747,-1.0205018720350267
77,-228.82151487430792,-1.0236328255682565
78,-228.8245219416807,-1.0266398929410343
79,-228.82721647532543,-1.0293344265857627
80,-228.82876295115108,-1.0308809024114112
81,-228.8304057811115,-1.0325237323718284
82,-228.83232811822717,-1.034446069487501
83,-228.83402749624315,-1.0361454475034861
84,-228.8360344992875,-1.038152450547841
85,-228.8375775491465,-1.0396955004068218
86,-228.83862856249408,-1.0407465137544136
87,-228.83930015354167,-1.0414181048020055
88,-228.83986235971565,-1.0419803109759869
89,-228.84033619288738,-1.0424541441477118
90,-228.84067425581298,-1.0427922070733189
91,-228.84089845248883,-1.0430164037491636
92,-228.84106964234775,-1.0431875936080814
93,-228.84121552454388,-1.0433334758042179
94,-228.84133578306108,-1.0434537343214174
95,-228.84143189519398,-1.0435498464543116
96,-228.8415213649517,-1.0436393162120225
97,-228.84162455143888,-1.0437425026992173
98,-228.84174138478062,-1.0438593360409527
99,-228.84184711846922,-1.043965069729552
100,-228.8419230369335,-1.0440409881938422
