      Step     Time          Energy          fmax
FIRE:    0 02:22:00     -219.648970        0.039917
FIRE:    1 02:22:00     -219.648983        0.039577
FIRE:    2 02:22:01     -219.649007        0.038906
FIRE:    3 02:22:01     -219.649043        0.037930
FIRE:    4 02:22:01     -219.649089        0.036681
FIRE:    5 02:22:01     -219.649145        0.035205
FIRE:    6 02:22:01     -219.649209        0.033554
FIRE:    7 02:22:01     -219.649281        0.031783
FIRE:    8 02:22:01     -219.649368        0.030940
FIRE:    9 02:22:02     -219.649471        0.030712
FIRE:   10 02:22:02     -219.649592        0.030057
FIRE:   11 02:22:02     -219.649732        0.028878
FIRE:   12 02:22:02     -219.649889        0.027206
FIRE:   13 02:22:02     -219.650063        0.025289
FIRE:   14 02:22:02     -219.650248        0.023543
