optimization_step,energy_eV,energy_relative_to_start_eV
0,-219.7061701096653,0.0
1,-219.70617480308346,-4.693418162560192e-06
2,-219.70618396323988,-1.3853574586164541e-05
3,-219.70619719884758,-2.708918228222501e-05
4,-219.7062140599517,-4.3950286396921e-05
5,-219.7062341483677,-6.403870241911136e-05
6,-219.7062571856046,-8.707593931944757e-05
7,-219.70628300945836,-0.00011289979306638998
8,-219.70631468762747,-0.00014457796217470786
9,-219.70635325106633,-0.00018314140103825594
10,-219.706399773698,-0.0002296640327017485
11,-219.70645546338727,-0.00028535372197779907
12,-219.7065219016826,-0.0003517920173123912
13,-219.70660097134152,-0.00043086167622163885
14,-219.7066941313081,-0.0005240216428035183
15,-219.7068024462574,-0.0006323365921048207
16,-219.70692868468683,-0.0007585750215355347
17,-219.7070777381317,-0.000907628466393362
18,-219.7072551856385,-0.0010850759732079496
19,-219.70746711389094,-0.0012970042256483794
20,-219.70771779059234,-0.001547680927046713
21,-219.70801525225815,-0.0018451425928560639
22,-219.70836657432667,-0.0021964646613810146
23,-219.70878049127796,-0.0026103816126692436
24,-219.70927496361062,-0.0031048539453308877
25,-219.70985297718357,-0.003682867518278954
26,-219.71038454420005,-0.004214434534759448
27,-219.70944497027844,-0.003274860613146302
28,-219.7113502525935,-0.005180142928196574
29,-219.71137333687525,-0.0052032272099609145
30,-219.71140081578832,-0.005230706123029449
31,-219.71141741632468,-0.005247306659384776
32,-219.7114309451099,-0.005260835444602208
33,-219.71145860197788,-0.005288492312587323
34,-219.71150273807208,-0.005332628406790718
35,-219.71155029430915,-0.005380184643854591
36,-219.7115961497709,-0.005426040105618313
37,-219.71165299615416,-0.005482886488863414
38,-219.71173802613916,-0.005567916473864898
39,-219.71183564012696,-0.005665530461669732
40,-219.71194828338903,-0.005778173723740565
41,-219.71210309545637,-0.005932985791076817
42,-219.71227760275758,-0.006107493092287086
43,-219.71250966652283,-0.006339556857540174
44,-219.71277989969497,-0.006609790029671103
45,-219.71312375640971,-0.006953646744420894
46,-219.71354934335264,-0.007379233687345277
47,-219.71407402759394,-0.007903917928643978
48,-219.7147149480506,-0.008544838385319053
49,-219.71531202663547,-0.009141916970179409
50,-219.7134857401765,-0.007315630511214977
51,-219.7163704448573,-0.010200335191996146
52,-219.71646564166488,-0.010295531999588547
53,-219.71655128102284,-0.010381171357551011
54,-219.71655203554906,-0.010381925883763188
55,-219.716558392606,-0.010388282940709814
56,-219.71656973016593,-0.010399620500635365
57,-219.71658374261847,-0.010413632953174101
58,-219.71659798831678,-0.01042787865148398
59,-219.71661083787208,-0.010440728206788208
60,-219.71662224822703,-0.010452138561731772
61,-219.71663375299028,-0.010463643324982286
62,-219.7166491027013,-0.010478993036002748
63,-219.71667131733236,-0.010501207667061863
64,-219.71670229186984,-0.01053218220454255
65,-219.716741318468,-0.010571208802701904
66,-219.7167858334885,-0.01061572382320719
67,-219.716836417507,-0.010666307841717071
68,-219.71690046607657,-0.010730356411272624
69,-219.71698464375925,-0.010814534093952943
70,-219.71708587991682,-0.010915770251529011
71,-219.71720514651943,-0.01103503685413898
72,-219.71735786009742,-0.011187750432128496
73,-219.71754283203506,-0.011372722369770827
74,-219.71776858509355,-0.01159847542825787
75,-219.7180489351224,-0.011878825457102948
76,-219.71839166635704,-0.012221556691741853
77,-219.7188105911636,-0.012640481498294776
78,-219.71932986290108,-0.013159753235783
79,-219.7199673181776,-0.01379720851230104
80,-219.72075055414157,-0.014580444476280263
81,-219.7216583202234,-0.015488210558117999
82,-219.72214010897434,-0.015969999309049854
83,-219.7228968185876,-0.01672670892230599
84,-219.72291131161398,-0.016741201948690332
85,-219.72293383706264,-0.016763727397346884
