      Step     Time          Energy          fmax
BFGS:    0 02:40:53     -222.692960        1.537467
BFGS:    1 02:40:53     -222.735366        0.563672
BFGS:    2 02:40:53     -222.748859        0.582119
BFGS:    3 02:40:54     -222.797412        0.617770
BFGS:    4 02:40:54     -222.825883        0.764424
BFGS:    5 02:40:54     -222.851144        0.661174
BFGS:    6 02:40:54     -222.867983        0.434985
BFGS:    7 02:40:54     -222.874733        0.274038
BFGS:    8 02:40:54     -222.878980        0.181397
BFGS:    9 02:40:54     -222.881505        0.190452
BFGS:   10 02:40:55     -222.883955        0.192368
BFGS:   11 02:40:55     -222.887430        0.256934
BFGS:   12 02:40:55     -222.892703        0.299698
BFGS:   13 02:40:55     -222.898507        0.224826
BFGS:   14 02:40:55     -222.903143        0.181880
BFGS:   15 02:40:55     -222.906443        0.165068
BFGS:   16 02:40:55     -222.909457        0.177919
BFGS:   17 02:40:56     -222.913734        0.198482
BFGS:   18 02:40:56     -222.918959        0.222713
BFGS:   19 02:40:56     -222.924535        0.202345
BFGS:   20 02:40:56     -222.929512        0.299503
BFGS:   21 02:40:56     -222.933676        0.382987
BFGS:   22 02:40:56     -222.938084        0.249838
BFGS:   23 02:40:57     -222.944437        0.304971
BFGS:   24 02:40:57     -222.952800        0.310530
BFGS:   25 02:40:57     -222.957736        0.299049
BFGS:   26 02:40:57     -222.962292        0.160087
BFGS:   27 02:40:57     -222.964223        0.224028
BFGS:   28 02:40:57     -222.966481        0.130259
BFGS:   29 02:40:57     -222.970098        0.135158
BFGS:   30 02:40:58     -222.973426        0.127067
BFGS:   31 02:40:58     -222.976736        0.128426
BFGS:   32 02:40:58     -222.978643        0.114131
BFGS:   33 02:40:58     -222.980137        0.119814
BFGS:   34 02:40:58     -222.981266        0.120796
BFGS:   35 02:40:58     -222.982176        0.106595
BFGS:   36 02:40:58     -222.983767        0.074369
BFGS:   37 02:40:59     -222.984613        0.058731
BFGS:   38 02:40:59     -222.985508        0.059613
BFGS:   39 02:40:59     -222.985945        0.049243
BFGS:   40 02:40:59     -222.986325        0.062668
BFGS:   41 02:40:59     -222.986697        0.070389
BFGS:   42 02:41:00     -222.987110        0.051371
BFGS:   43 02:41:00     -222.987445        0.038916
BFGS:   44 02:41:00     -222.987654        0.027901
BFGS:   45 02:41:00     -222.987780        0.029908
BFGS:   46 02:41:00     -222.987883        0.024737
BFGS:   47 02:41:00     -222.987985        0.024435
BFGS:   48 02:41:01     -222.988077        0.023174
BFGS:   49 02:41:01     -222.988141        0.017640
