optimization_step,energy_eV,energy_relative_to_start_eV
0,-14.161416503705231,0.0
1,-14.162827017663407,-0.0014105139581754855
2,-14.165195369042848,-0.0037788653376171766
3,-14.167776031546063,-0.006359527840832158
4,-14.169785241569661,-0.008368737864429932
5,-14.170654120610674,-0.009237616905442891
6,-14.170275108514968,-0.008858604809736548
7,-14.170293872168203,-0.008877368462972157
8,-14.170330111907138,-0.008913608201906342
9,-14.170381345158365,-0.008964841453133587
10,-14.17044407397805,-0.009027570272818863
11,-14.170514040638299,-0.009097536933067474
12,-14.170586543445804,-0.009170039740572733
13,-14.170656794569307,-0.009240290864076073
14,-14.170726416139198,-0.009309912433966616
15,-14.17078764498121,-0.009371141275979156
16,-14.170831171844107,-0.00941466813887537
17,-14.170849785743954,-0.009433282038722623
18,-14.170845567666682,-0.009429063961450268
19,-14.170846901337214,-0.009430397631982501
20,-14.170849520047101,-0.00943301634186966
21,-14.170853328839605,-0.00943682513437416
22,-14.170858190987087,-0.009441687281855238
23,-14.170863934641691,-0.009447430936459611
24,-14.170870361389028,-0.009453857683796585
25,-14.170877256386495,-0.009460752681263784
26,-14.170885160683575,-0.009468656978343759
27,-14.170893895544072,-0.009477391838840887
28,-14.170903138163398,-0.009486634458166776
29,-14.170912431174127,-0.009495927468895715
30,-14.170921266020585,-0.009504762315353688
31,-14.170929279957997,-0.009512776252766031
32,-14.170936525117472,-0.009520021412241064
33,-14.17094359712583,-0.009527093420599542
34,-14.170951400929827,-0.00953489722459544
35,-14.170960543198857,-0.009544039493626144
36,-14.170970493551916,-0.009553989846684985
37,-14.170978845656391,-0.00956234195115968
38,-14.170981401811636,-0.009564898106404485
