      Step     Time          Energy          fmax
FIRE:    0 02:21:59      -14.161417        0.900090
FIRE:    1 02:21:59      -14.162827        0.829807
FIRE:    2 02:21:59      -14.165195        0.696403
FIRE:    3 02:21:59      -14.167776        0.513079
FIRE:    4 02:21:59      -14.169785        0.297100
FIRE:    5 02:21:59      -14.170654        0.067514
FIRE:    6 02:21:59      -14.170275        0.176193
FIRE:    7 02:21:59      -14.170294        0.173480
FIRE:    8 02:21:59      -14.170330        0.168105
FIRE:    9 02:21:59      -14.170381        0.160174
FIRE:   10 02:21:59      -14.170444        0.149842
FIRE:   11 02:21:59      -14.170514        0.137325
FIRE:   12 02:21:59      -14.170587        0.122897
FIRE:   13 02:21:59      -14.170657        0.106910
FIRE:   14 02:21:59      -14.170726        0.087988
FIRE:   15 02:21:59      -14.170788        0.066645
FIRE:   16 02:21:59      -14.170831        0.045262
FIRE:   17 02:22:00      -14.170850        0.050738
FIRE:   18 02:22:00      -14.170846        0.078208
FIRE:   19 02:22:00      -14.170847        0.077503
FIRE:   20 02:22:00      -14.170850        0.076101
FIRE:   21 02:22:00      -14.170853        0.074020
FIRE:   22 02:22:00      -14.170858        0.071285
FIRE:   23 02:22:00      -14.170864        0.067929
FIRE:   24 02:22:00      -14.170870        0.063997
FIRE:   25 02:22:00      -14.170877        0.059539
FIRE:   26 02:22:00      -14.170885        0.054074
FIRE:   27 02:22:00      -14.170894        0.047491
FIRE:   28 02:22:00      -14.170903        0.039732
FIRE:   29 02:22:00      -14.170912        0.030835
FIRE:   30 02:22:00      -14.170921        0.025173
FIRE:   31 02:22:00      -14.170929        0.026939
FIRE:   32 02:22:00      -14.170937        0.029063
FIRE:   33 02:22:00      -14.170944        0.030460
FIRE:   34 02:22:00      -14.170951        0.030065
FIRE:   35 02:22:00      -14.170961        0.026977
FIRE:   36 02:22:00      -14.170970        0.020531
FIRE:   37 02:22:00      -14.170979        0.010449
FIRE:   38 02:22:00      -14.170981        0.002904
