optimization_step,energy_eV,energy_relative_to_start_eV
0,-7.5872887543443035,0.0
1,-7.597313557231706,-0.010024802887402373
2,-7.612725487059305,-0.025436732715001575
3,-7.626851321169153,-0.03956256682484938
4,-7.634316421569599,-0.04702766722529539
5,-7.633059433742315,-0.045770679398011715
6,-7.633136071897974,-0.04584731755367066
7,-7.633282953914297,-0.04599419956999373
8,-7.633487781108609,-0.046199026764305096
9,-7.633733301181878,-0.046444546837574485
10,-7.633998661906076,-0.04670990756177229
11,-7.63426108147571,-0.046972327131406644
12,-7.634497722627494,-0.04720896828319088
13,-7.634704065246925,-0.047415310902621854
14,-7.6348385229488,-0.047549768604496556
15,-7.6348522364372595,-0.04756348209295602
16,-7.6348524785620135,-0.047563724217710046
17,-7.634852953124992,-0.047564198780688294
18,-7.634853641143123,-0.04756488679881965
19,-7.634854515100827,-0.04756576075652319
20,-7.63485554005691,-0.04756678571260675
21,-7.634856675049202,-0.0475679207048989
22,-7.634857874739729,-0.04756912039542538
23,-7.63485921875252,-0.04757046440821622
24,-7.63486064791309,-0.04757189356878655
25,-7.634862059433804,-0.047573305089500195
26,-7.634863297716343,-0.04757454337203981
27,-7.634864152783062,-0.047575398438758576
