      Step     Time          Energy          fmax
FIRE:    0 02:21:58       -7.587289        2.435381
FIRE:    1 02:21:58       -7.597314        2.139775
FIRE:    2 02:21:58       -7.612725        1.608325
FIRE:    3 02:21:58       -7.626851        0.939320
FIRE:    4 02:21:58       -7.634316        0.237176
FIRE:    5 02:21:58       -7.633059        0.414860
FIRE:    6 02:21:58       -7.633136        0.406170
FIRE:    7 02:21:58       -7.633283        0.388930
FIRE:    8 02:21:58       -7.633488        0.363424
FIRE:    9 02:21:58       -7.633733        0.330079
FIRE:   10 02:21:58       -7.633999        0.289469
FIRE:   11 02:21:58       -7.634261        0.242314
FIRE:   12 02:21:59       -7.634498        0.189485
FIRE:   13 02:21:59       -7.634704        0.125756
FIRE:   14 02:21:59       -7.634839        0.050731
FIRE:   15 02:21:59       -7.634852        0.034943
FIRE:   16 02:21:59       -7.634852        0.034592
FIRE:   17 02:21:59       -7.634853        0.033895
FIRE:   18 02:21:59       -7.634854        0.032858
FIRE:   19 02:21:59       -7.634855        0.031492
FIRE:   20 02:21:59       -7.634856        0.029811
FIRE:   21 02:21:59       -7.634857        0.027832
FIRE:   22 02:21:59       -7.634858        0.025574
FIRE:   23 02:21:59       -7.634859        0.022783
FIRE:   24 02:21:59       -7.634861        0.019380
FIRE:   25 02:21:59       -7.634862        0.015295
FIRE:   26 02:21:59       -7.634863        0.010478
FIRE:   27 02:21:59       -7.634864        0.004913
