species,temperature_K,partial_pressure_Pa,Cp_J_mol_K,H_minus_H298_kJ_mol,S_standard_J_mol_K,pressure_correction_eV,mu_minus_H298_eV,mu_element_enthalpy_reference_eV,source,qualified_for_surface_rate
HF,300.0,1.0,29.137207184666664,0.05359177985002361,173.95995484287874,-0.29763214666165855,-0.8379670714187698,-3.6627093820083316,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,300.0,133.32236842105263,29.137207184666664,0.05359177985002361,173.95995484287874,-0.17114425719565693,-0.7114791819527682,-3.53622149254233,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,300.0,100000.0,29.137207184666664,0.05359177985002361,173.95995484287874,0.0,-0.5403349247571112,-3.365077235346673,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,400.0,1.0,29.151109006,2.968312664266648,182.3450001054973,-0.39684286221554477,-1.1220275699647984,-3.9467698805543603,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,400.0,133.32236842105263,29.151109006,2.968312664266648,182.3450001054973,-0.22819234292754254,-0.9533770506767963,-3.778119361266358,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,400.0,100000.0,29.151109006,2.968312664266648,182.3450001054973,0.0,-0.7251847077492538,-3.549927018338815,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,450.0,1.0,29.155705132879632,4.4259590591573215,185.7787152764833,-0.4464482199924878,-1.2670337024995466,-4.091776013089108,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,450.0,133.32236842105263,29.155705132879632,4.4259590591573215,185.7787152764833,-0.2567163857934853,-1.0773018683005442,-3.902044178890106,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,450.0,100000.0,29.155705132879632,4.4259590591573215,185.7787152764833,0.0,-0.8205854825070588,-3.645327793096621,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,500.0,1.0,29.16844825,5.884020239583322,188.85114513337876,-0.49605357776943093,-1.413722101871606,-4.238464412461168,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,500.0,133.32236842105263,29.16844825,5.884020239583322,188.85114513337876,-0.28524042865942817,-1.202908952761603,-4.0276512633511645,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,500.0,100000.0,29.16844825,5.884020239583322,188.85114513337876,0.0,-0.9176685241021748,-3.7424108346917366,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,600.0,1.0,29.231335650666665,8.803543605599998,194.17389310149997,-0.5952642933233171,-1.711504346450319,-4.536246657039881,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
