model,parameter,value,unit,status,source,meaning
generic_two_state,site_density_m2,7e+18,m^-2,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_two_state,layer_nm,0.136,nm,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_two_state,sticking,0.25,1,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_two_state,desorption_prefactor_s,1000000.0,s^-1,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_two_state,desorption_barrier_ev,0.65,eV,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_two_state,chemical_threshold_ev,15.0,eV,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_two_state,physical_threshold_ev,40.0,eV,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_two_state,chemical_yield_scale,0.8,1,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_two_state,physical_yield_scale,0.15,1,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_two_state,deposition_sticking,0.2,1,illustrative_unfitted,plasma_surface/model.py,Generic baseline only; not graph chemistry
generic_recipe_modify,duration_s,2.0,s,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_modify,radical_flux_m2_s,2e+19,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_modify,ion_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_modify,ion_energy_ev,0.0,eV,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_modify,precursor_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_modify,temperature_k,300.0,K,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,duration_s,0.5,s,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,radical_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,ion_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,ion_energy_ev,0.0,eV,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,precursor_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,temperature_k,300.0,K,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_remove,duration_s,2.0,s,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_remove,radical_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_remove,ion_flux_m2_s,2e+19,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_remove,ion_energy_ev,28.0,eV,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_remove,precursor_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_remove,temperature_k,300.0,K,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,duration_s,0.5,s,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,radical_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,ion_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,ion_energy_ev,0.0,eV,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,precursor_flux_m2_s,0.0,m^-2 s^-1,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
generic_recipe_purge,temperature_k,300.0,K,assumed_recipe,plasma_surface/model.py,Default ale_recipe; purge appears twice
Si_reference,n_si_ratio,0.0,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
Si_reference,hydrogen_atomic_fraction,0.0,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN0.8_hypothesis,n_si_ratio,0.8,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN0.8_hypothesis,hydrogen_atomic_fraction,0.0,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN0.8_hypothesis,sticking,0.22,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN0.8_hypothesis,chemical_threshold_ev,22.0,eV,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN0.8_hypothesis,physical_threshold_ev,45.0,eV,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN0.8_hypothesis,chemical_yield_scale,0.65,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN1.0_hypothesis,n_si_ratio,1.0,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN1.0_hypothesis,hydrogen_atomic_fraction,0.0,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN1.0_hypothesis,sticking,0.2,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN1.0_hypothesis,chemical_threshold_ev,25.0,eV,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN1.0_hypothesis,physical_threshold_ev,48.0,eV,invented_composition_scenario,configs/materials.json,Not a fitted composition law
SiN1.0_hypothesis,chemical_yield_scale,0.6,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
Si3N4_hypothesis,n_si_ratio,1.3333333333333333,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
Si3N4_hypothesis,hydrogen_atomic_fraction,0.0,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
Si3N4_hypothesis,sticking,0.18,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
Si3N4_hypothesis,chemical_threshold_ev,30.0,eV,invented_composition_scenario,configs/materials.json,Not a fitted composition law
Si3N4_hypothesis,physical_threshold_ev,50.0,eV,invented_composition_scenario,configs/materials.json,Not a fitted composition law
Si3N4_hypothesis,chemical_yield_scale,0.55,1,invented_composition_scenario,configs/materials.json,Not a fitted composition law
45_state,prefactor,1000000000000.0,s^-1,assumed,docs/species_kmc_results/summary.json,No entropy or pressure-derived correction applied
45_state,HF_arrival,5.0,s^-1,assumed,docs/species_kmc_results/summary.json,No entropy or pressure-derived correction applied
45_state,HF_desorption,100.0,s^-1,assumed,docs/species_kmc_results/summary.json,No entropy or pressure-derived correction applied
45_state,exposure,2.0,s,assumed,docs/species_kmc_results/summary.json,No entropy or pressure-derived correction applied
