reaction,occupied_state,material,A_s,Ea_over_R_K,temperature_K,barrier_eV,conditional_rate_s,enabled_in_current_kmc
R6,HF + H2O,Si3N4,11800000000.0,7862,300.0,0.6774947410698399,0.04903106028866421,False
R6,HF + H2O,Si3N4,11800000000.0,7862,400.0,0.6774947410698399,34.3418720256827,False
R6,HF + H2O,Si3N4,11800000000.0,7862,450.0,0.6774947410698399,304.98245711788206,False
R6,HF + H2O,Si3N4,11800000000.0,7862,500.0,0.6774947410698399,1749.9900276542367,False
R6,HF + H2O,SiO2,14600000000000.0,7399,300.0,0.6375964880661086,283.92477073968246,False
R6,HF + H2O,SiO2,14600000000000.0,7399,400.0,0.6375964880661086,135204.35378750827,False
R6,HF + H2O,SiO2,14600000000000.0,7399,450.0,0.6375964880661086,1055811.7099944323,False
R6,HF + H2O,SiO2,14600000000000.0,7399,500.0,0.6375964880661086,5465918.006092896,False
R7,HF + HF(v=1),Si3N4,402000000000.0,1756,300.0,0.1513203720832662,1153866821.3139563,False
R7,HF + HF(v=1),Si3N4,402000000000.0,1756,400.0,0.1513203720832662,4985093146.618245,False
R7,HF + HF(v=1),Si3N4,402000000000.0,1756,450.0,0.1513203720832662,8119185704.085127,False
R7,HF + HF(v=1),Si3N4,402000000000.0,1756,500.0,0.1513203720832662,11994546505.539555,False
R7,HF + HF(v=1),SiO2,655000000.0,8061,300.0,0.6946432342615084,0.0014020018001260684,False
R7,HF + HF(v=1),SiO2,655000000.0,8061,400.0,0.6946432342615084,1.1591022622025673,False
R7,HF + HF(v=1),SiO2,655000000.0,8061,450.0,0.6946432342615084,10.878762131386182,False
R7,HF + HF(v=1),SiO2,655000000.0,8061,500.0,0.6946432342615084,65.24476372775125,False
