event_id,source_state,kind,pathway,temperature_K,barrier_eV,prefactor_s,rate_s,activation_free_energy_eV,status
ads_bridge_NH_F0,bridge_NH_F0,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F0,bridge_NH_F0_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1c_bridge_NH,bridge_NH_F0_HF,reaction,P1c,325.0,0.02,1000000000000.0,489620737784.325,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F1,bridge_NH_F1,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F1,bridge_NH_F1_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2c_bridge_NH,bridge_NH_F1_HF,reaction,P2c,325.0,0.79,1000000000000.0,0.5616454658485356,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F2,bridge_NH_F2,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F2,bridge_NH_F2_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3c_bridge_NH,bridge_NH_F2_HF,reaction,P3c,325.0,0.74,1000000000000.0,3.348210447736353,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F3,bridge_NH_F3,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F3,bridge_NH_F3_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P4_bridge_NH,bridge_NH_F3_HF,reaction,P4,325.0,0.53,1000000000000.0,6043.448220123119,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F0,terminal_NH2_F0,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F0,terminal_NH2_F0_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1a_terminal_NH2,terminal_NH2_F0_HF,reaction,P1a,325.0,0.45,1000000000000.0,105158.79223782943,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F1,terminal_NH2_F1,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F1,terminal_NH2_F1_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2a_terminal_NH2,terminal_NH2_F1_HF,reaction,P2a,325.0,0.68,1000000000000.0,28.525504581380893,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F2,terminal_NH2_F2,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F2,terminal_NH2_F2_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3a_terminal_NH2,terminal_NH2_F2_HF,reaction,P3a,325.0,0.88,1000000000000.0,0.022585586621517086,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F3,terminal_NH2_F3,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F3,terminal_NH2_F3_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
ads_Si_H_rich_F0,Si_H_rich_F0,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F0,Si_H_rich_F0_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1b_Si_H_rich,Si_H_rich_F0_HF,reaction,P1b,325.0,2.1,1000000000000.0,2.7244536123632034e-21,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F1,Si_H_rich_F1,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F1,Si_H_rich_F1_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2b_Si_H_rich,Si_H_rich_F1_HF,reaction,P2b,325.0,1.8,1000000000000.0,1.222875821101434e-16,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F2,Si_H_rich_F2,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F2,Si_H_rich_F2_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3b_Si_H_rich,Si_H_rich_F2_HF,reaction,P3b,325.0,1.54,1000000000000.0,1.3158455206794276e-12,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F3,Si_H_rich_F3,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F3,Si_H_rich_F3_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P4_Si_H_rich,Si_H_rich_F3_HF,reaction,P4,325.0,0.53,1000000000000.0,6043.448220123119,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F0,bridge_N_F0,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F0,bridge_N_F0_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1d_bridge_N,bridge_N_F0_HF,reaction,P1d,325.0,0.72,1000000000000.0,6.838375479943866,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F1,bridge_N_F1,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F1,bridge_N_F1_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2d_bridge_N,bridge_N_F1_HF,reaction,P2d,325.0,0.75,1000000000000.0,2.342840102325841,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F2,bridge_N_F2,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F2,bridge_N_F2_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3d_bridge_N,bridge_N_F2_HF,reaction,P3d,325.0,0.9,1000000000000.0,0.011058371584918973,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F3,bridge_N_F3,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F3,bridge_N_F3_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
ads_pre_SiH2F,pre_SiH2F,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_pre_SiH2F,pre_SiH2F_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2e,pre_SiH2F_HF,reaction,P2e,325.0,0.81,1000000000000.0,0.2749932673619809,,conditional_Ea_and_assumed_prefactor
ads_pre_SiHF2,pre_SiHF2,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
