site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-204.25090419172574,-1.0658141036401503e-14
atop_Si,upright,1,5.0,-204.25090419172574,-1.0658141036401503e-14
atop_Si,upright,2,4.0,-204.29983901916276,-0.04893482743703359
atop_Si,upright,3,3.25,-204.33333251678977,-0.08242832506403985
atop_Si,upright,4,2.75,-204.23321342712893,0.017690764596796527
atop_Si,upright,5,2.25,-203.9074918844149,0.3434123073108317
atop_Si,upright,6,1.9,-203.60815790414065,0.6427462875850729
atop_Si,upright,7,1.6,-203.06345825941648,1.1874459323092488
atop_Si,upright,8,1.3,-198.5422581311528,5.708646060572921
atop_Si,parallel,0,6.5,-204.25090419172574,-7.105427357601002e-15
atop_Si,parallel,1,5.0,-204.25090419172574,-7.105427357601002e-15
atop_Si,parallel,2,4.0,-204.26936851518155,-0.018464323455823717
atop_Si,parallel,3,3.25,-204.33492583730987,-0.08402164558413716
atop_Si,parallel,4,2.75,-204.38710259538001,-0.1361984036542836
atop_Si,parallel,5,2.25,-204.22736301845532,0.023541173270409388
atop_Si,parallel,6,1.9,-204.06015522820672,0.19074896351900605
atop_Si,parallel,7,1.6,-203.71021627074956,0.5406879209761755
atop_Si,parallel,8,1.3,-202.78967442725886,1.4612297644668715
atop_Si,flipped,0,6.5,-204.25090419172574,-1.0658141036401503e-14
atop_Si,flipped,1,5.0,-204.25090419172574,-1.0658141036401503e-14
atop_Si,flipped,2,4.0,-204.26939335851415,-0.018489166788423717
atop_Si,flipped,3,3.25,-204.4152358707262,-0.16433167900047962
atop_Si,flipped,4,2.75,-204.27460870436266,-0.02370451263693596
atop_Si,flipped,5,2.25,-203.88778322702385,0.3631209647018814
atop_Si,flipped,6,1.9,-203.40548022626336,0.8454239654623628
atop_Si,flipped,7,1.6,-202.67026447978267,1.5806397119430535
atop_Si,flipped,8,1.3,-201.74227205571097,2.508632136014757
bridge_Si_Si,upright,0,6.5,-204.25090419172574,-1.0658141036401503e-14
bridge_Si_Si,upright,1,5.0,-204.25090419172574,-1.0658141036401503e-14
bridge_Si_Si,upright,2,4.0,-204.2854072269363,-0.03450303521055886
bridge_Si_Si,upright,3,3.25,-204.37406078298994,-0.12315659126421608
bridge_Si_Si,upright,4,2.75,-204.43357679152334,-0.18267259979760908
bridge_Si_Si,upright,5,2.25,-204.4703436805141,-0.21943948878837816
bridge_Si_Si,upright,6,1.9,-204.4320802557238,-0.18117606399807684
bridge_Si_Si,upright,7,1.6,-204.3442744028519,-0.0933702111261816
bridge_Si_Si,upright,8,1.3,-204.209836655401,0.04106753632472149
bridge_Si_Si,parallel,0,6.5,-204.25090419172574,-7.105427357601002e-15
bridge_Si_Si,parallel,1,5.0,-204.25090419172574,-7.105427357601002e-15
bridge_Si_Si,parallel,2,4.0,-204.25443067063767,-0.003526478911943798
bridge_Si_Si,parallel,3,3.25,-204.32501506945565,-0.07411087772991465
bridge_Si_Si,parallel,4,2.75,-204.42642966340009,-0.17552547167435506
bridge_Si_Si,parallel,5,2.25,-204.4500062589262,-0.19910206720047796
bridge_Si_Si,parallel,6,1.9,-204.32486796491645,-0.07396377319071945
bridge_Si_Si,parallel,7,1.6,-204.08341768781864,0.1674865039070923
bridge_Si_Si,parallel,8,1.3,-203.64035407284075,0.61055011888498
bridge_Si_Si,flipped,0,6.5,-204.25090419172574,-1.0658141036401503e-14
bridge_Si_Si,flipped,1,5.0,-204.25090419172574,-1.0658141036401503e-14
bridge_Si_Si,flipped,2,4.0,-204.25195792931427,-0.0010537375885455447
