      Step     Time          Energy          fmax
FIRE:    0 20:12:23     -183.588476        0.929763
FIRE:    1 20:12:24     -183.596846        0.869726
FIRE:    2 20:12:24     -183.611334        0.736760
FIRE:    3 20:12:25     -183.627244        0.509965
FIRE:    4 20:12:25     -183.637831        0.172956
FIRE:    5 20:12:26     -183.636568        0.266455
FIRE:    6 20:12:26     -183.636742        0.256430
FIRE:    7 20:12:27     -183.637064        0.236877
FIRE:    8 20:12:27     -183.637487        0.208746
FIRE:    9 20:12:28     -183.637950        0.173364
FIRE:   10 20:12:28     -183.638386        0.132327
FIRE:   11 20:12:29     -183.638736        0.087394
FIRE:   12 20:12:29     -183.638953        0.040367
FIRE:   13 20:12:30     -183.639008        0.011828
      Step     Time          Energy          fmax
BFGS:    0 20:23:23     -183.573269        1.064453
BFGS:    1 20:23:23     -183.589019        1.004930
BFGS:    2 20:23:24     -183.655017        0.415878
BFGS:    3 20:23:24     -183.659356        0.183742
BFGS:    4 20:23:25     -183.660670        0.071186
BFGS:    5 20:23:25     -183.660763        0.070768
BFGS:    6 20:23:26     -183.661020        0.085015
BFGS:    7 20:23:27     -183.661706        0.129757
BFGS:    8 20:23:27     -183.663350        0.198030
BFGS:    9 20:23:28     -183.666665        0.221547
BFGS:   10 20:23:28     -183.668618        0.109302
BFGS:   11 20:23:29     -183.668969        0.079222
BFGS:   12 20:23:30     -183.669293        0.035303
BFGS:   13 20:23:30     -183.669314        0.036298
BFGS:   14 20:23:31     -183.669443        0.041066
BFGS:   15 20:23:31     -183.669847        0.056132
BFGS:   16 20:23:32     -183.671134        0.124996
BFGS:   17 20:23:33     -183.673311        0.218869
BFGS:   18 20:23:33     -183.676708        0.329157
BFGS:   19 20:23:34     -183.683482        0.446307
BFGS:   20 20:23:35     -183.695893        0.582083
BFGS:   21 20:23:35     -183.726347        0.663899
BFGS:   22 20:23:36     -183.765305        0.690879
BFGS:   23 20:23:36     -183.795108        0.691388
BFGS:   24 20:23:37     -183.826234        0.604133
BFGS:   25 20:23:38     -183.853914        0.428913
BFGS:   26 20:23:39     -183.866440        0.242121
BFGS:   27 20:23:39     -183.868201        0.245872
BFGS:   28 20:23:40     -183.879969        0.432530
BFGS:   29 20:23:40     -183.903610        0.631325
BFGS:   30 20:23:41     -183.899743        0.717826
BFGS:   31 20:23:41     -183.914005        0.648918
BFGS:   32 20:23:42     -183.919393        0.640678
BFGS:   33 20:23:42     -183.947189        0.606312
BFGS:   34 20:23:43     -183.951271        0.602945
BFGS:   35 20:23:44     -183.960745        0.597561
BFGS:   36 20:23:44     -183.976504        0.599295
BFGS:   37 20:23:45     -184.013463        0.605375
BFGS:   38 20:23:46     -184.054649        0.507491
BFGS:   39 20:23:47     -184.087741        0.211309
BFGS:   40 20:23:47     -184.093924        0.110194
BFGS:   41 20:23:48     -184.095711        0.059495
BFGS:   42 20:23:49     -184.096028        0.008765
BFGS:   43 20:23:49     -184.096044        0.000423
      Step     Time          Energy          fmax
BFGS:    0 20:27:42     -183.573269        1.064453
BFGS:    1 20:27:42     -183.589019        1.004930
BFGS:    2 20:27:43     -183.655017        0.415878
BFGS:    3 20:27:43     -183.659356        0.183742
BFGS:    4 20:27:43     -183.660670        0.071186
BFGS:    5 20:27:44     -183.660763        0.070768
BFGS:    6 20:27:44     -183.661020        0.085015
BFGS:    7 20:27:45     -183.661706        0.129757
BFGS:    8 20:27:45     -183.663350        0.198030
BFGS:    9 20:27:45     -183.666665        0.221547
BFGS:   10 20:27:46     -183.668618        0.109302
BFGS:   11 20:27:46     -183.668969        0.079222
BFGS:   12 20:27:46     -183.669293        0.035303
BFGS:   13 20:27:47     -183.669314        0.036298
BFGS:   14 20:27:47     -183.669443        0.041066
BFGS:   15 20:27:47     -183.669847        0.056132
BFGS:   16 20:27:48     -183.671134        0.124996
BFGS:   17 20:27:48     -183.673311        0.218869
BFGS:   18 20:27:48     -183.676708        0.329157
BFGS:   19 20:27:49     -183.683482        0.446307
BFGS:   20 20:27:49     -183.695893        0.582083
BFGS:   21 20:27:50     -183.726347        0.663899
BFGS:   22 20:27:50     -183.765305        0.690879
BFGS:   23 20:27:50     -183.795108        0.691388
BFGS:   24 20:27:51     -183.826234        0.604133
BFGS:   25 20:27:51     -183.853914        0.428913
BFGS:   26 20:27:51     -183.866440        0.242121
BFGS:   27 20:27:52     -183.868201        0.245872
BFGS:   28 20:27:52     -183.879969        0.432530
BFGS:   29 20:27:53     -183.903610        0.631325
BFGS:   30 20:27:53     -183.899743        0.717826
BFGS:   31 20:27:53     -183.914005        0.648918
BFGS:   32 20:27:54     -183.919393        0.640678
BFGS:   33 20:27:54     -183.947189        0.606312
BFGS:   34 20:27:54     -183.951271        0.602945
BFGS:   35 20:27:55     -183.960745        0.597561
BFGS:   36 20:27:55     -183.976504        0.599295
BFGS:   37 20:27:56     -184.013463        0.605375
BFGS:   38 20:27:56     -184.054649        0.507491
BFGS:   39 20:27:56     -184.087741        0.211309
BFGS:   40 20:27:57     -184.093924        0.110194
BFGS:   41 20:27:57     -184.095711        0.059495
BFGS:   42 20:27:57     -184.096028        0.008765
BFGS:   43 20:27:58     -184.096044        0.000423
