      Step     Time          Energy          fmax
FIRE:    0 20:12:37     -183.191533        0.944654
FIRE:    1 20:12:57     -183.195827        0.920109
FIRE:    2 20:13:17     -183.203610        0.875922
FIRE:    3 20:13:34     -183.213472        0.821359
FIRE:    4 20:13:51     -183.223760        0.722380
FIRE:    5 20:14:07     -183.231890        0.584407
FIRE:    6 20:14:24     -183.238065        0.459877
FIRE:    7 20:14:45     -183.242693        0.318809
FIRE:    8 20:15:05     -183.246164        0.287867
FIRE:    9 20:15:26     -183.246208        0.274975
FIRE:   10 20:15:49     -183.246295        0.249996
FIRE:   11 20:15:59     -183.246423        0.221187
FIRE:   12 20:16:07     -183.246592        0.187530
FIRE:   13 20:16:17     -183.246799        0.148123
FIRE:   14 20:16:26     -183.247045        0.119855
FIRE:   15 20:16:40     -183.247331        0.107294
FIRE:   16 20:16:50     -183.247695        0.097700
FIRE:   17 20:17:10     -183.248142        0.091245
FIRE:   18 20:17:29     -183.248653        0.110939
FIRE:   19 20:17:48     -183.248662        0.109145
FIRE:   20 20:18:08     -183.248681        0.105582
FIRE:   21 20:18:27     -183.248709        0.100299
FIRE:   22 20:18:45     -183.248747        0.093374
FIRE:   23 20:19:01     -183.248793        0.084912
FIRE:   24 20:19:10     -183.248849        0.081448
FIRE:   25 20:19:21     -183.248914        0.080585
FIRE:   26 20:19:30     -183.248997        0.079498
FIRE:   27 20:19:47     -183.249102        0.078144
FIRE:   28 20:20:04     -183.249233        0.076475
FIRE:   29 20:20:23     -183.249398        0.074445
FIRE:   30 20:20:41     -183.249601        0.072043
FIRE:   31 20:20:59     -183.249845        0.069338
FIRE:   32 20:21:18     -183.250126        0.066484
FIRE:   33 20:21:37     -183.250443        0.063679
FIRE:   34 20:21:55     -183.250797        0.061159
FIRE:   35 20:22:12     -183.251194        0.059212
