image,arc_length_A,energy_eV,relative_energy_eV,max_unconstrained_force_eV_A
0,0.0,-184.0960437832498,0.0,0.00042315932821806876
1,0.23377845877300713,-184.06290729637817,0.0331364868716264,0.2948037714084478
2,0.47314070688890575,-183.95436982020846,0.14167396304134172,0.6015870539415978
3,0.7227739395729529,-183.79414797017733,0.3018958130724627,0.5852202801563933
4,0.9754730020204725,-183.6983189289943,0.3977248542555003,0.1675652793088151
5,1.2251601253454125,-183.6872849659735,0.4087588172762935,0.02441347548330646
6,1.4730494429245835,-183.6921525088576,0.4038912743922083,0.004449680839449744
7,1.731812533550696,-183.68647426365033,0.4095695195994722,0.014332612226461693
8,1.9669498552508953,-183.703403578321,0.3926402049287958,0.208535529251266
9,2.2175987897349763,-183.809155082705,0.2868887005448073,0.613620266764012
10,2.46628146384403,-183.96856234973177,0.1274814335180281,0.5764139595385751
11,2.7061613272778673,-184.06968360897287,0.026360174276931048,0.2613197784022088
12,2.9422899015905646,-184.09566320433163,0.00038057891816833944,0.027934557211752323
13,3.180876081603211,-184.06978682415354,0.02625695909625847,0.14193756372183236
14,3.4208621082598016,-184.05059157448693,0.045452208762867485,0.011045794125930946
15,3.6613049133440994,-184.07335473440838,0.022689048841414206,0.1441367244058183
16,3.9017504795007016,-184.0960437823565,8.93294327397598e-10,0.00042315900454831273
