site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-183.74098081409068,4.440892098500626e-15
atop_Si,upright,1,5.0,-183.74098081409068,4.440892098500626e-15
atop_Si,upright,2,4.0,-183.81523656580939,-0.07425575171870502
atop_Si,upright,3,3.25,-183.95132704859847,-0.21034623450779133
atop_Si,upright,4,2.75,-184.15224147259525,-0.4112606585045695
atop_Si,upright,5,2.25,-184.26517179618642,-0.5241909820957416
atop_Si,upright,6,1.9,-183.7199962767787,0.020984537311993456
atop_Si,upright,7,1.6,-180.18111675450027,3.5598640595904145
atop_Si,upright,8,1.3,-163.46016054706004,20.280820267030638
atop_Si,parallel,0,6.5,-183.74098081409068,4.440892098500626e-15
atop_Si,parallel,1,5.0,-183.74098081409068,4.440892098500626e-15
atop_Si,parallel,2,4.0,-183.8193003151054,-0.07831950101472795
atop_Si,parallel,3,3.25,-183.9248602907658,-0.18387947667511195
atop_Si,parallel,4,2.75,-184.14827388524333,-0.40729307115264657
atop_Si,parallel,5,2.25,-183.73960059986538,0.001380214225297216
atop_Si,parallel,6,1.9,-183.01768768481114,0.7232931292795444
atop_Si,parallel,7,1.6,-181.14317123329988,2.5978095807907993
atop_Si,parallel,8,1.3,-175.17217362981964,8.56880718427104
bridge_Si_Si,upright,0,6.5,-183.74098081409068,4.440892098500626e-15
bridge_Si_Si,upright,1,5.0,-183.74098081409068,4.440892098500626e-15
bridge_Si_Si,upright,2,4.0,-183.78512811562052,-0.044147301529842586
bridge_Si_Si,upright,3,3.25,-183.91192628314047,-0.17094546904979335
bridge_Si_Si,upright,4,2.75,-184.05074900763861,-0.30976819354793417
bridge_Si_Si,upright,5,2.25,-184.2223907627431,-0.4814099486524084
bridge_Si_Si,upright,6,1.9,-184.2313482111146,-0.4903673970239266
bridge_Si_Si,upright,7,1.6,-184.14665845889556,-0.4056776448048778
bridge_Si_Si,upright,8,1.3,-183.93303610516458,-0.19205529107389463
bridge_Si_Si,parallel,0,6.5,-183.74098081409068,4.440892098500626e-15
bridge_Si_Si,parallel,1,5.0,-183.74098081409068,4.440892098500626e-15
bridge_Si_Si,parallel,2,4.0,-183.85039543739867,-0.10941462330799379
bridge_Si_Si,parallel,3,3.25,-183.91451113928997,-0.17353032519929013
bridge_Si_Si,parallel,4,2.75,-184.04306118541564,-0.3020803713249576
bridge_Si_Si,parallel,5,2.25,-184.00965558632853,-0.26867477223785396
bridge_Si_Si,parallel,6,1.9,-184.02737046904605,-0.28638965495536706
bridge_Si_Si,parallel,7,1.6,-182.47511617318355,1.2658646409071297
bridge_Si_Si,parallel,8,1.3,-175.45834132431193,8.282639489778749
hollow,upright,0,6.5,-183.74098081409068,4.440892098500626e-15
hollow,upright,1,5.0,-183.74098081409068,4.440892098500626e-15
hollow,upright,2,4.0,-183.74567097096931,-0.004690156878633722
hollow,upright,3,3.25,-183.92628137180864,-0.1853005577179614
hollow,upright,4,2.75,-184.10016249823042,-0.3591816841397373
hollow,upright,5,2.25,-184.33674895752938,-0.5957681434386997
hollow,upright,6,1.9,-184.44948749217025,-0.7085066780795684
hollow,upright,7,1.6,-184.4081100552682,-0.6671292411775154
hollow,upright,8,1.3,-184.31324876065892,-0.5722679465682416
hollow,parallel,0,6.5,-183.74098081409068,4.440892098500626e-15
hollow,parallel,1,5.0,-183.74098081409068,4.440892098500626e-15
hollow,parallel,2,4.0,-183.84858328429002,-0.10760247019933455
hollow,parallel,3,3.25,-183.93566008421053,-0.19467927011984454
hollow,parallel,4,2.75,-184.08373395406213,-0.3427531399714452
hollow,parallel,5,2.25,-184.17927993296843,-0.43829911887774653
hollow,parallel,6,1.9,-183.96169268047797,-0.22071186638728602
hollow,parallel,7,1.6,-183.6626711919698,0.0783096221208881
hollow,parallel,8,1.3,-183.4982501872192,0.24273062687146751
