      Step     Time          Energy          fmax
BFGS:    0 20:27:53     -184.771084        0.048534
      Step     Time          Energy          fmax
BFGS:    0 20:27:53     -184.771084        0.048534
BFGS:    1 20:27:56     -184.771091        0.048046
BFGS:    2 20:27:59     -184.771296        0.093154
BFGS:    3 20:28:01     -184.771317        0.105638
BFGS:    4 20:28:04     -184.769927        0.398308
BFGS:    5 20:28:06     -184.771008        0.270362
BFGS:    6 20:28:09     -184.770776        0.305315
BFGS:    7 20:28:11     -184.767743        0.498417
BFGS:    8 20:28:13     -184.769028        0.412454
BFGS:    9 20:28:15     -184.769482        0.354250
BFGS:   10 20:28:16     -184.769978        0.281776
BFGS:   11 20:28:18     -184.770109        0.257275
BFGS:   12 20:28:20     -184.771016        0.396634
BFGS:   13 20:28:22     -184.771665        0.369156
BFGS:   14 20:28:24     -184.772341        0.213453
BFGS:   15 20:28:26     -184.772291        0.227776
BFGS:   16 20:28:27     -184.772032        0.157244
BFGS:   17 20:28:29     -184.772000        0.089965
BFGS:   18 20:28:31     -184.772266        0.091530
BFGS:   19 20:28:33     -184.772955        0.096252
BFGS:   20 20:28:35     -184.774015        0.104013
BFGS:   21 20:28:37     -184.775218        0.112910
BFGS:   22 20:28:38     -184.775846        0.117952
BFGS:   23 20:28:39     -184.776259        0.121838
BFGS:   24 20:28:40     -184.777186        0.129560
BFGS:   25 20:28:42     -184.780969        0.155017
BFGS:   26 20:28:43     -184.796164        0.222784
BFGS:   27 20:28:44     -184.812149        0.287851
BFGS:   28 20:28:45     -184.814158        0.293567
BFGS:   29 20:28:46     -184.814900        0.282903
BFGS:   30 20:28:48     -184.812184        0.274650
BFGS:   31 20:28:49     -184.818547        0.290417
BFGS:   32 20:28:51     -184.835107        0.341940
BFGS:   33 20:28:52     -184.845968        0.330689
BFGS:   34 20:28:54     -184.874996        0.368955
BFGS:   35 20:28:55     -184.877761        0.221225
BFGS:   36 20:28:56     -184.876388        0.225369
BFGS:   37 20:28:57     -184.875364        0.225030
BFGS:   38 20:28:59     -184.875377        0.224562
BFGS:   39 20:29:00     -184.879923        0.170096
BFGS:   40 20:29:01     -184.886591        0.109082
BFGS:   41 20:29:03     -184.886211        0.079713
BFGS:   42 20:29:04     -184.886318        0.043341
BFGS:   43 20:29:06     -184.886919        0.032932
BFGS:   44 20:29:07     -184.886509        0.037461
BFGS:   45 20:29:08     -184.886665        0.029269
BFGS:   46 20:29:09     -184.886827        0.043066
BFGS:   47 20:29:11     -184.886920        0.018549
