site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-183.06452351256468,-1.9539925233402755e-14
atop_Si,upright,1,5.0,-183.06452351256468,-1.9539925233402755e-14
atop_Si,upright,2,4.0,-183.2536326745056,-0.18910916194095329
atop_Si,upright,3,3.25,-183.6072462637631,-0.5427227511984452
atop_Si,upright,4,2.75,-183.87122666405912,-0.8067031514944656
atop_Si,upright,5,2.25,-184.15439300654157,-1.0898694939769111
atop_Si,upright,6,1.9,-184.45195296234567,-1.3874294497810151
atop_Si,upright,7,1.6,-184.36318374034525,-1.2986602277805925
atop_Si,upright,8,1.3,-179.6511737721552,3.413349740409453
atop_Si,parallel,0,6.5,-183.06452351256468,-1.9539925233402755e-14
atop_Si,parallel,1,5.0,-183.06452351256468,-1.9539925233402755e-14
atop_Si,parallel,2,4.0,-183.34844877270197,-0.28392526013731434
atop_Si,parallel,3,3.25,-183.83204045671337,-0.7675169441487153
atop_Si,parallel,4,2.75,-184.1031941063437,-1.0386705937790364
atop_Si,parallel,5,2.25,-184.24983712502794,-1.1853136124632808
atop_Si,parallel,6,1.9,-184.22704904213188,-1.1625255295672243
atop_Si,parallel,7,1.6,-184.46256013342227,-1.3980366208576154
atop_Si,parallel,8,1.3,-182.44415770518722,0.6203658073774339
bridge_Si_Si,upright,0,6.5,-183.06452351256468,-1.9539925233402755e-14
bridge_Si_Si,upright,1,5.0,-183.06452351256468,-1.9539925233402755e-14
bridge_Si_Si,upright,2,4.0,-183.12357396210052,-0.05905044953586547
bridge_Si_Si,upright,3,3.25,-183.4194773412396,-0.3549538286749421
bridge_Si_Si,upright,4,2.75,-183.69890295030862,-0.6343794377439647
bridge_Si_Si,upright,5,2.25,-183.97354112678178,-0.9090176142171256
bridge_Si_Si,upright,6,1.9,-184.071605336889,-1.0070818243243504
bridge_Si_Si,upright,7,1.6,-183.9041660855191,-0.8396425729544514
bridge_Si_Si,upright,8,1.3,-184.03190255602885,-0.9673790434641969
bridge_Si_Si,parallel,0,6.5,-183.06452351256468,-1.9539925233402755e-14
bridge_Si_Si,parallel,1,5.0,-183.06452351256468,-1.9539925233402755e-14
bridge_Si_Si,parallel,2,4.0,-183.1378539892312,-0.07333047666653236
bridge_Si_Si,parallel,3,3.25,-183.58354791817658,-0.5190244056119209
bridge_Si_Si,parallel,4,2.75,-184.14290380612397,-1.0783802935593112
bridge_Si_Si,parallel,5,2.25,-184.93296826661165,-1.8684447540469957
bridge_Si_Si,parallel,6,1.9,-184.89203592713736,-1.8275124145727002
bridge_Si_Si,parallel,7,1.6,-184.89694011299088,-1.8324166004262192
bridge_Si_Si,parallel,8,1.3,-185.02493319024464,-1.9604096776799818
hollow,upright,0,6.5,-183.06452351256468,-1.9539925233402755e-14
hollow,upright,1,5.0,-183.06452351256468,-1.9539925233402755e-14
hollow,upright,2,4.0,-183.0690181373027,-0.004494624738034858
hollow,upright,3,3.25,-183.1940281154357,-0.12950460287105692
hollow,upright,4,2.75,-183.46047529509426,-0.3959517825295986
hollow,upright,5,2.25,-183.8008778194692,-0.7363543069045502
hollow,upright,6,1.9,-184.0750655627569,-1.0105420501922335
hollow,upright,7,1.6,-184.30414277430256,-1.2396192617379054
hollow,upright,8,1.3,-184.42817565049612,-1.3636521379314583
hollow,parallel,0,6.5,-183.06452351256468,-1.9539925233402755e-14
hollow,parallel,1,5.0,-183.06452351256468,-1.9539925233402755e-14
hollow,parallel,2,4.0,-183.09795212257043,-0.03342861000577635
hollow,parallel,3,3.25,-183.44613487828377,-0.3816113657191149
hollow,parallel,4,2.75,-183.89690461620984,-0.8323811036451811
hollow,parallel,5,2.25,-184.36629499863363,-1.3017714860689775
hollow,parallel,6,1.9,-184.7943603914183,-1.7298368788536518
hollow,parallel,7,1.6,-185.02886063186992,-1.9643371193052612
hollow,parallel,8,1.3,-185.1331787414659,-2.068655228901255
