      Step     Time          Energy          fmax
BFGS:    0 21:37:20     -183.332831       16.675231
BFGS:    1 21:37:21     -185.515943        7.565682
BFGS:    2 21:37:21     -186.383475        3.828640
BFGS:    3 21:37:22     -186.858928        1.711065
BFGS:    4 21:37:23     -187.074176        0.864407
BFGS:    5 21:37:24     -187.172599        1.023402
BFGS:    6 21:37:24     -187.225154        0.971485
BFGS:    7 21:37:25     -187.275898        0.812497
BFGS:    8 21:37:26     -187.328169        0.795960
BFGS:    9 21:37:26     -187.402818        0.917049
BFGS:   10 21:37:27     -187.505544        1.178471
BFGS:   11 21:37:28     -187.625779        1.414277
BFGS:   12 21:37:29     -187.809346        1.684351
BFGS:   13 21:37:29     -188.059403        1.880152
BFGS:   14 21:37:30     -188.379235        2.435662
BFGS:   15 21:37:31     -188.848007        3.358526
BFGS:   16 21:37:32     -189.443001        3.249749
BFGS:   17 21:37:32     -189.813983        1.671116
BFGS:   18 21:37:33     -189.910064        1.312196
BFGS:   19 21:37:34     -189.936822        1.193860
BFGS:   20 21:37:35     -189.980167        0.952702
BFGS:   21 21:37:36     -190.047528        0.815373
BFGS:   22 21:37:37     -190.083948        0.843470
BFGS:   23 21:37:37     -190.109419        0.742256
BFGS:   24 21:37:38     -190.127436        0.554020
BFGS:   25 21:37:39     -190.149029        0.527685
BFGS:   26 21:37:39     -190.163631        0.456729
BFGS:   27 21:37:40     -190.179824        0.632244
BFGS:   28 21:37:41     -190.204524        0.836415
BFGS:   29 21:37:41     -190.232547        0.949563
BFGS:   30 21:37:42     -190.266417        1.006654
BFGS:   31 21:37:43     -190.305910        1.022578
BFGS:   32 21:37:44     -190.350130        0.997439
BFGS:   33 21:37:44     -190.396900        0.915669
BFGS:   34 21:37:45     -190.443683        0.712080
BFGS:   35 21:37:46     -190.478524        0.455789
BFGS:   36 21:37:46     -190.486827        0.396758
BFGS:   37 21:37:47     -190.492661        0.202221
BFGS:   38 21:37:48     -190.493958        0.234729
BFGS:   39 21:37:49     -190.495524        0.263219
BFGS:   40 21:37:49     -190.498449        0.288465
BFGS:   41 21:37:50     -190.504715        0.330272
BFGS:   42 21:37:51     -190.515932        0.435655
BFGS:   43 21:37:52     -190.527024        0.414224
BFGS:   44 21:37:53     -190.533664        0.176522
BFGS:   45 21:37:53     -190.534927        0.020582
BFGS:   46 21:37:54     -190.534999        0.021077
BFGS:   47 21:37:55     -190.535006        0.010977
