site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-186.32958991594327,3.552713678800501e-15
atop_Si,upright,1,5.0,-186.32958991594327,3.552713678800501e-15
atop_Si,upright,2,4.0,-186.47303028449937,-0.14344036855609588
atop_Si,upright,3,3.25,-186.48899586311478,-0.15940594717150347
atop_Si,upright,4,2.75,-186.3378674719309,-0.008277555987628915
atop_Si,upright,5,2.25,-185.567474002026,0.7621159139172882
atop_Si,upright,6,1.9,-184.49516165133164,1.8344282646116348
atop_Si,upright,7,1.6,-181.1290550370252,5.2005348789180665
atop_Si,upright,8,1.3,-166.70623902920866,19.623350886734617
atop_Si,parallel,0,6.5,-186.32958991594327,5.329070518200751e-15
atop_Si,parallel,1,5.0,-186.32958991594327,5.329070518200751e-15
atop_Si,parallel,2,4.0,-186.39661416099423,-0.06702424505095372
atop_Si,parallel,3,3.25,-186.47860386012027,-0.14901394417699443
atop_Si,parallel,4,2.75,-186.2884132567782,0.041176659165079954
atop_Si,parallel,5,2.25,-185.60985852224607,0.7197313936972076
atop_Si,parallel,6,1.9,-184.79989075110151,1.5296991648417642
atop_Si,parallel,7,1.6,-182.6096447058683,3.7199452100749735
atop_Si,parallel,8,1.3,-175.56211896644083,10.767470949502444
atop_Si,flipped,0,6.5,-186.32958991594327,3.552713678800501e-15
atop_Si,flipped,1,5.0,-186.32958991594327,3.552713678800501e-15
atop_Si,flipped,2,4.0,-186.36536703025575,-0.03577711431247721
atop_Si,flipped,3,3.25,-186.52901541227564,-0.1994254963323634
atop_Si,flipped,4,2.75,-186.58658479507662,-0.25699487913334096
atop_Si,flipped,5,2.25,-186.65072772861785,-0.321137812674575
atop_Si,flipped,6,1.9,-186.4119313696354,-0.08234145369211987
atop_Si,flipped,7,1.6,-185.86208003718608,0.46750987875720185
atop_Si,flipped,8,1.3,-183.9434414173197,2.3861484986235872
bridge_Si_Si,upright,0,6.5,-186.32958991594327,3.552713678800501e-15
bridge_Si_Si,upright,1,5.0,-186.32958991594327,3.552713678800501e-15
bridge_Si_Si,upright,2,4.0,-186.4228533012229,-0.09326338527960942
bridge_Si_Si,upright,3,3.25,-186.523415874525,-0.1938259585817228
bridge_Si_Si,upright,4,2.75,-186.58204407919627,-0.2524541632529882
bridge_Si_Si,upright,5,2.25,-186.5347578619279,-0.2051679459846092
bridge_Si_Si,upright,6,1.9,-186.14364823494986,0.18594168099341246
bridge_Si_Si,upright,7,1.6,-185.52377837294122,0.8058115430020543
bridge_Si_Si,upright,8,1.3,-184.8481428954897,1.481447020453576
bridge_Si_Si,parallel,0,6.5,-186.32958991594327,5.329070518200751e-15
bridge_Si_Si,parallel,1,5.0,-186.32958991594327,5.329070518200751e-15
bridge_Si_Si,parallel,2,4.0,-186.35038585287492,-0.020795936931643055
bridge_Si_Si,parallel,3,3.25,-186.42954277380005,-0.09995285785677233
bridge_Si_Si,parallel,4,2.75,-186.34574669708226,-0.016156781138983334
bridge_Si_Si,parallel,5,2.25,-185.91258918089486,0.4170007350484237
bridge_Si_Si,parallel,6,1.9,-185.53516921116454,0.7944207047787355
bridge_Si_Si,parallel,7,1.6,-185.0460332701589,1.283556645784392
bridge_Si_Si,parallel,8,1.3,-183.72118213398616,2.6084077819571174
bridge_Si_Si,flipped,0,6.5,-186.32958991594327,3.552713678800501e-15
bridge_Si_Si,flipped,1,5.0,-186.32958991594327,3.552713678800501e-15
bridge_Si_Si,flipped,2,4.0,-186.31190636701982,0.017683548923461245
bridge_Si_Si,flipped,3,3.25,-186.35875911247612,-0.029169196532844666
bridge_Si_Si,flipped,4,2.75,-186.46096993160313,-0.1313800156598539
bridge_Si_Si,flipped,5,2.25,-186.51816139263536,-0.1885714766920863
bridge_Si_Si,flipped,6,1.9,-186.40920544500608,-0.07961552906280289
bridge_Si_Si,flipped,7,1.6,-186.20708044067064,0.12250947527263989
bridge_Si_Si,flipped,8,1.3,-185.85928083556948,0.4703090803737986
hollow,upright,0,6.5,-186.32958991594327,3.552713678800501e-15
hollow,upright,1,5.0,-186.32958991594327,3.552713678800501e-15
hollow,upright,2,4.0,-186.33568520608875,-0.006095290145477605
hollow,upright,3,3.25,-186.4885074302988,-0.15891751435551882
hollow,upright,4,2.75,-186.6399989012789,-0.31040898533560934
hollow,upright,5,2.25,-186.75679146953289,-0.4272015535896081
hollow,upright,6,1.9,-186.76764833903817,-0.4380584230948976
hollow,upright,7,1.6,-186.67551475420268,-0.34592483825940334
hollow,upright,8,1.3,-186.43740685304687,-0.10781693710358908
hollow,parallel,0,6.5,-186.32958991594327,5.329070518200751e-15
hollow,parallel,1,5.0,-186.32958991594327,5.329070518200751e-15
hollow,parallel,2,4.0,-186.3315139226129,-0.0019240066696344371
hollow,parallel,3,3.25,-186.38836976356606,-0.0587798476227821
hollow,parallel,4,2.75,-186.43278264693757,-0.10319273099428905
hollow,parallel,5,2.25,-186.3418197133176,-0.012229797374311957
hollow,parallel,6,1.9,-186.17095343796655,0.1586364779767333
hollow,parallel,7,1.6,-185.93319391208675,0.3963960038565286
hollow,parallel,8,1.3,-185.6481251144325,0.681464801510776
hollow,flipped,0,6.5,-186.32958991594327,3.552713678800501e-15
hollow,flipped,1,5.0,-186.32958991594327,3.552713678800501e-15
hollow,flipped,2,4.0,-186.32900668126868,0.0005832346745968664
hollow,flipped,3,3.25,-186.26207162958565,0.06751828635762891
hollow,flipped,4,2.75,-186.22886563482587,0.10072428111741161
hollow,flipped,5,2.25,-186.3577425867312,-0.028152670787928713
hollow,flipped,6,1.9,-186.45113426779292,-0.1215443518496464
hollow,flipped,7,1.6,-186.4360217050317,-0.10643178908841477
hollow,flipped,8,1.3,-186.33993494881187,-0.010345032868595894
