      Step     Time          Energy          fmax
BFGS:    0 21:36:42     -186.267679        0.515612
BFGS:    1 21:36:43     -186.277248        0.473988
BFGS:    2 21:36:44     -186.326884        0.362314
BFGS:    3 21:36:44     -186.330238        0.275796
BFGS:    4 21:36:45     -186.338971        0.248047
BFGS:    5 21:36:46     -186.340533        0.239333
BFGS:    6 21:36:46     -186.347862        0.211339
BFGS:    7 21:36:47     -186.349109        0.214849
BFGS:    8 21:36:48     -186.353086        0.165364
BFGS:    9 21:36:49     -186.355163        0.180479
BFGS:   10 21:36:50     -186.357426        0.163537
BFGS:   11 21:36:51     -186.358612        0.104702
BFGS:   12 21:36:51     -186.359314        0.087472
BFGS:   13 21:36:52     -186.359655        0.090830
BFGS:   14 21:36:53     -186.360129        0.108894
BFGS:   15 21:36:53     -186.361250        0.159106
BFGS:   16 21:36:54     -186.364357        0.268724
BFGS:   17 21:36:55     -186.369527        0.390474
BFGS:   18 21:36:55     -186.374678        0.456232
BFGS:   19 21:36:56     -186.379966        0.411143
BFGS:   20 21:36:57     -186.384013        0.202138
BFGS:   21 21:36:57     -186.385881        0.110013
BFGS:   22 21:36:58     -186.386482        0.069284
BFGS:   23 21:36:59     -186.386602        0.058530
BFGS:   24 21:37:00     -186.386712        0.030483
BFGS:   25 21:37:00     -186.386759        0.031405
BFGS:   26 21:37:01     -186.386834        0.037739
BFGS:   27 21:37:02     -186.386885        0.026344
BFGS:   28 21:37:03     -186.386904        0.008010
