      Step     Time          Energy          fmax
BFGS:    0 21:35:54     -185.315861        3.401507
BFGS:    1 21:35:55     -185.561442        2.032441
BFGS:    2 21:35:56     -185.759670        1.146509
BFGS:    3 21:35:56     -185.831955        0.623713
BFGS:    4 21:35:57     -185.855855        0.766612
BFGS:    5 21:35:57     -185.910520        0.992981
BFGS:    6 21:35:58     -185.966646        1.044164
BFGS:    7 21:35:59     -186.018717        0.922921
BFGS:    8 21:35:59     -186.061980        0.763191
BFGS:    9 21:36:00     -186.113178        0.966026
BFGS:   10 21:36:01     -186.168555        1.365345
BFGS:   11 21:36:01     -186.216873        1.556059
BFGS:   12 21:36:02     -186.258811        1.560717
BFGS:   13 21:36:02     -186.317281        1.376396
BFGS:   14 21:36:03     -186.422669        1.409555
BFGS:   15 21:36:03     -186.507000        1.202205
BFGS:   16 21:36:04     -186.527486        0.971122
BFGS:   17 21:36:05     -186.565187        0.681957
BFGS:   18 21:36:05     -186.582466        0.665846
BFGS:   19 21:36:06     -186.607793        0.609983
BFGS:   20 21:36:07     -186.624321        0.454611
BFGS:   21 21:36:08     -186.634357        0.224018
BFGS:   22 21:36:08     -186.637683        0.177936
BFGS:   23 21:36:09     -186.640241        0.180895
BFGS:   24 21:36:10     -186.644316        0.216258
BFGS:   25 21:36:11     -186.648201        0.283788
BFGS:   26 21:36:12     -186.652620        0.329370
BFGS:   27 21:36:12     -186.657294        0.310139
BFGS:   28 21:36:13     -186.661209        0.233467
BFGS:   29 21:36:14     -186.663643        0.134043
BFGS:   30 21:36:15     -186.664512        0.045188
BFGS:   31 21:36:16     -186.664640        0.027940
BFGS:   32 21:36:16     -186.664671        0.020183
BFGS:   33 21:36:17     -186.664689        0.021139
BFGS:   34 21:36:18     -186.664713        0.024571
BFGS:   35 21:36:19     -186.664767        0.032560
BFGS:   36 21:36:20     -186.664894        0.053502
BFGS:   37 21:36:20     -186.665191        0.082556
BFGS:   38 21:36:21     -186.665793        0.113583
BFGS:   39 21:36:22     -186.666686        0.123070
BFGS:   40 21:36:22     -186.667487        0.079654
BFGS:   41 21:36:23     -186.667818        0.020683
BFGS:   42 21:36:24     -186.667853        0.003509
