step,energy_eV,relative_to_start_eV
0,-180.2036608746262,0.0
1,-180.20559872080074,-0.0019378461745418463
2,-180.2093333495736,-0.005672474947402861
3,-180.21459335184724,-0.010932477221047066
4,-180.22099766539688,-0.01733679077068473
5,-180.22808475876136,-0.02442388413516028
6,-180.23534820771243,-0.03168733308623928
7,-180.24227618312108,-0.03861530849488304
8,-180.24896974235787,-0.04530886773167708
9,-180.25457058480194,-0.05090971017574475
10,-180.25805113584698,-0.054390261220788716
11,-180.25863117307858,-0.05497029845238899
12,-180.25867152561855,-0.05501065099235802
13,-180.25875115820358,-0.055090283577385435
14,-180.2588679675562,-0.055207092930004364
15,-180.25901890319776,-0.055358028571561135
16,-180.25920009165162,-0.055539217025426524
17,-180.2594069984269,-0.05574612380070221
18,-180.25963462354213,-0.055973748915931765
19,-180.25990416621903,-0.056243291592835476
20,-180.2602152744233,-0.056554399797107635
21,-180.2605643549837,-0.05690348035750503
22,-180.26094416341164,-0.057283288785441755
23,-180.26134459684584,-0.057683722219650235
24,-180.26175573168945,-0.0580948570632529
