step,energy_eV,relative_to_start_eV
0,-188.26164710989508,0.0
1,-188.2634753798006,-0.001828269905530533
2,-188.26696101933464,-0.005313909439564668
3,-188.2717875240811,-0.010140414186025737
4,-188.27754089994008,-0.015893790044998468
5,-188.28377305706064,-0.02212594716556282
6,-188.2900662174534,-0.028419107558306678
7,-188.29607806005407,-0.03443095015899189
8,-188.30208184888144,-0.04043473898636307
9,-188.3075910889544,-0.045943979059330786
10,-188.31190523904309,-0.05025812914800554
11,-188.31422565983814,-0.05257854994306399
12,-188.31441956662405,-0.05277245672897379
13,-188.31454294385873,-0.052895833963646055
14,-188.31478298390405,-0.053135874008972905
15,-188.3151270692523,-0.05347995935721883
16,-188.31555823174085,-0.05391112184577196
17,-188.31605723810895,-0.05441012821387403
18,-188.3166048541299,-0.05495774423482658
19,-188.31718381929235,-0.0555367093972734
20,-188.31784351191902,-0.05619640202394294
21,-188.3185782897443,-0.05693117984921514
22,-188.31937768112886,-0.05773057123377612
23,-188.3202228705816,-0.058575760686522926
24,-188.3210839027204,-0.05943679282532344
25,-188.3219294625231,-0.06028235262800763
26,-188.32276179725505,-0.06111468735997505
27,-188.32365087734718,-0.062003767452097236
28,-188.32470510950202,-0.06305799960694003
29,-188.3259824950381,-0.06433538514301063
30,-188.3274350998084,-0.06578798991333201
31,-188.32893044588172,-0.06728333598664449
32,-188.3302272497482,-0.06858013985311118
33,-188.3311362973325,-0.06948918743742638
34,-188.33191976523779,-0.07027265534270555
35,-188.33281977768078,-0.07117266778570297
36,-188.33378453682212,-0.07213742692704272
37,-188.3343380372363,-0.07269092734122751
38,-188.33463431660843,-0.0729872067133499
39,-188.33475575538765,-0.07310864549256735
40,-188.33493825230508,-0.07329114240999957
41,-188.3351277034068,-0.0734805935117322
42,-188.33530603945368,-0.07365892955860431
43,-188.3354569260819,-0.07380981618680948
44,-188.3355764443848,-0.07392933448971917
45,-188.33570982328047,-0.07406271338538772
46,-188.33591254297946,-0.07426543308437772
47,-188.3361645230374,-0.07451741314233118
