      Step     Time          Energy          fmax
FIRE:    0 22:57:05     -188.261647        0.535399
FIRE:    1 22:57:06     -188.263475        0.526739
FIRE:    2 22:57:07     -188.266961        0.509582
FIRE:    3 22:57:08     -188.271788        0.484247
FIRE:    4 22:57:09     -188.277541        0.451201
FIRE:    5 22:57:09     -188.283773        0.411069
FIRE:    6 22:57:09     -188.290066        0.364665
FIRE:    7 22:57:10     -188.296078        0.313047
FIRE:    8 22:57:10     -188.302082        0.258713
FIRE:    9 22:57:10     -188.307591        0.250675
FIRE:   10 22:57:11     -188.311905        0.214171
FIRE:   11 22:57:11     -188.314226        0.196852
FIRE:   12 22:57:11     -188.314420        0.237842
FIRE:   13 22:57:11     -188.314543        0.233597
FIRE:   14 22:57:12     -188.314783        0.225529
FIRE:   15 22:57:12     -188.315127        0.214506
FIRE:   16 22:57:12     -188.315558        0.201821
FIRE:   17 22:57:13     -188.316057        0.189087
FIRE:   18 22:57:13     -188.316605        0.177956
FIRE:   19 22:57:13     -188.317184        0.169629
FIRE:   20 22:57:13     -188.317844        0.163942
FIRE:   21 22:57:14     -188.318578        0.160586
FIRE:   22 22:57:14     -188.319378        0.157700
FIRE:   23 22:57:14     -188.320223        0.153218
FIRE:   24 22:57:14     -188.321084        0.147718
FIRE:   25 22:57:15     -188.321929        0.145682
FIRE:   26 22:57:15     -188.322762        0.149145
FIRE:   27 22:57:15     -188.323651        0.149739
FIRE:   28 22:57:15     -188.324705        0.136192
FIRE:   29 22:57:16     -188.325982        0.108726
FIRE:   30 22:57:16     -188.327435        0.085084
FIRE:   31 22:57:16     -188.328930        0.072736
FIRE:   32 22:57:16     -188.330227        0.059489
FIRE:   33 22:57:17     -188.331136        0.072531
FIRE:   34 22:57:17     -188.331920        0.067210
FIRE:   35 22:57:18     -188.332820        0.068059
FIRE:   36 22:57:19     -188.333785        0.050600
FIRE:   37 22:57:20     -188.334338        0.055055
FIRE:   38 22:57:20     -188.334634        0.071077
FIRE:   39 22:57:21     -188.334756        0.055140
FIRE:   40 22:57:22     -188.334938        0.042715
FIRE:   41 22:57:22     -188.335128        0.047424
FIRE:   42 22:57:23     -188.335306        0.047004
FIRE:   43 22:57:24     -188.335457        0.041887
FIRE:   44 22:57:24     -188.335576        0.052168
FIRE:   45 22:57:25     -188.335710        0.058608
FIRE:   46 22:57:26     -188.335913        0.047357
FIRE:   47 22:57:27     -188.336165        0.038401
