      Step     Time          Energy          fmax
FIRE:    0 20:12:37     -172.098723        1.229177
FIRE:    1 20:12:38     -172.112332        0.984089
FIRE:    2 20:12:39     -172.129106        0.528977
FIRE:    3 20:12:39     -172.135641        0.056611
FIRE:    4 20:12:40     -172.135649        0.053520
FIRE:    5 20:12:41     -172.135663        0.047508
FIRE:    6 20:12:41     -172.135680        0.038911
FIRE:    7 20:12:42     -172.135696        0.028206
FIRE:    8 20:12:43     -172.135709        0.015998
FIRE:    9 20:12:43     -172.135715        0.003218
      Step     Time          Energy          fmax
BFGS:    0 20:19:02     -172.098723        1.229177
BFGS:    1 20:19:02     -172.117235        0.877241
BFGS:    2 20:19:02     -172.135668        0.045303
BFGS:    3 20:19:03     -172.135715        0.001993
      Step     Time          Energy          fmax
BFGS:    0 20:23:16     -172.246201        2.177541
BFGS:    1 20:23:16     -172.308104        1.799337
BFGS:    2 20:23:17     -172.411483        1.494405
BFGS:    3 20:23:18     -172.434152        0.891218
BFGS:    4 20:23:19     -172.454258        0.845773
BFGS:    5 20:23:20     -172.570581        0.994108
BFGS:    6 20:23:20     -172.676397        1.396031
BFGS:    7 20:23:21     -172.776143        1.834753
BFGS:    8 20:23:22     -172.863954        2.242657
BFGS:    9 20:23:22     -172.938889        2.553936
BFGS:   10 20:23:23     -173.022726        2.691527
BFGS:   11 20:23:24     -173.151256        2.618628
BFGS:   12 20:23:25     -173.342896        2.246078
BFGS:   13 20:23:25     -173.546201        1.283636
BFGS:   14 20:23:26     -173.623944        0.422255
BFGS:   15 20:23:27     -173.642524        0.153342
BFGS:   16 20:23:27     -173.660364        0.231245
BFGS:   17 20:23:28     -173.674716        0.342812
BFGS:   18 20:23:28     -173.686485        0.417094
BFGS:   19 20:23:29     -173.691891        0.462380
BFGS:   20 20:23:29     -173.695380        0.430860
BFGS:   21 20:23:30     -173.710185        0.403753
BFGS:   22 20:23:30     -173.717285        0.422435
BFGS:   23 20:23:31     -173.731368        0.489761
BFGS:   24 20:23:32     -173.747071        0.565125
BFGS:   25 20:23:32     -173.785083        0.687407
BFGS:   26 20:23:33     -173.828342        0.668255
BFGS:   27 20:23:34     -173.875691        0.472234
BFGS:   28 20:23:35     -173.914650        0.178034
BFGS:   29 20:23:35     -173.919425        0.080542
BFGS:   30 20:23:36     -173.920512        0.027591
BFGS:   31 20:23:37     -173.920618        0.009740
BFGS:   32 20:23:37     -173.920639        0.001368
      Step     Time          Energy          fmax
BFGS:    0 20:27:38     -172.246201        2.177541
BFGS:    1 20:27:39     -172.308104        1.799337
BFGS:    2 20:27:39     -172.411483        1.494405
BFGS:    3 20:27:39     -172.434152        0.891218
BFGS:    4 20:27:40     -172.454258        0.845773
BFGS:    5 20:27:40     -172.570581        0.994108
BFGS:    6 20:27:41     -172.676397        1.396031
BFGS:    7 20:27:41     -172.776143        1.834753
BFGS:    8 20:27:41     -172.863954        2.242657
BFGS:    9 20:27:42     -172.938889        2.553936
BFGS:   10 20:27:42     -173.022726        2.691527
BFGS:   11 20:27:43     -173.151256        2.618628
BFGS:   12 20:27:43     -173.342896        2.246078
BFGS:   13 20:27:43     -173.546201        1.283636
BFGS:   14 20:27:44     -173.623944        0.422255
BFGS:   15 20:27:44     -173.642524        0.153342
BFGS:   16 20:27:44     -173.660364        0.231245
BFGS:   17 20:27:45     -173.674716        0.342812
BFGS:   18 20:27:45     -173.686485        0.417094
BFGS:   19 20:27:46     -173.691891        0.462380
BFGS:   20 20:27:46     -173.695380        0.430860
BFGS:   21 20:27:46     -173.710185        0.403753
BFGS:   22 20:27:47     -173.717285        0.422435
BFGS:   23 20:27:47     -173.731368        0.489761
BFGS:   24 20:27:47     -173.747071        0.565125
BFGS:   25 20:27:48     -173.785083        0.687407
BFGS:   26 20:27:48     -173.828342        0.668255
BFGS:   27 20:27:48     -173.875691        0.472234
BFGS:   28 20:27:49     -173.914650        0.178034
BFGS:   29 20:27:49     -173.919425        0.080542
BFGS:   30 20:27:50     -173.920512        0.027591
BFGS:   31 20:27:50     -173.920618        0.009740
BFGS:   32 20:27:50     -173.920639        0.001368
