      Step     Time          Energy          fmax
FIRE:    0 20:12:29     -172.098723        1.229177
FIRE:    1 20:12:30     -172.112332        0.984089
FIRE:    2 20:12:31     -172.129106        0.528977
FIRE:    3 20:12:32     -172.135641        0.056611
FIRE:    4 20:12:33     -172.135649        0.053520
FIRE:    5 20:12:33     -172.135663        0.047508
FIRE:    6 20:12:34     -172.135680        0.038911
FIRE:    7 20:12:35     -172.135696        0.028206
FIRE:    8 20:12:36     -172.135709        0.015998
FIRE:    9 20:12:37     -172.135715        0.003218
      Step     Time          Energy          fmax
BFGS:    0 20:18:59     -172.098723        1.229177
BFGS:    1 20:19:01     -172.117235        0.877241
BFGS:    2 20:19:01     -172.135668        0.045303
BFGS:    3 20:19:01     -172.135715        0.001993
      Step     Time          Energy          fmax
BFGS:    0 20:22:48     -172.246201        2.177541
BFGS:    1 20:22:50     -172.308104        1.799337
BFGS:    2 20:22:51     -172.411483        1.494405
BFGS:    3 20:22:51     -172.434152        0.891218
BFGS:    4 20:22:52     -172.454258        0.845773
BFGS:    5 20:22:53     -172.570581        0.994108
BFGS:    6 20:22:53     -172.676397        1.396031
BFGS:    7 20:22:54     -172.776143        1.834753
BFGS:    8 20:22:55     -172.863954        2.242657
BFGS:    9 20:22:56     -172.938889        2.553936
BFGS:   10 20:22:56     -173.022726        2.691527
BFGS:   11 20:22:57     -173.151256        2.618628
BFGS:   12 20:22:58     -173.342896        2.246078
BFGS:   13 20:22:58     -173.546201        1.283636
BFGS:   14 20:22:59     -173.623944        0.422255
BFGS:   15 20:23:00     -173.642524        0.153342
BFGS:   16 20:23:00     -173.660364        0.231245
BFGS:   17 20:23:01     -173.674716        0.342812
BFGS:   18 20:23:01     -173.686485        0.417094
BFGS:   19 20:23:02     -173.691891        0.462380
BFGS:   20 20:23:03     -173.695380        0.430860
BFGS:   21 20:23:03     -173.710185        0.403753
BFGS:   22 20:23:04     -173.717285        0.422435
BFGS:   23 20:23:05     -173.731368        0.489761
BFGS:   24 20:23:06     -173.747071        0.565125
BFGS:   25 20:23:06     -173.785083        0.687407
BFGS:   26 20:23:07     -173.828342        0.668255
BFGS:   27 20:23:08     -173.875691        0.472234
BFGS:   28 20:23:08     -173.914650        0.178034
BFGS:   29 20:23:09     -173.919425        0.080542
BFGS:   30 20:23:09     -173.920512        0.027591
BFGS:   31 20:23:10     -173.920618        0.009740
BFGS:   32 20:23:10     -173.920639        0.001368
      Step     Time          Energy          fmax
BFGS:    0 20:27:23     -172.246201        2.177541
BFGS:    1 20:27:24     -172.308104        1.799337
BFGS:    2 20:27:24     -172.411483        1.494405
BFGS:    3 20:27:25     -172.434152        0.891218
BFGS:    4 20:27:25     -172.454258        0.845773
BFGS:    5 20:27:25     -172.570581        0.994108
BFGS:    6 20:27:26     -172.676397        1.396031
BFGS:    7 20:27:26     -172.776143        1.834753
BFGS:    8 20:27:27     -172.863954        2.242657
BFGS:    9 20:27:27     -172.938889        2.553936
BFGS:   10 20:27:27     -173.022726        2.691527
BFGS:   11 20:27:28     -173.151256        2.618628
BFGS:   12 20:27:28     -173.342896        2.246078
BFGS:   13 20:27:28     -173.546201        1.283636
BFGS:   14 20:27:29     -173.623944        0.422255
BFGS:   15 20:27:29     -173.642524        0.153342
BFGS:   16 20:27:30     -173.660364        0.231245
BFGS:   17 20:27:30     -173.674716        0.342812
BFGS:   18 20:27:30     -173.686485        0.417094
BFGS:   19 20:27:31     -173.691891        0.462380
BFGS:   20 20:27:31     -173.695380        0.430860
BFGS:   21 20:27:31     -173.710185        0.403753
BFGS:   22 20:27:32     -173.717285        0.422435
BFGS:   23 20:27:32     -173.731368        0.489761
BFGS:   24 20:27:32     -173.747071        0.565125
BFGS:   25 20:27:33     -173.785083        0.687407
BFGS:   26 20:27:33     -173.828342        0.668255
BFGS:   27 20:27:33     -173.875691        0.472234
BFGS:   28 20:27:34     -173.914650        0.178034
BFGS:   29 20:27:34     -173.919425        0.080542
BFGS:   30 20:27:34     -173.920512        0.027591
BFGS:   31 20:27:35     -173.920618        0.009740
BFGS:   32 20:27:35     -173.920639        0.001368
