      Step     Time          Energy          fmax
FIRE:    0 20:12:50     -171.558143        2.873102
FIRE:    1 20:13:11     -171.583431        2.824783
FIRE:    2 20:13:29     -171.618411        2.728330
FIRE:    3 20:13:47     -171.655667        2.601961
FIRE:    4 20:14:03     -171.695651        2.438223
FIRE:    5 20:14:21     -171.738852        2.366123
FIRE:    6 20:14:42     -171.785849        2.291211
FIRE:    7 20:15:02     -171.837385        2.204087
FIRE:    8 20:15:23     -171.894620        2.107686
FIRE:    9 20:15:48     -171.959063        2.064397
FIRE:   10 20:15:58     -172.032566        2.133627
FIRE:   11 20:16:07     -172.116839        2.201988
FIRE:   12 20:16:16     -172.212345        2.265785
FIRE:   13 20:16:25     -172.317523        2.321103
FIRE:   14 20:16:34     -172.429397        2.365478
FIRE:   15 20:16:43     -172.449348        2.398002
FIRE:   16 20:16:56     -172.449625        2.417644
FIRE:   17 20:17:16     -172.449826        2.421307
FIRE:   18 20:17:34     -172.450112        2.403580
FIRE:   19 20:17:51     -172.450552        2.358216
FIRE:   20 20:18:13     -172.451139        2.280226
FIRE:   21 20:18:33     -172.451819        2.166611
