      Step     Time          Energy          fmax
BFGS:    0 20:23:47     -173.482627        1.328893
BFGS:    1 20:24:06     -173.504736        1.013296
BFGS:    2 20:24:23     -173.544780        0.437714
BFGS:    3 20:24:41     -173.542587        0.434251
BFGS:    4 20:24:59     -173.541442        0.507104
BFGS:    5 20:25:18     -173.545660        0.521658
BFGS:    6 20:25:36     -173.560606        0.422712
BFGS:    7 20:25:55     -173.576779        0.346370
BFGS:    8 20:26:12     -173.575999        0.405441
BFGS:    9 20:26:30     -173.574514        0.478635
BFGS:   10 20:26:40     -173.579156        0.395827
BFGS:   11 20:26:47     -173.588047        0.326587
BFGS:   12 20:26:54     -173.598864        0.357832
BFGS:   13 20:27:01     -173.601081        0.266579
BFGS:   14 20:27:08     -173.604198        0.185924
