      Step     Time          Energy          fmax
BFGS:    0 20:19:06     -171.557824        2.873283
BFGS:    1 20:19:16     -171.594078        2.796494
BFGS:    2 20:19:27     -171.671323        2.541112
BFGS:    3 20:19:41     -171.759134        2.330552
BFGS:    4 20:20:02     -171.863811        2.144523
BFGS:    5 20:20:21     -171.986520        2.091300
BFGS:    6 20:20:41     -172.129333        2.211159
BFGS:    7 20:21:01     -172.291630        2.583139
BFGS:    8 20:21:23     -172.445137        3.045802
BFGS:    9 20:21:43     -172.452023        3.454349
BFGS:   10 20:22:02     -172.459118        3.805910
