site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-173.76057534152602,-3.108624468950438e-14
atop_Si,upright,1,5.0,-173.76057534152602,-3.108624468950438e-14
atop_Si,upright,2,4.0,-173.78735228415363,-0.02677694262763719
atop_Si,upright,3,3.25,-173.9057165875375,-0.145141246011522
atop_Si,upright,4,2.75,-174.09921287302978,-0.33863753150379505
atop_Si,upright,5,2.25,-174.0016492675931,-0.24107392606711908
atop_Si,upright,6,1.9,-173.48131681711837,0.2792585244076209
atop_Si,upright,7,1.6,-172.66828189523036,1.092293446295625
atop_Si,upright,8,1.3,-171.23196881404212,2.5286065274838707
atop_Si,parallel,0,6.5,-173.76057534152602,-3.019806626980426e-14
atop_Si,parallel,1,5.0,-173.76057534152602,-3.019806626980426e-14
atop_Si,parallel,2,4.0,-173.81084516894506,-0.05026982741907382
atop_Si,parallel,3,3.25,-174.00753591025938,-0.24696056873338712
atop_Si,parallel,4,2.75,-173.93908010971433,-0.1785047681883345
atop_Si,parallel,5,2.25,-173.96747233113328,-0.20689698960728897
atop_Si,parallel,6,1.9,-173.52790991282808,0.23266542869791174
atop_Si,parallel,7,1.6,-172.70496320033934,1.0556121411866553
atop_Si,parallel,8,1.3,-170.76418283678234,2.9963925047436515
bridge_Si_Si,upright,0,6.5,-173.76057534152602,-3.108624468950438e-14
bridge_Si_Si,upright,1,5.0,-173.76057534152602,-3.108624468950438e-14
bridge_Si_Si,upright,2,4.0,-173.75214768256149,0.00842765896450448
bridge_Si_Si,upright,3,3.25,-173.77364266513874,-0.01306732361274765
bridge_Si_Si,upright,4,2.75,-173.8767198886935,-0.11614454716749645
bridge_Si_Si,upright,5,2.25,-173.9950019547896,-0.23442661326359637
bridge_Si_Si,upright,6,1.9,-173.90714850160418,-0.14657316007819343
bridge_Si_Si,upright,7,1.6,-173.7628480239159,-0.002272682389903302
bridge_Si_Si,upright,8,1.3,-173.6530533016159,0.10752203991009157
bridge_Si_Si,parallel,0,6.5,-173.76057534152602,-3.019806626980426e-14
bridge_Si_Si,parallel,1,5.0,-173.76057534152602,-3.019806626980426e-14
bridge_Si_Si,parallel,2,4.0,-173.7190633832952,0.04151195823078346
bridge_Si_Si,parallel,3,3.25,-173.88339469362367,-0.12281935209768058
bridge_Si_Si,parallel,4,2.75,-174.04935497187714,-0.2887796303511454
bridge_Si_Si,parallel,5,2.25,-173.99452411886753,-0.2339487773415403
bridge_Si_Si,parallel,6,1.9,-173.8092269881967,-0.04865164667072186
bridge_Si_Si,parallel,7,1.6,-173.71025733946345,0.05031800206253756
bridge_Si_Si,parallel,8,1.3,-173.82557703478008,-0.06500169325409111
hollow,upright,0,6.5,-173.76057534152602,-3.108624468950438e-14
hollow,upright,1,5.0,-173.76057534152602,-3.108624468950438e-14
hollow,upright,2,4.0,-173.75325576935975,0.007319572166236021
hollow,upright,3,3.25,-173.75827675019653,0.002298591329460642
hollow,upright,4,2.75,-173.87749612554455,-0.11692078401856332
hollow,upright,5,2.25,-174.1725566068427,-0.4119812653167143
hollow,upright,6,1.9,-174.19749900397096,-0.43692366244497105
hollow,upright,7,1.6,-173.9923343626705,-0.23175902114451485
hollow,upright,8,1.3,-173.69349461221984,0.06708072930615305
hollow,parallel,0,6.5,-173.76057534152602,-3.019806626980426e-14
hollow,parallel,1,5.0,-173.76057534152602,-3.019806626980426e-14
hollow,parallel,2,4.0,-173.7291599577494,0.03141538377658826
hollow,parallel,3,3.25,-173.84645249195611,-0.08587715043012345
hollow,parallel,4,2.75,-174.13259820615997,-0.37202286463397805
hollow,parallel,5,2.25,-174.2666544736772,-0.5060791321512017
hollow,parallel,6,1.9,-174.03999502267388,-0.2794196811478873
hollow,parallel,7,1.6,-173.71588043447048,0.044694907055513156
hollow,parallel,8,1.3,-173.53849791689993,0.22207742462606284
