site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-181.29038100878148,-1.0658141036401503e-14
atop_Si,upright,1,5.0,-181.29038100878148,-1.0658141036401503e-14
atop_Si,upright,2,4.0,-181.3053037471555,-0.014922738374036015
atop_Si,upright,3,3.25,-181.50347380977638,-0.2130928009949109
atop_Si,upright,4,2.75,-181.50723592114036,-0.21685491235889387
atop_Si,upright,5,2.25,-181.07032486101326,0.22005614776820792
atop_Si,upright,6,1.9,-181.33438301002576,-0.04400200124429077
atop_Si,upright,7,1.6,-180.82616711101605,0.464213897765422
atop_Si,upright,8,1.3,-176.14880034592397,5.141580662857496
atop_Si,parallel,0,6.5,-181.29038100878148,-1.0658141036401503e-14
atop_Si,parallel,1,5.0,-181.29038100878148,-1.0658141036401503e-14
atop_Si,parallel,2,4.0,-181.34331202441717,-0.05293101563570346
atop_Si,parallel,3,3.25,-181.5065646660209,-0.2161836572394229
atop_Si,parallel,4,2.75,-181.65280927697597,-0.3624282681945026
atop_Si,parallel,5,2.25,-181.68894465230255,-0.39856364352108287
atop_Si,parallel,6,1.9,-181.03090663814675,0.2594743706347238
atop_Si,parallel,7,1.6,-179.7490896089555,1.541291399825969
atop_Si,parallel,8,1.3,-178.11281460376904,3.1775664050124313
atop_Si,flipped,0,6.5,-181.29038100878148,-1.0658141036401503e-14
atop_Si,flipped,1,5.0,-181.29038100878148,-1.0658141036401503e-14
atop_Si,flipped,2,4.0,-181.36467018948508,-0.07428918070361235
atop_Si,flipped,3,3.25,-181.62502196741843,-0.33464095863696386
atop_Si,flipped,4,2.75,-181.79233107898403,-0.5019500702025645
atop_Si,flipped,5,2.25,-181.98740940238469,-0.6970283936032153
atop_Si,flipped,6,1.9,-181.61457829682416,-0.32419728804269354
atop_Si,flipped,7,1.6,-180.68830366479585,0.6020773439856164
atop_Si,flipped,8,1.3,-178.81975200230767,2.4706290064738035
bridge_Si_Si,upright,0,6.5,-181.29038100878148,-1.0658141036401503e-14
bridge_Si_Si,upright,1,5.0,-181.29038100878148,-1.0658141036401503e-14
bridge_Si_Si,upright,2,4.0,-181.28684149730827,0.0035395114731961996
bridge_Si_Si,upright,3,3.25,-181.35828138556235,-0.06790037678088012
bridge_Si_Si,upright,4,2.75,-181.72431813856775,-0.4339371297862833
bridge_Si_Si,upright,5,2.25,-182.26081833658213,-0.9704373278006635
bridge_Si_Si,upright,6,1.9,-182.39924411879258,-1.1088631100111108
bridge_Si_Si,upright,7,1.6,-182.57705729284748,-1.286676284066015
bridge_Si_Si,upright,8,1.3,-182.79015179714452,-1.4997707883630476
bridge_Si_Si,parallel,0,6.5,-181.29038100878148,-1.0658141036401503e-14
bridge_Si_Si,parallel,1,5.0,-181.29038100878148,-1.0658141036401503e-14
bridge_Si_Si,parallel,2,4.0,-181.30842177265845,-0.018040763876978616
bridge_Si_Si,parallel,3,3.25,-181.46104725830372,-0.1706662495222524
bridge_Si_Si,parallel,4,2.75,-181.61578229714746,-0.3254012883659918
bridge_Si_Si,parallel,5,2.25,-181.84040679806213,-0.5500257892806637
bridge_Si_Si,parallel,6,1.9,-182.00009031128593,-0.7097093025044607
bridge_Si_Si,parallel,7,1.6,-182.044266615237,-0.7538856064555368
bridge_Si_Si,parallel,8,1.3,-181.87998179253566,-0.5896007837541895
bridge_Si_Si,flipped,0,6.5,-181.29038100878148,-1.0658141036401503e-14
bridge_Si_Si,flipped,1,5.0,-181.29038100878148,-1.0658141036401503e-14
