site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-174.75426460397688,-1.5987211554602254e-14
atop_Si,upright,1,5.0,-174.75426460397688,-1.5987211554602254e-14
atop_Si,upright,2,4.0,-174.91399454632113,-0.1597299423442724
atop_Si,upright,3,3.25,-175.14675571517154,-0.3924911111946745
atop_Si,upright,4,2.75,-175.34866911421122,-0.5944045102343569
atop_Si,upright,5,2.25,-175.3231560222308,-0.5688914182539282
atop_Si,upright,6,1.9,-175.61732243623658,-0.8630578322597149
atop_Si,upright,7,1.6,-175.27541230160085,-0.5211476976239897
atop_Si,upright,8,1.3,-172.06523149151272,2.689033112464143
atop_Si,parallel,0,6.5,-174.75426460397688,-1.5987211554602254e-14
atop_Si,parallel,1,5.0,-174.75426460397688,-1.5987211554602254e-14
atop_Si,parallel,2,4.0,-174.89513197025153,-0.140867366274664
atop_Si,parallel,3,3.25,-175.1962236420824,-0.44195903810553894
atop_Si,parallel,4,2.75,-175.5416122742861,-0.7873476703092468
atop_Si,parallel,5,2.25,-175.68118152240348,-0.926916918426615
atop_Si,parallel,6,1.9,-175.1087647376993,-0.3545001337224267
atop_Si,parallel,7,1.6,-173.87859367448414,0.8756709294927258
atop_Si,parallel,8,1.3,-171.20938770474842,3.5448768992284396
atop_Si,flipped,0,6.5,-174.75426460397688,-1.5987211554602254e-14
atop_Si,flipped,1,5.0,-174.75426460397688,-1.5987211554602254e-14
atop_Si,flipped,2,4.0,-174.8042400702387,-0.04997546626184324
atop_Si,flipped,3,3.25,-174.97835035247124,-0.22408574849437635
atop_Si,flipped,4,2.75,-175.28101725578026,-0.5267526518033936
atop_Si,flipped,5,2.25,-175.57609422017265,-0.821829616195787
atop_Si,flipped,6,1.9,-175.31239730296872,-0.5581326989918569
atop_Si,flipped,7,1.6,-174.03603291738142,0.718231686595443
atop_Si,flipped,8,1.3,-171.24183253976273,3.5124320642141367
bridge_Si_Si,upright,0,6.5,-174.75426460397688,-1.5987211554602254e-14
bridge_Si_Si,upright,1,5.0,-174.75426460397688,-1.5987211554602254e-14
bridge_Si_Si,upright,2,4.0,-174.86446813720033,-0.11020353322347098
bridge_Si_Si,upright,3,3.25,-175.18894387424012,-0.4346792702632616
bridge_Si_Si,upright,4,2.75,-175.46431278738154,-0.7100481834046821
bridge_Si_Si,upright,5,2.25,-175.78581671224526,-1.0315521082684018
bridge_Si_Si,upright,6,1.9,-175.81747786929725,-1.0632132653203872
bridge_Si_Si,upright,7,1.6,-175.90065844739527,-1.1463938434184104
bridge_Si_Si,upright,8,1.3,-176.18095695398748,-1.4266923500106135
bridge_Si_Si,parallel,0,6.5,-174.75426460397688,-1.5987211554602254e-14
bridge_Si_Si,parallel,1,5.0,-174.75426460397688,-1.5987211554602254e-14
bridge_Si_Si,parallel,2,4.0,-174.8222113212714,-0.06794671729453405
bridge_Si_Si,parallel,3,3.25,-175.22751372029984,-0.47324911632297706
bridge_Si_Si,parallel,4,2.75,-175.5427114011329,-0.7884467971560287
bridge_Si_Si,parallel,5,2.25,-175.7901627700036,-1.0358981660267421
bridge_Si_Si,parallel,6,1.9,-175.82899461648122,-1.0747300125043626
bridge_Si_Si,parallel,7,1.6,-175.8064710396063,-1.0522064356294312
bridge_Si_Si,parallel,8,1.3,-175.78821809864203,-1.0339534946651714
bridge_Si_Si,flipped,0,6.5,-174.75426460397688,-1.5987211554602254e-14
bridge_Si_Si,flipped,1,5.0,-174.75426460397688,-1.5987211554602254e-14
bridge_Si_Si,flipped,2,4.0,-174.77751231468585,-0.023247710708988123
bridge_Si_Si,flipped,3,3.25,-174.87214876146663,-0.11788415748977066
bridge_Si_Si,flipped,4,2.75,-175.06107796855255,-0.30681336457569053
bridge_Si_Si,flipped,5,2.25,-175.47180905054708,-0.7175444465702174
bridge_Si_Si,flipped,6,1.9,-175.72532836456259,-0.9710637605857233
bridge_Si_Si,flipped,7,1.6,-175.83707472540578,-1.0828101214289223
bridge_Si_Si,flipped,8,1.3,-175.8256399999684,-1.0713753959915255
hollow,upright,0,6.5,-174.75426460397688,-1.5987211554602254e-14
hollow,upright,1,5.0,-174.75426460397688,-1.5987211554602254e-14
hollow,upright,2,4.0,-174.84252400564856,-0.088259401671694
hollow,upright,3,3.25,-175.23340361502778,-0.47913901105092016
hollow,upright,4,2.75,-175.41451370597412,-0.6602491019972536
hollow,upright,5,2.25,-175.68672303968378,-0.9324584357069217
hollow,upright,6,1.9,-175.84710027727579,-1.0928356732989233
hollow,upright,7,1.6,-175.89490171319795,-1.1406371092210907
hollow,upright,8,1.3,-175.88231629611445,-1.128051692137591
hollow,parallel,0,6.5,-174.75426460397688,-1.5987211554602254e-14
hollow,parallel,1,5.0,-174.75426460397688,-1.5987211554602254e-14
hollow,parallel,2,4.0,-174.824778961549,-0.0705143575721241
hollow,parallel,3,3.25,-175.2174546928668,-0.46319008888993274
hollow,parallel,4,2.75,-175.55402176783454,-0.799757163857679
hollow,parallel,5,2.25,-175.8431327617708,-1.088868157793927
hollow,parallel,6,1.9,-175.91751778598288,-1.1632531820060183
hollow,parallel,7,1.6,-175.90424575017312,-1.1499811461962555
hollow,parallel,8,1.3,-175.9109428577931,-1.1566782538162261
hollow,flipped,0,6.5,-174.75426460397688,-1.5987211554602254e-14
hollow,flipped,1,5.0,-174.75426460397688,-1.5987211554602254e-14
hollow,flipped,2,4.0,-174.77761621208123,-0.023351608104364985
hollow,flipped,3,3.25,-174.85475189282946,-0.10048728885259273
hollow,flipped,4,2.75,-175.07023706380355,-0.31597245982668376
hollow,flipped,5,2.25,-175.5379256782119,-0.7836610742350434
hollow,flipped,6,1.9,-175.77478327984986,-1.020518675872994
hollow,flipped,7,1.6,-175.78107128658036,-1.0268066826034943
hollow,flipped,8,1.3,-175.661087342695,-0.9068227387181356
