      Step     Time          Energy          fmax
FIRE:    0 22:57:27     -167.119400        0.375185
FIRE:    1 22:57:28     -167.120423        0.371084
FIRE:    2 22:57:29     -167.122421        0.362918
FIRE:    3 22:57:30     -167.125300        0.350764
FIRE:    4 22:57:31     -167.128927        0.334742
FIRE:    5 22:57:32     -167.133131        0.315020
FIRE:    6 22:57:33     -167.137717        0.291824
FIRE:    7 22:57:33     -167.142472        0.265446
FIRE:    8 22:57:34     -167.147668        0.233025
FIRE:    9 22:57:35     -167.153007        0.193961
FIRE:   10 22:57:35     -167.158046        0.148117
FIRE:   11 22:57:36     -167.162247        0.096460
FIRE:   12 22:57:37     -167.165171        0.115995
FIRE:   13 22:57:37     -167.166841        0.159485
FIRE:   14 22:57:38     -167.167945        0.192960
FIRE:   15 22:57:38     -167.169593        0.210968
FIRE:   16 22:57:39     -167.172837        0.208839
FIRE:   17 22:57:40     -167.178087        0.183291
FIRE:   18 22:57:40     -167.184594        0.133884
FIRE:   19 22:57:41     -167.190467        0.066311
FIRE:   20 22:57:41     -167.193830        0.086194
FIRE:   21 22:57:41     -167.194732        0.103179
FIRE:   22 22:57:41     -167.195010        0.098078
FIRE:   23 22:57:42     -167.195506        0.088138
FIRE:   24 22:57:42     -167.196117        0.073883
FIRE:   25 22:57:42     -167.196716        0.056080
FIRE:   26 22:57:42     -167.197180        0.035746
