site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-186.23342996647668,1.4210854715202004e-14
atop_Si,upright,1,5.0,-186.23342996647668,1.4210854715202004e-14
atop_Si,upright,2,4.0,-186.19737948752805,0.03605047894863844
atop_Si,upright,3,3.25,-186.30519630727147,-0.07176634079478106
atop_Si,upright,4,2.75,-186.09446937936778,0.13896058710891168
atop_Si,upright,5,2.25,-185.81841178048558,0.41501818599111573
atop_Si,upright,6,1.9,-185.28593649427845,0.9474934721982464
atop_Si,upright,7,1.6,-182.52058702713344,3.712842939343247
atop_Si,upright,8,1.3,-168.8778997996438,17.355530166832878
atop_Si,parallel,0,6.5,-186.23342996647668,1.4210854715202004e-14
atop_Si,parallel,1,5.0,-186.23342996647668,1.4210854715202004e-14
atop_Si,parallel,2,4.0,-186.20180337337206,0.031626593104633116
atop_Si,parallel,3,3.25,-186.34073429149487,-0.10730432501817688
atop_Si,parallel,4,2.75,-186.34173983423923,-0.10830986776254292
atop_Si,parallel,5,2.25,-186.14963339649125,0.08379656998543794
atop_Si,parallel,6,1.9,-185.8782063188351,0.35522364764158
atop_Si,parallel,7,1.6,-184.54607594264948,1.6873540238272113
atop_Si,parallel,8,1.3,-179.7102943538837,6.523135612592981
atop_Si,flipped,0,6.5,-186.2334299664767,-1.0658141036401503e-14
atop_Si,flipped,1,5.0,-186.2334299664767,-1.0658141036401503e-14
atop_Si,flipped,2,4.0,-186.18060714245925,0.05282282401744354
atop_Si,flipped,3,3.25,-186.6477089770098,-0.414279010533118
atop_Si,flipped,4,2.75,-187.23774533714683,-1.0043153706701382
atop_Si,flipped,5,2.25,-187.02041091833016,-0.7869809518534616
atop_Si,flipped,6,1.9,-186.10690322933013,0.12652673714656615
atop_Si,flipped,7,1.6,-185.147615617492,1.0858143489847016
atop_Si,flipped,8,1.3,-182.940985758208,3.2924442082686944
bridge_Si_Si,upright,0,6.5,-186.2334299664767,-1.4210854715202004e-14
bridge_Si_Si,upright,1,5.0,-186.2334299664767,-1.4210854715202004e-14
bridge_Si_Si,upright,2,4.0,-186.20731117582298,0.0261187906537117
bridge_Si_Si,upright,3,3.25,-186.32762218411432,-0.09419221763762664
bridge_Si_Si,upright,4,2.75,-186.61475253880926,-0.3813225723325644
bridge_Si_Si,upright,5,2.25,-186.80583201338405,-0.5724020469073565
bridge_Si_Si,upright,6,1.9,-186.6152721550997,-0.381842188622997
bridge_Si_Si,upright,7,1.6,-186.42122582086313,-0.18779585438643664
bridge_Si_Si,upright,8,1.3,-186.30629167160922,-0.07286170513252443
bridge_Si_Si,parallel,0,6.5,-186.23342996647668,1.4210854715202004e-14
bridge_Si_Si,parallel,1,5.0,-186.23342996647668,1.4210854715202004e-14
bridge_Si_Si,parallel,2,4.0,-186.21317836893402,0.02025159754266781
bridge_Si_Si,parallel,3,3.25,-186.35058838046757,-0.11715841399087878
bridge_Si_Si,parallel,4,2.75,-186.5629746796732,-0.3295447131965119
bridge_Si_Si,parallel,5,2.25,-186.64107048579334,-0.4076405193166437
bridge_Si_Si,parallel,6,1.9,-186.65628474001204,-0.4228547735353487
bridge_Si_Si,parallel,7,1.6,-186.59870951702487,-0.3652795505481805
bridge_Si_Si,parallel,8,1.3,-186.37682106345218,-0.1433910969754919
bridge_Si_Si,flipped,0,6.5,-186.23342996647668,1.7763568394002505e-14
bridge_Si_Si,flipped,1,5.0,-186.23342996647668,1.7763568394002505e-14
bridge_Si_Si,flipped,2,4.0,-186.16748382294972,0.06594614352697548
bridge_Si_Si,flipped,3,3.25,-186.58852146939685,-0.3550915029201569
bridge_Si_Si,flipped,4,2.75,-186.93828181666396,-0.7048518501872643
bridge_Si_Si,flipped,5,2.25,-186.8644099850339,-0.6309800185571923
bridge_Si_Si,flipped,6,1.9,-185.57149125160652,0.6619387148701783
bridge_Si_Si,flipped,7,1.6,-182.1255125748471,4.107917391629588
bridge_Si_Si,flipped,8,1.3,-168.75057487708466,17.482855089392036
hollow,upright,0,6.5,-186.2334299664767,-1.4210854715202004e-14
hollow,upright,1,5.0,-186.2334299664767,-1.4210854715202004e-14
hollow,upright,2,4.0,-186.21263385927583,0.020796107200865777
hollow,upright,3,3.25,-186.35820807466328,-0.12477810818658952
hollow,upright,4,2.75,-186.54965546031298,-0.31622549383628495
hollow,upright,5,2.25,-186.7854566666074,-0.5520267001306962
hollow,upright,6,1.9,-186.8242373085114,-0.5908073420347222
hollow,upright,7,1.6,-186.61266550118583,-0.37923553470913873
hollow,upright,8,1.3,-186.42479719744867,-0.19136723097197716
hollow,parallel,0,6.5,-186.23342996647668,1.4210854715202004e-14
hollow,parallel,1,5.0,-186.23342996647668,1.4210854715202004e-14
hollow,parallel,2,4.0,-186.2113590733365,0.022070893140195835
hollow,parallel,3,3.25,-186.34927910299055,-0.11584913651385875
hollow,parallel,4,2.75,-186.5424976059738,-0.30906763949711547
hollow,parallel,5,2.25,-186.56721188418524,-0.33378191770854926
hollow,parallel,6,1.9,-186.56307628612814,-0.3296463196514452
hollow,parallel,7,1.6,-186.49770837355007,-0.2642784070733768
hollow,parallel,8,1.3,-186.26541159821178,-0.03198163173509272
hollow,flipped,0,6.5,-186.23342996647668,1.7763568394002505e-14
hollow,flipped,1,5.0,-186.23342996647668,1.7763568394002505e-14
hollow,flipped,2,4.0,-186.1683653352749,0.06506463120179617
hollow,flipped,3,3.25,-186.6965285211266,-0.4630985546498998
hollow,flipped,4,2.75,-187.09600522244583,-0.86257525596913
hollow,flipped,5,2.25,-186.3289069708374,-0.09547700436071338
hollow,flipped,6,1.9,-186.06631233340516,0.1671176330715305
hollow,flipped,7,1.6,-184.61527048228598,1.6181594841907163
hollow,flipped,8,1.3,-179.19549189766798,7.037938068808717
