site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-195.13192998824383,-1.7763568394002505e-14
atop_Si,upright,1,5.0,-195.13192998824383,-1.7763568394002505e-14
atop_Si,upright,2,4.0,-195.20031894469952,-0.06838895645570986
atop_Si,upright,3,3.25,-195.3652046161448,-0.2332746279010003
atop_Si,upright,4,2.75,-195.45888459440485,-0.326954606161042
atop_Si,upright,5,2.25,-194.86964035410168,0.2622896341421317
atop_Si,upright,6,1.9,-194.63990094249192,0.4920290457518881
atop_Si,upright,7,1.6,-194.56432943162955,0.5676005566142628
atop_Si,upright,8,1.3,-191.4152295771794,3.7167004110644193
atop_Si,parallel,0,6.5,-195.13192998824383,-1.7763568394002505e-14
atop_Si,parallel,1,5.0,-195.13192998824383,-1.7763568394002505e-14
atop_Si,parallel,2,4.0,-195.18776850996085,-0.05583852171703896
atop_Si,parallel,3,3.25,-195.33597989405342,-0.20404990580961524
atop_Si,parallel,4,2.75,-195.55416398256122,-0.4222339943174127
atop_Si,parallel,5,2.25,-195.17163742869943,-0.03970744045561858
atop_Si,parallel,6,1.9,-194.94330925948287,0.1886207287609345
atop_Si,parallel,7,1.6,-194.92030531656124,0.21162467168256782
atop_Si,parallel,8,1.3,-193.5411335702687,1.5907964179751097
atop_Si,flipped,0,6.5,-195.13192998824383,-1.7763568394002505e-14
atop_Si,flipped,1,5.0,-195.13192998824383,-1.7763568394002505e-14
atop_Si,flipped,2,4.0,-195.2750559519955,-0.14312596375170372
atop_Si,flipped,3,3.25,-195.7245025413732,-0.59257255312939
atop_Si,flipped,4,2.75,-196.14103643583837,-1.009106447594565
atop_Si,flipped,5,2.25,-195.95263672206764,-0.8207067338238296
atop_Si,flipped,6,1.9,-195.51876003202244,-0.38683004377863384
atop_Si,flipped,7,1.6,-194.81270278580254,0.31922720244126523
atop_Si,flipped,8,1.3,-192.2534618730997,2.8784681151441127
bridge_Si_Si,upright,0,6.5,-195.13192998824383,-1.7763568394002505e-14
bridge_Si_Si,upright,1,5.0,-195.13192998824383,-1.7763568394002505e-14
bridge_Si_Si,upright,2,4.0,-195.16143032309566,-0.029500334851849885
bridge_Si_Si,upright,3,3.25,-195.3766498907179,-0.24471990247410602
bridge_Si_Si,upright,4,2.75,-195.56820532962695,-0.4362753413831406
bridge_Si_Si,upright,5,2.25,-195.8259483428596,-0.6940183546157819
bridge_Si_Si,upright,6,1.9,-195.89378298189493,-0.7618529936511216
bridge_Si_Si,upright,7,1.6,-195.74534095974334,-0.6134109714995368
bridge_Si_Si,upright,8,1.3,-195.61570495579699,-0.4837749675531775
bridge_Si_Si,parallel,0,6.5,-195.13192998824383,-1.7763568394002505e-14
bridge_Si_Si,parallel,1,5.0,-195.13192998824383,-1.7763568394002505e-14
bridge_Si_Si,parallel,2,4.0,-195.15875742027578,-0.026827432031968357
bridge_Si_Si,parallel,3,3.25,-195.3795065295129,-0.2475765412690869
bridge_Si_Si,parallel,4,2.75,-195.5646313604296,-0.43270137218577887
bridge_Si_Si,parallel,5,2.25,-195.8341563475759,-0.702226359332105
bridge_Si_Si,parallel,6,1.9,-195.8790309937001,-0.7471010054562903
bridge_Si_Si,parallel,7,1.6,-195.77998085694796,-0.64805086870415
bridge_Si_Si,parallel,8,1.3,-195.64808678964857,-0.5161568014047653
bridge_Si_Si,flipped,0,6.5,-195.13192998824383,-1.7763568394002505e-14
bridge_Si_Si,flipped,1,5.0,-195.13192998824383,-1.7763568394002505e-14
bridge_Si_Si,flipped,2,4.0,-195.23271454067276,-0.10078455242895146
bridge_Si_Si,flipped,3,3.25,-195.75512387853598,-0.6231938902921748
bridge_Si_Si,flipped,4,2.75,-196.19388677282893,-1.0619567845851243
bridge_Si_Si,flipped,5,2.25,-195.76181509190954,-0.6298851036657318
bridge_Si_Si,flipped,6,1.9,-194.7815779690498,0.35035201919400194
bridge_Si_Si,flipped,7,1.6,-193.62165046616124,1.5102795220825662
bridge_Si_Si,flipped,8,1.3,-190.51579410476623,4.616135883477579
hollow,upright,0,6.5,-195.13192998824383,-1.7763568394002505e-14
hollow,upright,1,5.0,-195.13192998824383,-1.7763568394002505e-14
hollow,upright,2,4.0,-195.15175680290128,-0.01982681465746694
hollow,upright,3,3.25,-195.40807896668042,-0.2761489784366127
hollow,upright,4,2.75,-195.55725457687262,-0.42532458862881484
hollow,upright,5,2.25,-195.67488289342973,-0.542952905185917
hollow,upright,6,1.9,-195.8526986069728,-0.7207686187290001
hollow,upright,7,1.6,-195.84440303827787,-0.7124730500340668
hollow,upright,8,1.3,-195.62631169148008,-0.49438170323627517
hollow,parallel,0,6.5,-195.13192998824383,-1.7763568394002505e-14
hollow,parallel,1,5.0,-195.13192998824383,-1.7763568394002505e-14
hollow,parallel,2,4.0,-195.15777482798092,-0.025844839737107606
hollow,parallel,3,3.25,-195.39821237081713,-0.26628238257332626
hollow,parallel,4,2.75,-195.5916808143957,-0.459750826151879
hollow,parallel,5,2.25,-195.7648904512554,-0.632960463011603
hollow,parallel,6,1.9,-195.83624317353008,-0.7043131852862707
hollow,parallel,7,1.6,-195.76575510911454,-0.6338251208707284
hollow,parallel,8,1.3,-195.67631931948748,-0.5443893312436678
hollow,flipped,0,6.5,-195.13192998824383,-1.7763568394002505e-14
hollow,flipped,1,5.0,-195.13192998824383,-1.7763568394002505e-14
hollow,flipped,2,4.0,-195.2244402979701,-0.09251030972628271
hollow,flipped,3,3.25,-195.68664171404635,-0.5547117258025374
hollow,flipped,4,2.75,-196.37083063505543,-1.2389006468116186
hollow,flipped,5,2.25,-195.88416334657825,-0.7522333583344398
hollow,flipped,6,1.9,-194.84108856902336,0.2908414192204525
hollow,flipped,7,1.6,-193.75228427730218,1.3796457109416274
hollow,flipped,8,1.3,-192.71223684769825,2.419693140545558
