image,energy_eV,relative_energy_eV,max_raw_force_eV_A,SCF_converged
0,-12167.721879318799,0.0,0.7314753005663445,True
1,-12167.992246007738,-0.270366688939248,0.6653124476150241,True
2,-12168.048682721112,-0.32680340231308946,0.6450721185470942,True
3,-12168.066021315464,-0.3441419966657122,0.6647966310263022,True
4,-12167.670231532278,0.051647786520334193,2.777090867657796,True
5,-12168.180477387326,-0.4585980685278628,1.2023573776678245,True
6,-12168.483318638288,-0.7614393194889999,1.184026812715732,True
7,-12168.464152854614,-0.7422735358159116,1.154010720133996,True
8,-12168.45238900769,-0.730509688892198,1.1441689285887786,True
9,-12168.46073733902,-0.7388580202223238,1.1487331797640872,True
10,-12168.46852707592,-0.7466477571215364,1.1733750017189688,True
