      Step     Time          Energy          fmax
BFGS:    0 21:44:13   -12183.148055        1.946201
BFGS:    1 21:44:13   -12183.195743        0.955337
BFGS:    2 21:44:13   -12183.215909        0.518637
BFGS:    3 21:44:13   -12183.221382        0.296750
BFGS:    4 21:44:13   -12183.243741        0.576821
BFGS:    5 21:44:13   -12183.288799        1.156476
BFGS:    6 21:44:14   -12183.331037        1.318735
BFGS:    7 21:44:14   -12183.371028        1.223961
BFGS:    8 21:44:14   -12183.406592        1.026234
BFGS:    9 21:44:14   -12183.436451        0.813732
BFGS:   10 21:44:14   -12183.460423        0.614996
BFGS:   11 21:44:14   -12183.478546        0.451037
BFGS:   12 21:44:14   -12183.490917        0.322262
BFGS:   13 21:44:15   -12183.499402        0.225193
BFGS:   14 21:44:15   -12183.504056        0.240001
BFGS:   15 21:44:15   -12183.506272        0.174434
BFGS:   16 21:44:15   -12183.508828        0.178714
BFGS:   17 21:44:15   -12183.512289        0.139913
BFGS:   18 21:44:15   -12183.515030        0.131152
BFGS:   19 21:44:15   -12183.515912        0.180264
BFGS:   20 21:44:16   -12183.517169        0.179936
BFGS:   21 21:44:16   -12183.518691        0.159763
BFGS:   22 21:44:16   -12183.520128        0.092029
BFGS:   23 21:44:16   -12183.520588        0.078342
BFGS:   24 21:44:16   -12183.520821        0.071007
BFGS:   25 21:44:16   -12183.521177        0.065863
BFGS:   26 21:44:16   -12183.521745        0.078198
BFGS:   27 21:44:16   -12183.522762        0.131343
BFGS:   28 21:44:17   -12183.524035        0.141070
BFGS:   29 21:44:17   -12183.525161        0.202747
BFGS:   30 21:44:17   -12183.525941        0.118411
BFGS:   31 21:44:17   -12183.526912        0.115674
BFGS:   32 21:44:17   -12183.527598        0.107727
BFGS:   33 21:44:17   -12183.528399        0.158502
BFGS:   34 21:44:17   -12183.529649        0.203564
BFGS:   35 21:44:17   -12183.530852        0.213792
BFGS:   36 21:44:18   -12183.532008        0.159920
BFGS:   37 21:44:18   -12183.534145        0.075561
BFGS:   38 21:44:18   -12183.535571        0.111467
BFGS:   39 21:44:18   -12183.536802        0.107355
BFGS:   40 21:44:18   -12183.537152        0.154452
BFGS:   41 21:44:18   -12183.537688        0.015642
BFGS:   42 21:44:18   -12183.537766        0.020122
BFGS:   43 21:44:19   -12183.537793        0.031089
BFGS:   44 21:44:19   -12183.537808        0.016049
BFGS:   45 21:44:19   -12183.537814        0.006510
