      Step     Time          Energy          fmax
BFGS:    0 21:43:43   -12181.907345        2.186518
BFGS:    1 21:43:57   -12182.009333        1.556328
BFGS:    2 21:44:02   -12182.185688        0.823392
BFGS:    3 21:44:02   -12182.270158        1.028566
BFGS:    4 21:44:02   -12182.355879        1.053349
BFGS:    5 21:44:02   -12182.422854        0.883326
BFGS:    6 21:44:03   -12182.473796        0.605157
BFGS:    7 21:44:03   -12182.504611        0.575525
BFGS:    8 21:44:03   -12182.518000        0.514485
BFGS:    9 21:44:03   -12182.539097        0.560523
BFGS:   10 21:44:03   -12182.564636        0.541669
BFGS:   11 21:44:03   -12182.581174        0.384855
BFGS:   12 21:44:04   -12182.587566        0.338381
BFGS:   13 21:44:04   -12182.590815        0.257186
BFGS:   14 21:44:04   -12182.594613        0.272969
BFGS:   15 21:44:04   -12182.600356        0.431389
BFGS:   16 21:44:04   -12182.609126        0.655927
BFGS:   17 21:44:04   -12182.620536        0.596217
BFGS:   18 21:44:05   -12182.638705        0.608091
BFGS:   19 21:44:05   -12182.667979        0.325859
BFGS:   20 21:44:05   -12182.676555        1.096469
BFGS:   21 21:44:05   -12182.703623        0.580639
BFGS:   22 21:44:05   -12182.722176        0.420731
BFGS:   23 21:44:05   -12182.726376        0.743173
BFGS:   24 21:44:05   -12182.739185        0.392706
BFGS:   25 21:44:06   -12182.747195        0.339718
BFGS:   26 21:44:06   -12182.759178        0.268052
BFGS:   27 21:44:06   -12182.764837        0.329787
BFGS:   28 21:44:06   -12182.767194        0.076299
BFGS:   29 21:44:06   -12182.767577        0.110387
BFGS:   30 21:44:06   -12182.767907        0.143539
BFGS:   31 21:44:06   -12182.769133        0.208203
BFGS:   32 21:44:07   -12182.771324        0.271074
BFGS:   33 21:44:07   -12182.774388        0.287532
BFGS:   34 21:44:07   -12182.777463        0.216336
BFGS:   35 21:44:07   -12182.780045        0.091523
BFGS:   36 21:44:07   -12182.781018        0.047307
BFGS:   37 21:44:07   -12182.781282        0.078079
BFGS:   38 21:44:07   -12182.781360        0.070150
BFGS:   39 21:44:07   -12182.781460        0.122748
BFGS:   40 21:44:08   -12182.781645        0.104292
BFGS:   41 21:44:08   -12182.782728        0.104335
BFGS:   42 21:44:08   -12182.783769        0.137178
BFGS:   43 21:44:08   -12182.784696        0.135680
BFGS:   44 21:44:08   -12182.785269        0.062802
BFGS:   45 21:44:08   -12182.785385        0.036547
BFGS:   46 21:44:08   -12182.785406        0.016130
BFGS:   47 21:44:09   -12182.785416        0.014535
