image,energy_eV,relative_energy_eV,Si_X_distance_A,Si_halogen_distance_A,halogen_H_distance_A
0,-12182.785415798426,0.0,1.7105913114327531,3.8541836180979945,0.9269791225002325
1,-12182.639782875776,0.14563292264938354,1.7417977561886948,4.652826031786552,0.9255522201469055
2,-12182.111641287804,0.6737745106220245,1.7891882912099137,4.5791894767044825,0.9315112604222905
3,-12182.417557656765,0.3678581416606903,1.7635078025604098,3.4379400678536127,0.9262993181862419
4,-12183.122785642743,-0.3373698443174362,3.1255660972470127,1.629994393661501,2.239232411256746
5,-12176.060405224562,6.725010573863983,1.6575377367435438,1.8992497926919436,2.070290608612544
6,-12182.717002004385,0.06841379404067993,2.3159588681207093,1.6728598598164126,2.662002912882583
7,-12183.307874560356,-0.5224587619304657,3.8154998733007863,1.5951382338658748,2.0166852540293982
8,-12183.458330854774,-0.672915056347847,4.506388205315238,1.6260781870688752,2.6952537907729117
9,-12183.502944849432,-0.7175290510058403,4.7349763648825824,1.6132564430626266,2.4120775177368925
10,-12183.537814117968,-0.752398319542408,5.008214288240257,1.6099486842273998,2.385791306300559
