      Step     Time          Energy          fmax
BFGS:    0 21:51:25   -12182.778332        0.699703
BFGS:    1 21:51:25   -12182.783951        0.440775
BFGS:    2 21:51:26   -12182.786194        0.062385
BFGS:    3 21:51:26   -12182.786264        0.037190
BFGS:    4 21:51:26   -12182.786333        0.022943
BFGS:    5 21:51:26   -12182.786349        0.018667
BFGS:    6 21:51:26   -12182.786368        0.019196
BFGS:    7 21:51:26   -12182.786413        0.031681
BFGS:    8 21:51:26   -12182.786478        0.039615
BFGS:    9 21:51:27   -12182.786544        0.033624
BFGS:   10 21:51:27   -12182.786600        0.033503
BFGS:   11 21:51:27   -12182.786670        0.040063
BFGS:   12 21:51:27   -12182.786817        0.061452
BFGS:   13 21:51:27   -12182.787161        0.102321
BFGS:   14 21:51:28   -12182.787794        0.149893
BFGS:   15 21:51:28   -12182.788373        0.097197
BFGS:   16 21:51:28   -12182.788718        0.093438
BFGS:   17 21:51:28   -12182.788812        0.130747
BFGS:   18 21:51:28   -12182.788996        0.058676
BFGS:   19 21:51:29   -12182.789146        0.058853
BFGS:   20 21:51:29   -12182.791081        0.110867
BFGS:   21 21:51:29   -12182.792298        0.198925
BFGS:   22 21:51:29   -12182.793180        0.235394
BFGS:   23 21:51:29   -12182.794011        0.103559
BFGS:   24 21:51:29   -12182.794413        0.120433
BFGS:   25 21:51:30   -12182.794564        0.098110
BFGS:   26 21:51:30   -12182.795329        0.075749
BFGS:   27 21:51:30   -12182.796091        0.080318
BFGS:   28 21:51:30   -12182.796195        0.118983
BFGS:   29 21:51:30   -12182.796503        0.060248
BFGS:   30 21:51:30   -12182.796562        0.033919
BFGS:   31 21:51:31   -12182.796663        0.037435
BFGS:   32 21:51:31   -12182.796766        0.039261
BFGS:   33 21:51:31   -12182.796935        0.041096
BFGS:   34 21:51:31   -12182.797048        0.037127
BFGS:   35 21:51:31   -12182.797113        0.030911
BFGS:   36 21:51:31   -12182.797155        0.049494
BFGS:   37 21:51:31   -12182.797232        0.069048
BFGS:   38 21:51:32   -12182.797375        0.084905
BFGS:   39 21:51:32   -12182.797608        0.079171
BFGS:   40 21:51:32   -12182.797819        0.043682
BFGS:   41 21:51:32   -12182.797896        0.019643
BFGS:   42 21:51:32   -12182.797919        0.012069
BFGS:   43 21:51:32   -12182.797926        0.012671
BFGS:   44 21:51:33   -12182.797944        0.016348
BFGS:   45 21:51:33   -12182.797978        0.023714
BFGS:   46 21:51:33   -12182.798063        0.038071
BFGS:   47 21:51:33   -12182.798228        0.053965
BFGS:   48 21:51:33   -12182.798485        0.058876
BFGS:   49 21:51:33   -12182.798725        0.038497
BFGS:   50 21:51:33   -12182.798816        0.015413
BFGS:   51 21:51:34   -12182.798828        0.012188
BFGS:   52 21:51:34   -12182.798835        0.013691
BFGS:   53 21:51:34   -12182.798845        0.016169
BFGS:   54 21:51:34   -12182.798889        0.028100
BFGS:   55 21:51:34   -12182.798936        0.034591
BFGS:   56 21:51:34   -12182.799026        0.041167
BFGS:   57 21:51:35   -12182.799131        0.045175
BFGS:   58 21:51:35   -12182.799239        0.025963
BFGS:   59 21:51:35   -12182.799302        0.026036
BFGS:   60 21:51:35   -12182.799322        0.017029
BFGS:   61 21:51:35   -12182.799337        0.021267
BFGS:   62 21:51:35   -12182.799353        0.032419
BFGS:   63 21:51:35   -12182.799377        0.041596
BFGS:   64 21:51:36   -12182.799416        0.050092
BFGS:   65 21:51:36   -12182.799498        0.057408
BFGS:   66 21:51:36   -12182.799667        0.069369
BFGS:   67 21:51:36   -12182.799970        0.083932
BFGS:   68 21:51:36   -12182.800324        0.063855
BFGS:   69 21:51:36   -12182.800516        0.020146
BFGS:   70 21:51:37   -12182.800564        0.015679
BFGS:   71 21:51:37   -12182.800573        0.016833
BFGS:   72 21:51:37   -12182.800587        0.017435
BFGS:   73 21:51:37   -12182.800625        0.020833
BFGS:   74 21:51:37   -12182.800709        0.033715
BFGS:   75 21:51:37   -12182.800873        0.048952
BFGS:   76 21:51:38   -12182.801082        0.050000
BFGS:   77 21:51:38   -12182.801208        0.025501
BFGS:   78 21:51:38   -12182.801234        0.005213
