      Step     Time          Energy          fmax
BFGS:    0 21:51:38   -12182.778331        0.699726
BFGS:    1 21:51:38   -12182.783951        0.440791
BFGS:    2 21:51:38   -12182.786194        0.062390
BFGS:    3 21:51:39   -12182.786265        0.037201
BFGS:    4 21:51:39   -12182.786334        0.022946
BFGS:    5 21:51:39   -12182.786349        0.018667
BFGS:    6 21:51:39   -12182.786369        0.019196
BFGS:    7 21:51:39   -12182.786413        0.031665
BFGS:    8 21:51:40   -12182.786478        0.039634
BFGS:    9 21:51:40   -12182.786543        0.033622
BFGS:   10 21:51:40   -12182.786599        0.033496
BFGS:   11 21:51:40   -12182.786671        0.040059
BFGS:   12 21:51:40   -12182.786817        0.061427
BFGS:   13 21:51:41   -12182.787159        0.102303
BFGS:   14 21:51:41   -12182.787794        0.149862
BFGS:   15 21:51:41   -12182.788372        0.097195
BFGS:   16 21:51:41   -12182.788718        0.093460
BFGS:   17 21:51:41   -12182.788812        0.131024
BFGS:   18 21:51:41   -12182.788996        0.058665
BFGS:   19 21:51:42   -12182.789146        0.058846
BFGS:   20 21:51:42   -12182.791080        0.110537
BFGS:   21 21:51:42   -12182.792298        0.198280
BFGS:   22 21:51:42   -12182.793185        0.234833
BFGS:   23 21:51:42   -12182.794009        0.103505
BFGS:   24 21:51:43   -12182.794415        0.120259
BFGS:   25 21:51:43   -12182.794564        0.098098
BFGS:   26 21:51:43   -12182.795329        0.075753
BFGS:   27 21:51:43   -12182.796088        0.079507
BFGS:   28 21:51:43   -12182.796197        0.118423
BFGS:   29 21:51:43   -12182.796504        0.060272
BFGS:   30 21:51:44   -12182.796564        0.033781
BFGS:   31 21:51:44   -12182.796661        0.037400
BFGS:   32 21:51:44   -12182.796763        0.038943
BFGS:   33 21:51:44   -12182.796935        0.040087
BFGS:   34 21:51:44   -12182.797050        0.036240
BFGS:   35 21:51:44   -12182.797112        0.030638
BFGS:   36 21:51:45   -12182.797156        0.049070
BFGS:   37 21:51:45   -12182.797230        0.068828
BFGS:   38 21:51:45   -12182.797377        0.085260
BFGS:   39 21:51:45   -12182.797611        0.079948
BFGS:   40 21:51:45   -12182.797821        0.043169
BFGS:   41 21:51:45   -12182.797897        0.019625
BFGS:   42 21:51:46   -12182.797919        0.012043
BFGS:   43 21:51:46   -12182.797926        0.012657
BFGS:   44 21:51:46   -12182.797944        0.016307
BFGS:   45 21:51:46   -12182.797979        0.023597
BFGS:   46 21:51:46   -12182.798065        0.037848
BFGS:   47 21:51:46   -12182.798230        0.053652
BFGS:   48 21:51:46   -12182.798486        0.058343
BFGS:   49 21:51:47   -12182.798724        0.040820
BFGS:   50 21:51:47   -12182.798814        0.015656
BFGS:   51 21:51:47   -12182.798828        0.012109
BFGS:   52 21:51:47   -12182.798835        0.014528
BFGS:   53 21:51:47   -12182.798844        0.016531
BFGS:   54 21:51:47   -12182.798881        0.023797
BFGS:   55 21:51:48   -12182.798919        0.030524
BFGS:   56 21:51:48   -12182.798999        0.037252
BFGS:   57 21:51:48   -12182.799107        0.041347
BFGS:   58 21:51:48   -12182.799223        0.026944
BFGS:   59 21:51:48   -12182.799296        0.030808
BFGS:   60 21:51:48   -12182.799320        0.018347
BFGS:   61 21:51:49   -12182.799333        0.019916
BFGS:   62 21:51:49   -12182.799349        0.028557
BFGS:   63 21:51:49   -12182.799369        0.035731
BFGS:   64 21:51:49   -12182.799406        0.043643
BFGS:   65 21:51:49   -12182.799479        0.051766
BFGS:   66 21:51:49   -12182.799630        0.068355
BFGS:   67 21:51:50   -12182.799908        0.084957
BFGS:   68 21:51:50   -12182.800262        0.072629
BFGS:   69 21:51:50   -12182.800500        0.025939
BFGS:   70 21:51:50   -12182.800560        0.015668
BFGS:   71 21:51:50   -12182.800574        0.016734
BFGS:   72 21:51:50   -12182.800582        0.017071
BFGS:   73 21:51:51   -12182.800619        0.019289
BFGS:   74 21:51:51   -12182.800693        0.024227
BFGS:   75 21:51:51   -12182.800847        0.037381
BFGS:   76 21:51:51   -12182.801054        0.041433
BFGS:   77 21:51:51   -12182.801199        0.025153
BFGS:   78 21:51:51   -12182.801232        0.005133
